Time (s),Tricep,Shoulder
0.0,0.0543213,0.259705
0.0005,0.0680542,0.206909
0.001,0.067749,0.173035
0.0015,0.0463867,0.154724
0.002,0.0204468,0.13031
0.0025,0.0231934,0.0939941
0.003,0.0195313,0.0604248
0.0035,0.0134277,0.0445557
0.004,0.00152588,0.0238037
0.0045000000000000005,-0.0509644,-0.0128174
0.005,-0.105591,-0.0692749
0.0055,-0.0939941,-0.126038
0.006,-0.0534058,-0.142517
0.006500000000000001,-0.0256348,-0.166016
0.007,0.0408936,-0.151978
0.0075,0.0643921,-0.0430298
0.008,0.0283813,0.108948
0.0085,-0.0320435,0.299988
0.009000000000000001,-0.18219,0.495605
0.0095,-0.318298,0.600281
0.01,-0.360107,0.640869
0.0105,-0.359192,0.692749
0.011,-0.272522,0.698242
0.0115,-0.147095,0.637207
0.012,-0.050354,0.583801
0.0125,0.106506,0.569153
0.013000000000000001,0.164795,0.470886
0.0135,0.153198,0.132751
0.014,0.107117,-0.349426
0.0145,0.0317383,-0.802307
0.015,-0.0247192,-0.947266
0.0155,-0.015564,-0.934143
0.016,0.00427246,-1.00464
0.0165,-0.0088501,-0.972595
0.017,-0.0259399,-0.960999
0.0175,-0.0302124,-0.909729
0.018000000000000002,0.039978,-0.921326
0.0185,0.159302,-1.02142
0.019,0.227051,-1.06201
0.0195,0.199585,-1.02295
0.02,0.171204,-0.814819
0.0205,0.160217,-0.53833
0.021,0.112915,-0.342407
0.021500000000000002,0.0531006,-0.193481
0.022,0.0170898,0.0238037
0.0225,-0.0125122,0.236816
0.023,-0.0344849,0.350342
0.0235,-0.045166,0.379944
0.024,-0.0491333,0.402222
0.0245,-0.0549316,0.471802
0.025,-0.06073,0.560303
0.025500000000000002,-0.0585938,0.617371
0.026000000000000002,-0.0537109,0.665283
0.0265,-0.0561523,0.670166
0.027,-0.0708008,0.619507
0.0275,-0.0891113,0.567017
0.028,-0.0942993,0.530701
0.0285,-0.101013,0.537109
0.029,-0.0973511,0.54718
0.029500000000000002,-0.0875854,0.505981
0.03,-0.0637817,0.387878
0.0305,-0.0479126,0.249634
0.031,-0.0717163,0.088501
0.0315,-0.0897217,-0.0714111
0.032,0.0158691,-0.144653
0.0325,0.119324,-0.0811768
