Time (s),Tricep,Shoulder
0.0,-0.151672,0.125122
0.0005,-0.116272,0.114136
0.001,-0.0906372,0.101929
0.0015,-0.0680542,0.0961304
0.002,-0.0588989,0.0894165
0.0025,-0.0482178,0.0805664
0.003,-0.0256348,0.0665283
0.0035,0.0274658,0.0579834
0.004,0.0268555,0.0592041
0.0045000000000000005,-0.045166,0.0946045
0.005,-0.110474,0.120544
0.0055,-0.1297,0.113525
0.006,-0.1297,0.112915
0.006500000000000001,-0.107727,0.101929
0.007,-0.0741577,0.0823975
0.0075,-0.0460815,0.0570679
0.008,-0.0421143,0.0286865
0.0085,-0.0469971,0.0143433
0.009000000000000001,-0.027771,-0.0167847
0.0095,0.00152588,-0.0570679
0.01,0.0344849,-0.078125
0.0105,0.0817871,-0.107727
0.011,0.1474,-0.139771
0.0115,0.198975,-0.153198
0.012,0.140381,-0.169678
0.0125,0.0396729,-0.198975
0.013000000000000001,-0.00427246,-0.235596
0.0135,-0.0088501,-0.259705
0.014,-0.00610352,-0.24292
0.0145,-0.00427246,-0.193481
0.015,-0.00488281,-0.10437
0.0155,0.00213623,-0.03479
0.016,0.0125122,-0.0106812
0.0165,0.0231934,-0.00671387
0.017,0.0350952,-0.00488281
0.0175,0.032959,0.0231934
0.018000000000000002,0.0308228,0.0564575
0.0185,0.0393677,0.0842285
0.019,0.0408936,0.10437
0.0195,0.0354004,0.114441
0.02,0.0112915,0.114746
0.0205,-0.00152588,0.10498
0.021,-0.0137329,0.112305
0.021500000000000002,-0.0170898,0.132751
0.022,-0.0244141,0.134277
0.0225,-0.0463867,0.116272
0.023,-0.0683594,0.11322
0.0235,-0.0765991,0.0854492
0.024,-0.0720215,0.0305176
0.0245,-0.0604248,-0.0115967
0.025,-0.0115967,-0.043335
0.025500000000000002,0.0222778,-0.0747681
0.026000000000000002,-0.0164795,-0.143433
0.0265,-0.0640869,-0.208435
0.027,-0.0473022,-0.256042
0.0275,0.03479,-0.292358
0.028,0.0939941,-0.32196
0.0285,0.0842285,-0.353088
0.029,0.0418091,-0.405273
0.029500000000000002,-0.00610352,-0.374451
0.03,-0.0320435,-0.297241
0.0305,-0.017395,-0.176392
0.031,0.032959,-0.0198364
0.0315,0.0442505,0.0939941
0.032,-0.0714111,0.184326
0.0325,-0.195007,0.258484
0.033,-0.209656,0.300293
0.0335,-0.133362,0.313721
