Time (s),Tricep,Shoulder
0.0,-0.00579834,-0.0778198
0.0005,0.00305176,-0.112
0.001,0.0128174,-0.0192261
0.0015,0.00366211,0.0576782
0.002,-0.00701904,0.0845337
0.0025,-0.00640869,0.0958252
0.003,-0.00305176,0.111694
0.0035,-0.00244141,0.132751
0.004,-0.00305176,0.14679
0.0045000000000000005,-0.00549316,0.148621
0.005,-0.0100708,0.141602
0.0055,-0.0161743,0.138855
0.006,-0.0119019,0.130615
0.006500000000000001,0.00396729,0.117493
0.007,0.00701904,0.108337
0.0075,0.000610352,0.100098
0.008,-0.00366211,0.0772095
0.0085,-0.00579834,0.0500488
0.009000000000000001,-0.00854492,0.0354004
0.0095,-0.010376,0.0338745
0.01,-0.0134277,0.0549316
0.0105,-0.0152588,0.0585938
0.011,-0.0180054,0.0497437
0.0115,-0.0213623,0.0366211
0.012,-0.0326538,0.0378418
0.0125,-0.0421143,0.0579834
0.013000000000000001,-0.0524902,0.0973511
0.0135,-0.057373,0.130615
0.014,-0.0567627,0.147705
0.0145,-0.0512695,0.124817
0.015,-0.038147,0.10376
0.0155,-0.0234985,0.0793457
0.016,-0.0109863,0.0396729
0.0165,0.0204468,-0.017395
0.017,0.0479126,-0.078125
0.0175,0.0683594,-0.0863647
0.018000000000000002,0.108032,-0.119629
0.0185,0.125122,-0.126953
0.019,0.101318,-0.0613403
0.0195,0.0534058,-0.00976563
0.02,0.00732422,-0.0314331
0.0205,-0.0149536,-0.0720215
0.021,-0.00671387,-0.106506
0.021500000000000002,0.0112915,-0.107422
0.022,0.00457764,-0.0738525
0.0225,-0.0100708,-0.142212
0.023,-0.0088501,-0.288086
0.0235,0.00183105,-0.37323
0.024,0.0088501,-0.368042
0.0245,0.00946045,-0.361328
0.025,0.00915527,-0.344849
0.025500000000000002,0.00518799,-0.292664
0.026000000000000002,-0.00640869,-0.21759
0.0265,-0.0183105,-0.0820923
0.027,-0.0137329,0.117188
0.0275,-0.00610352,0.223999
0.028,0.0112915,0.193176
0.0285,0.00671387,0.00305176
0.029,-0.0012207,-0.273438
0.029500000000000002,-0.00274658,-0.429077
0.03,-0.000915527,-0.25177
0.0305,0.0012207,0.0302124
0.031,0.00183105,0.223694
0.0315,-0.0012207,0.287476
0.032,-0.00518799,0.244446
0.0325,-0.00915527,0.169373
0.033,-0.0143433,0.162354
0.0335,-0.0177002,0.169373
0.034,-0.0152588,0.065918
0.0345,-0.00671387,-0.0234985
0.035,0.0012207,-0.0698853
0.035500000000000004,0.000610352,-0.0790405
0.036000000000000004,-0.00854492,-0.0662231
0.0365,-0.0180054,-0.0112915
0.037,-0.0231934,0.0961304
0.0375,-0.0265503,0.174255
0.038,-0.0314331,0.197449
0.0385,-0.0326538,0.19104
0.039,-0.0308228,0.196838
0.0395,-0.0299072,0.204468
0.04,-0.0317383,0.209656
0.0405,-0.0436401,0.205994
0.041,-0.0521851,0.245361
0.0415,-0.0436401,0.3479
0.042,-0.0201416,0.406494
0.0425,-0.0012207,0.374451
0.043000000000000003,0.00488281,0.293579
0.043500000000000004,0.00183105,0.230103
0.044,-0.00274658,0.183411
0.0445,0.00671387,0.141296
0.045,0.0128174,0.109863
0.0455,0.0280762,-0.129089
0.046,0.065918,-0.436707
0.0465,0.09552,-0.629883
0.047,0.067749,-0.690613
0.0475,0.0198364,-0.597534
0.048,-0.0210571,-0.463562
0.0485,-0.0430298,-0.421753
0.049,-0.0494385,-0.521851
0.0495,-0.0546265,-0.649414
0.05,-0.0576782,-0.461731
0.0505,-0.0424194,-0.188293
0.051000000000000004,-0.0265503,-0.0259399
0.051500000000000004,0.0222778,0.0222778
0.052000000000000005,0.0909424,0.0494385
0.0525,0.0787354,0.0509644
0.053,0.0338745,0.0323486
0.0535,0.0460815,0.0534058
0.054,0.0952148,0.0933838
0.0545,0.127869,0.169678
0.055,0.0930786,0.231628
0.0555,0.0799561,0.269775
0.056,0.0759888,0.344543
0.0565,0.0375366,0.386353
0.057,-0.00793457,0.289001
0.0575,-0.0363159,0.159302
0.058,-0.039978,0.135803
0.0585,-0.027771,0.111694
0.059000000000000004,-0.00396729,-0.0354004
0.059500000000000004,0.00152588,-0.134888
0.06,-0.0137329,-0.0640869
0.0605,-0.0308228,0.0570679
0.061,-0.039978,0.115356
0.0615,-0.0387573,0.141602
0.062,-0.0338745,0.139465
0.0625,-0.03479,0.137634
0.063,-0.0384521,0.141602
0.0635,-0.0387573,0.145569
0.064,-0.0393677,0.172424
0.0645,-0.0375366,0.197754
0.065,-0.0204468,0.20813
0.0655,0.00244141,0.195007
0.066,-0.00457764,0.132141
0.0665,-0.017395,0.0534058
0.067,-0.0299072,-0.022583
0.0675,-0.0369263,-0.078125
0.068,-0.0378418,-0.123596
0.0685,-0.0387573,-0.191956
0.069,-0.045166,-0.284119
0.0695,-0.0454712,-0.383911
0.07,-0.0308228,-0.429077
0.07050000000000001,-0.0180054,-0.376282
0.07100000000000001,-0.00671387,-0.228577
0.07150000000000001,0.00335693,-0.0622559
0.07200000000000001,0.00427246,0.0534058
0.0725,0.0256348,0.106812
0.073,0.0527954,0.123901
0.0735,0.0640869,0.118713
0.074,0.0909424,0.022583
0.0745,0.100708,-0.135498
0.075,0.0643921,-0.171204
0.0755,0.027771,-0.103149
0.076,0.00701904,-0.0219727
0.0765,0.000305176,-0.0183105
0.077,0.000610352,-0.0726318
0.0775,-0.00366211,-0.0311279
0.078,-0.0131226,0.159912
0.0785,-0.0201416,0.381165
0.079,-0.0250244,0.493774
0.0795,-0.0247192,0.516357
0.08,-0.0222778,0.484924
0.0805,-0.0259399,0.454407
0.081,-0.0186157,0.481567
0.0815,-0.00915527,0.445251
0.082,-0.00854492,0.368042
0.0825,-0.0112915,0.235291
0.083,-0.0164795,-0.00396729
0.0835,-0.0164795,-0.2948
0.084,-0.00305176,-0.514221
0.0845,0.0305176,-0.734558
0.085,0.0512695,-0.899353
0.0855,0.0354004,-0.844116
0.08600000000000001,0.0189209,-0.751343
0.08650000000000001,0.0100708,-0.694275
0.08700000000000001,-0.000305176,-0.615845
0.08750000000000001,-0.0115967,-0.666199
0.088,-0.0167847,-0.694275
0.0885,-0.0164795,-0.432739
0.089,-0.0195313,-0.171509
0.0895,-0.0271606,0.0250244
0.09,-0.0241089,0.148315
0.0905,-0.0231934,0.227356
0.091,-0.0283813,0.286255
0.0915,-0.0338745,0.32196
0.092,-0.0479126,0.31189
0.0925,-0.0646973,0.329895
0.093,-0.0735474,0.364685
0.0935,-0.0769043,0.384827
0.094,-0.0643921,0.366516
0.0945,-0.050354,0.321655
0.095,-0.0289917,0.301208
0.0955,-0.0137329,0.32196
0.096,0.00640869,0.340881
0.0965,0.038147,0.281677
0.097,0.0866699,0.21759
0.0975,0.12207,0.153809
0.098,0.150452,0.109253
0.0985,0.160217,0.0778198
0.099,0.138245,0.0314331
0.0995,0.0888062,0.00366211
0.1,0.0424194,0.010376
0.1005,0.00152588,0.0360107
0.101,-0.0265503,0.105896
0.1015,-0.0421143,0.24231
0.10200000000000001,-0.0494385,0.376587
0.10250000000000001,-0.0534058,0.39093
0.10300000000000001,-0.0372314,0.323181
0.10350000000000001,-0.0231934,0.189209
0.10400000000000001,-0.0332642,0.0588989
0.1045,-0.0244141,-0.00183105
0.105,0.0204468,-0.0881958
0.1055,0.0234985,-0.199585
0.106,-0.012207,-0.255737
0.1065,-0.0265503,-0.174866
0.107,-0.017395,-0.175476
0.1075,0.0109863,-0.323486
0.108,0.0265503,-0.500183
0.1085,0.0253296,-0.570374
0.109,0.0430298,-0.474243
0.1095,0.0634766,-0.387268
0.11,0.057373,-0.409241
0.1105,0.0341797,-0.493164
0.111,0.00152588,-0.513916
0.1115,-0.0286865,-0.422363
0.112,-0.0411987,-0.311279
0.1125,-0.0335693,-0.166016
0.113,-0.0314331,0.0012207
0.1135,-0.0305176,0.127258
0.114,-0.0354004,0.22583
0.1145,-0.0540161,0.281372
0.115,-0.0534058,0.328064
0.1155,-0.0350952,0.328064
0.116,0.00946045,0.216675
0.1165,0.0161743,0.0772095
0.117,-0.0241089,0.112915
0.11750000000000001,-0.0454712,0.186157
0.11800000000000001,-0.0436401,0.241089
0.11850000000000001,-0.0305176,0.255127
0.11900000000000001,-0.0231934,0.245667
0.11950000000000001,-0.00823975,0.24353
0.12,0.0384521,0.238342
