Time (s),Tricep,Shoulder
0.0,-0.0494385,0.164185
0.0005,-0.0515747,0.0863647
0.001,-0.0396729,0.0521851
0.0015,-0.0192261,0.106812
0.002,-0.00671387,0.133972
0.0025,-0.000610352,0.0817871
0.003,-0.00701904,0.0292969
0.0035,-0.000610352,-0.0805664
0.004,0.0158691,-0.220337
0.0045000000000000005,0.0405884,-0.291443
0.005,0.0924683,-0.289307
0.0055,0.105591,-0.307617
0.006,0.100098,-0.314026
0.006500000000000001,0.0601196,-0.278931
0.007,-0.0189209,-0.230408
0.0075,-0.0808716,-0.198059
0.008,-0.0976563,-0.0848389
0.0085,-0.0634766,0.0296021
0.009000000000000001,-0.0494385,0.127563
0.0095,-0.0637817,0.189819
0.01,-0.0778198,0.197144
0.0105,-0.0793457,0.128174
0.011,-0.0588989,0.0421143
0.0115,-0.0253296,-0.0134277
0.012,0.0115967,-0.0662231
0.0125,0.050354,-0.0149536
0.013000000000000001,0.120544,0.0164795
0.0135,0.185852,-0.0357056
0.014,0.155029,-0.0283813
0.0145,0.0982666,0.0704956
0.015,0.0939941,0.172729
0.0155,0.085144,0.118713
0.016,0.0454712,-0.085144
0.0165,0.0222778,-0.342102
0.017,0.00488281,-0.378113
0.0175,-0.0265503,-0.264587
0.018000000000000002,-0.0338745,-0.121765
0.0185,-0.0268555,-0.100708
0.019,-0.0305176,-0.243835
0.0195,-0.0494385,-0.212097
0.02,-0.0637817,-0.112305
0.0205,-0.0613403,-0.027771
0.021,-0.0421143,0.0653076
0.021500000000000002,-0.03479,0.0866699
0.022,-0.0384521,0.0921631
0.0225,-0.0411987,0.118103
0.023,-0.0427246,0.132751
0.0235,-0.0421143,0.110168
0.024,-0.0427246,0.105896
0.0245,-0.0384521,0.111694
0.025,-0.0292969,0.0997925
0.025500000000000002,-0.0183105,0.100708
0.026000000000000002,-0.00854492,0.164795
0.0265,-0.00366211,0.252075
0.027,-0.00244141,0.343018
0.0275,-0.00579834,0.364075
0.028,-0.00518799,0.334473
0.0285,-0.00396729,0.343323
0.029,-0.000305176,0.499573
0.029500000000000002,0.00762939,0.618896
0.03,0.0146484,0.566101
0.0305,0.0216675,0.385742
0.031,0.0186157,0.148621
0.0315,0.000610352,-0.133972
0.032,-0.012207,-0.381775
0.0325,-0.0125122,-0.663757
0.033,-0.00732422,-0.876465
0.0335,-0.00244141,-0.997009
0.034,-0.010376,-0.88562
0.0345,-0.0167847,-0.624084
0.035,-0.0119019,-0.274658
0.035500000000000004,-0.00274658,0.0283813
0.036000000000000004,0.0100708,0.189209
0.0365,0.0143433,0.20813
0.037,0.0131226,0.152893
0.0375,0.0354004,0.10437
0.038,0.0582886,0.0604248
0.0385,0.045166,-0.03479
0.039,0.022583,-0.154114
0.0395,0.00701904,-0.253296
0.04,-0.0131226,-0.272522
0.0405,-0.0231934,-0.294189
0.041,-0.0366211,-0.360718
0.0415,-0.0463867,-0.31189
0.042,-0.0473022,-0.164795
0.0425,-0.0430298,0.00762939
0.043000000000000003,-0.038147,0.197449
0.043500000000000004,-0.0262451,0.292358
0.044,-0.00640869,0.398865
0.0445,0.0149536,0.427856
0.045,0.0256348,0.382385
0.0455,0.0320435,0.361633
0.046,0.0524902,0.278931
0.0465,0.0708008,0.133667
0.047,0.0872803,-0.00183105
0.0475,0.088501,-0.163574
0.048,0.0540161,-0.135803
0.0485,-0.000305176,0.0900269
0.049,-0.0222778,0.232849
0.0495,-0.0219727,0.269775
0.05,-0.0204468,0.26123
0.0505,-0.0112915,0.214233
0.051000000000000004,0.0317383,0.118408
0.051500000000000004,0.0549316,0.0137329
0.052000000000000005,0.0418091,-0.137939
0.0525,0.0164795,-0.265808
0.053,-0.00915527,-0.333862
0.0535,-0.0231934,-0.323486
