Time (s),Tricep,Shoulder
0.0,0.067749,-0.113525
0.0005,0.0512695,-0.0906372
0.001,0.0259399,-0.0418091
0.0015,0.00213623,0.0372314
0.002,-0.0161743,0.0985718
0.0025,-0.0274658,0.134277
0.003,-0.0357056,0.166931
0.0035,-0.0466919,0.177002
0.004,-0.0521851,0.174866
0.0045000000000000005,-0.039978,0.174561
0.005,-0.0326538,0.172424
0.0055,-0.0354004,0.149536
0.006,-0.0280762,0.118713
0.006500000000000001,-0.0164795,0.0698853
0.007,-0.012207,-0.00640869
0.0075,-0.00610352,-0.155029
0.008,0.00854492,-0.274048
0.0085,0.0311279,-0.258789
0.009000000000000001,0.0372314,-0.157471
0.0095,0.0466919,-0.0601196
0.01,0.0482178,0.0134277
0.0105,0.0360107,0.0570679
0.011,0.00305176,0.0823975
0.0115,-0.0274658,0.111694
0.012,-0.0350952,0.116882
0.0125,-0.0375366,0.0994873
0.013000000000000001,-0.0216675,0.0820923
0.0135,0.0302124,0.108948
0.014,0.055542,0.134888
0.0145,0.0350952,0.126343
0.015,0.0198364,0.106201
0.0155,0.00549316,0.0845337
0.016,-0.0167847,0.0531006
0.0165,-0.0323486,-0.00640869
0.017,0.00274658,-0.0671387
0.0175,0.0582886,-0.116577
0.018000000000000002,0.0637817,-0.127258
0.0185,0.0250244,-0.141296
0.019,-0.0149536,-0.183411
0.0195,-0.0302124,-0.277405
0.02,-0.0424194,-0.32196
0.0205,-0.0491333,-0.26947
0.021,-0.0479126,-0.187073
0.021500000000000002,-0.0231934,-0.134583
0.022,-0.00274658,-0.105896
0.0225,0.000610352,-0.0378418
0.023,0.000915527,0.0579834
0.0235,0.0292969,0.110474
0.024,0.0244141,0.144043
0.0245,0.00701904,0.187073
0.025,0.00701904,0.212402
0.025500000000000002,0.015564,0.186768
0.026000000000000002,0.0137329,0.132446
0.0265,-0.00213623,0.0778198
0.027,-0.0158691,0.0524902
0.0275,-0.00701904,0.0357056
0.028,-0.00762939,0.0
0.0285,-0.0262451,-0.0387573
0.029,-0.0408936,-0.072937
0.029500000000000002,-0.0408936,-0.0750732
0.03,-0.0286865,-0.0558472
0.0305,-0.015564,-0.00152588
0.031,-0.00823975,0.062561
0.0315,-0.00274658,0.0808716
0.032,0.00366211,0.0759888
0.0325,0.00701904,0.0982666
0.033,0.0152588,0.126038
0.0335,0.0326538,0.113831
0.034,0.0402832,0.0778198
0.0345,0.0308228,0.0350952
0.035,0.0305176,-0.0354004
0.035500000000000004,0.0320435,-0.0942993
0.036000000000000004,0.0170898,-0.0640869
0.0365,0.00610352,-0.0518799
0.037,-0.00518799,-0.108032
0.0375,-0.0152588,-0.183105
0.038,-0.0210571,-0.166321
0.0385,-0.0274658,-0.132446
0.039,-0.0149536,-0.131836
0.0395,0.0299072,-0.108643
0.04,0.0314331,-0.0527954
0.0405,0.000305176,0.0204468
0.041,-0.0210571,0.0588989
0.0415,-0.0375366,0.0616455
0.042,-0.0613403,0.0567627
0.0425,-0.0604248,0.0384521
0.043000000000000003,-0.0442505,0.0369263
0.043500000000000004,-0.000305176,0.0415039
0.044,0.0338745,0.0448608
0.0445,0.0680542,0.0549316
0.045,0.0860596,0.0717163
0.0455,0.0640869,0.0753784
0.046,0.00854492,0.0723267
0.0465,-0.0360107,0.0741577
0.047,-0.043335,0.0778198
0.0475,-0.0396729,0.0897217
0.048,-0.0354004,0.0967407
0.0485,-0.032959,0.090332
0.049,-0.0247192,0.067749
0.0495,-0.0088501,0.0354004
0.05,0.017395,-0.00610352
0.0505,0.0228882,-0.0219727
0.051000000000000004,-0.00488281,-0.0119019
0.051500000000000004,-0.0326538,0.00244141
0.052000000000000005,-0.0320435,0.00213623
0.0525,-0.00762939,-0.0119019
0.053,0.00427246,-0.0311279
0.0535,-0.0177002,-0.071106
0.054,-0.0344849,-0.10376
0.0545,-0.0262451,-0.0799561
0.055,-0.0292969,-0.0177002
0.0555,-0.0402832,0.0430298
0.056,0.0012207,0.045166
0.0565,0.0396729,-0.0250244
0.057,0.0524902,-0.0552368
0.0575,0.0683594,-0.038147
0.058,0.088501,-0.00183105
0.0585,0.0662231,0.0378418
0.059000000000000004,0.03479,0.0439453
0.059500000000000004,0.0402832,0.0164795
0.06,0.0628662,-0.045166
0.0605,0.0564575,-0.104065
0.061,0.0265503,-0.174255
0.0615,0.00213623,-0.233765
0.062,-0.0323486,-0.236206
0.0625,-0.0585938,-0.169067
0.063,-0.0616455,-0.0723267
0.0635,-0.0595093,0.00793457
0.064,-0.0561523,0.0628662
0.0645,-0.0488281,0.108337
0.065,-0.0134277,0.127869
0.0655,0.0357056,0.109863
0.066,0.0479126,0.0952148
0.0665,0.0469971,0.108643
0.067,0.0262451,0.141602
0.0675,0.0152588,0.0637817
0.068,0.0415039,-0.0137329
0.0685,0.0454712,-0.03479
0.069,0.00305176,-0.032959
0.0695,-0.0323486,-0.0698853
0.07,-0.0424194,-0.0842285
0.07050000000000001,-0.0384521,-0.0982666
0.07100000000000001,-0.038147,-0.136108
0.07150000000000001,-0.0463867,-0.195313
0.07200000000000001,-0.0436401,-0.220337
0.0725,-0.03479,-0.178223
0.073,-0.0204468,-0.102539
0.0735,-0.0128174,-0.0350952
0.074,-0.00274658,0.0436401
0.0745,0.00213623,0.108643
0.075,0.0112915,0.143127
0.0755,0.0387573,0.181885
0.076,0.0521851,0.237427
0.0765,0.0222778,0.257568
0.077,-0.000610352,0.243835
0.0775,0.000610352,0.219727
0.078,0.00396729,0.172424
0.0785,0.00518799,0.0930786
0.079,0.0280762,-0.00274658
0.0795,0.0726318,-0.0875854
0.08,0.0708008,-0.135193
0.0805,0.0430298,-0.1651
0.081,0.0247192,-0.267639
0.0815,0.0335693,-0.359497
0.082,0.0210571,-0.365295
0.0825,-0.0219727,-0.261536
0.083,-0.0708008,-0.0973511
0.0835,-0.102234,0.0271606
0.084,-0.119019,0.0915527
0.0845,-0.116577,0.0860596
0.085,-0.117188,0.0332642
0.0855,-0.119934,0.00488281
0.08600000000000001,-0.111389,0.0146484
0.08650000000000001,-0.102844,0.0256348
0.08700000000000001,-0.0820923,-0.0119019
