Time (s),Tricep,Shoulder
0.0,0.123291,0.0299072
0.0005,0.168457,-0.0119019
0.001,0.176392,-0.045166
0.0015,0.167236,-0.0695801
0.002,0.155945,-0.0784302
0.0025,0.146484,-0.0741577
0.003,0.145264,-0.0720215
0.0035,0.125122,-0.0772095
0.004,0.0982666,-0.0714111
0.0045000000000000005,0.090332,-0.0592041
0.005,0.118103,-0.0476074
0.0055,0.151367,-0.0418091
0.006,0.166016,-0.0302124
0.006500000000000001,0.162964,-0.0253296
0.007,0.126038,-0.0363159
0.0075,0.0750732,-0.0482178
0.008,0.0195313,-0.0570679
0.0085,-0.0350952,-0.0527954
0.009000000000000001,-0.0732422,-0.0369263
0.0095,-0.09552,-0.0457764
0.01,-0.107117,-0.0674438
0.0105,-0.106201,-0.078125
0.011,-0.10498,-0.0671387
0.0115,-0.106506,-0.0262451
0.012,-0.101929,0.00976563
0.0125,-0.0927734,-0.0183105
0.013000000000000001,-0.0811768,-0.00335693
0.0135,-0.0750732,-0.0421143
0.014,-0.0796509,-0.151367
0.0145,-0.105896,-0.252991
0.015,-0.128784,-0.250854
0.0155,-0.134888,-0.157776
0.016,-0.140686,-0.0350952
0.0165,-0.13855,-0.0302124
0.017,-0.136108,-0.0152588
0.0175,-0.137634,0.240479
0.018000000000000002,-0.132751,0.37323
0.0185,-0.133057,0.36499
0.019,-0.138245,0.36499
0.0195,-0.133972,0.2771
0.02,-0.122681,0.0369263
0.0205,-0.105591,-0.29541
0.021,-0.0878906,-0.433044
0.021500000000000002,-0.062561,-0.40802
0.022,-0.0338745,-0.327148
0.0225,-0.0088501,-0.203552
0.023,0.0201416,-0.0387573
0.0235,0.0579834,0.0726318
0.024,0.0964355,0.160828
0.0245,0.135193,0.310669
0.025,0.184021,0.509949
0.025500000000000002,0.20752,0.574341
0.026000000000000002,0.214844,0.437622
0.0265,0.243835,0.280151
0.027,0.258484,0.209045
0.0275,0.241394,0.184631
0.028,0.193176,0.154724
0.0285,0.145264,0.0805664
0.029,0.11261,0.0314331
0.029500000000000002,0.0836182,0.00793457
0.03,0.0534058,-0.0341797
0.0305,0.0274658,-0.0790405
0.031,0.00732422,-0.0949097
0.0315,-0.0112915,-0.0891113
0.032,-0.0250244,-0.098877
0.0325,-0.0317383,-0.117188
0.033,-0.0384521,-0.121155
0.0335,-0.0457764,-0.124512
0.034,-0.0518799,-0.125427
0.0345,-0.055542,-0.131836
0.035,-0.057373,-0.133972
0.035500000000000004,-0.06073,-0.127869
0.036000000000000004,-0.0610352,-0.122375
0.0365,-0.06073,-0.119629
0.037,-0.0610352,-0.108337
0.0375,-0.0610352,-0.0985718
0.038,-0.0570679,-0.0918579
0.0385,-0.0558472,-0.0930786
0.039,-0.0518799,-0.126343
0.0395,-0.0476074,-0.13092
0.04,-0.0427246,-0.10376
0.0405,-0.0408936,-0.0817871
0.041,-0.0372314,-0.0674438
0.0415,-0.0332642,-0.0149536
0.042,-0.0317383,0.0183105
0.0425,-0.0338745,0.010376
0.043000000000000003,-0.0341797,0.0274658
0.043500000000000004,-0.0335693,0.0598145
0.044,-0.0317383,0.0387573
0.0445,-0.0320435,-0.0134277
0.045,-0.0357056,-0.0366211
0.0455,-0.0375366,-0.0588989
0.046,-0.0408936,-0.108337
0.0465,-0.0366211,-0.105286
0.047,-0.0286865,-0.0479126
0.0475,-0.027771,0.0256348
0.048,-0.0241089,0.0894165
0.0485,-0.0152588,0.119629
0.049,-0.00762939,0.158691
0.0495,-0.000610352,0.162964
0.05,0.0161743,0.0320435
0.0505,0.0271606,-0.00274658
0.051000000000000004,0.0439453,0.0189209
0.051500000000000004,0.0531006,0.0149536
0.052000000000000005,0.0579834,0.0405884
0.0525,0.0619507,0.0363159
0.053,0.057373,0.0479126
0.0535,0.0460815,0.0897217
0.054,0.0396729,0.116272
0.0545,0.03479,0.135498
0.055,0.0201416,0.177917
0.0555,0.00335693,0.189514
0.056,-0.0100708,0.157471
0.0565,-0.00915527,0.116882
0.057,0.000915527,0.085144
0.0575,0.00366211,0.06073
0.058,-0.00793457,0.0231934
0.0585,-0.0271606,-0.00152588
0.059000000000000004,-0.0482178,-0.0170898
0.059500000000000004,-0.0567627,-0.0265503
0.06,-0.0518799,-0.0640869
0.0605,-0.0332642,-0.103455
0.061,-0.00671387,-0.106506
0.0615,0.0219727,-0.108032
0.062,0.0598145,-0.121765
0.0625,0.0967407,-0.128784
0.063,0.14801,-0.118713
0.0635,0.200806,-0.108948
0.064,0.204468,-0.0888062
0.0645,0.181274,-0.0817871
0.065,0.123596,-0.0656128
0.0655,0.0561523,-0.0439453
0.066,0.0109863,-0.0186157
0.0665,-0.0228882,0.00671387
0.067,-0.0305176,0.00366211
0.0675,-0.0198364,-0.0112915
0.068,-0.000610352,-0.00671387
0.0685,0.00640869,0.0204468
0.069,0.00915527,0.0421143
0.0695,0.00305176,0.0259399
0.07,-0.00701904,-0.0161743
