Time (s),Tricep,Shoulder
0.0,-0.185547,-0.0875854
0.0005,-0.152283,-0.0762939
0.001,-0.117188,-0.0527954
0.0015,-0.0756836,-0.0192261
0.002,-0.032959,-0.00274658
0.0025,0.0180054,0.0241089
0.003,0.107727,0.0546265
0.0035,0.182495,0.0369263
0.004,0.24292,0.0732422
0.0045000000000000005,0.305176,0.215759
0.005,0.329285,0.323181
0.0055,0.316772,0.245361
0.006,0.307312,0.169678
0.006500000000000001,0.298462,0.108643
0.007,0.244446,0.06073
0.0075,0.161743,0.0143433
0.008,0.108643,-0.0350952
0.0085,0.0894165,-0.0592041
0.009000000000000001,0.0741577,-0.0808716
0.0095,0.0576782,-0.0900269
0.01,0.0125122,-0.0912476
0.0105,-0.00915527,-0.0891113
0.011,0.00732422,-0.0921631
0.0115,0.0418091,-0.0857544
0.012,0.0418091,-0.0744629
0.0125,0.0152588,-0.0708008
0.013000000000000001,-0.000915527,-0.0793457
0.0135,-0.0213623,-0.102844
0.014,-0.0238037,-0.112305
0.0145,-0.0204468,-0.0985718
0.015,-0.0250244,-0.0784302
0.0155,-0.0302124,-0.0561523
0.016,-0.0518799,-0.0354004
0.0165,-0.0671387,0.0268555
0.017,-0.0732422,0.0531006
0.0175,-0.0662231,0.0268555
0.018000000000000002,-0.0610352,0.00488281
0.0185,-0.032959,0.0308228
0.019,0.0231934,0.257568
0.0195,0.065918,0.325928
0.02,0.0558472,0.185852
0.0205,-0.0256348,0.043335
0.021,-0.122681,-0.0344849
0.021500000000000002,-0.186462,-0.0405884
0.022,-0.195007,-0.0369263
0.0225,-0.173035,-0.039978
0.023,-0.144653,-0.0582886
0.0235,-0.131836,-0.0592041
0.024,-0.122375,-0.00427246
0.0245,-0.107727,0.0546265
0.025,-0.0698853,0.0411987
0.025500000000000002,-0.00854492,0.00610352
0.026000000000000002,0.0918579,-0.000610352
0.0265,0.193176,-0.0192261
0.027,0.242615,-0.0228882
0.0275,0.334778,-0.0158691
0.028,0.421448,-0.00823975
0.0285,0.439453,-0.0415039
0.029,0.359497,-0.0976563
0.029500000000000002,0.22522,-0.135803
0.03,0.0720215,-0.14801
0.0305,-0.050354,-0.100403
0.031,-0.129395,-0.0161743
0.0315,-0.133972,0.0170898
0.032,-0.107422,0.000305176
0.0325,-0.0845337,0.0161743
0.033,-0.0787354,0.0256348
0.0335,-0.0878906,-0.0332642
0.034,-0.102844,0.0830078
0.0345,-0.118713,0.253906
0.035,-0.148315,0.151062
0.035500000000000004,-0.192871,0.027771
0.036000000000000004,-0.220642,-0.0460815
0.0365,-0.233765,-0.0476074
0.037,-0.26947,-0.0604248
0.0375,-0.290833,-0.0628662
0.038,-0.274658,-0.00549316
0.0385,-0.248718,0.039978
0.039,-0.215759,0.0265503
0.0395,-0.1828,0.000915527
0.04,-0.141602,0.0106812
0.0405,-0.0897217,0.0534058
0.041,-0.0360107,0.117188
0.0415,0.0137329,0.136108
0.042,0.0866699,0.0689697
0.0425,0.137634,-0.0198364
0.043000000000000003,0.193481,-0.0796509
0.043500000000000004,0.236816,-0.0958252
0.044,0.252075,-0.0918579
0.0445,0.26001,-0.0839233
0.045,0.255127,-0.050354
0.0455,0.23407,-0.0253296
0.046,0.197754,0.00183105
0.0465,0.168762,0.0253296
0.047,0.0961304,0.0180054
0.0475,0.0250244,0.0363159
0.048,-0.00427246,0.0363159
0.0485,-0.0115967,0.00793457
0.049,-0.032959,-0.00427246
0.0495,-0.0531006,-0.0109863
0.05,-0.0738525,-0.0247192
0.0505,-0.0817871,-0.0271606
0.051000000000000004,-0.0918579,-0.027771
0.051500000000000004,-0.0946045,-0.00305176
0.052000000000000005,-0.065918,0.0283813
0.0525,-0.012207,0.0152588
0.053,0.038147,-0.00396729
0.0535,0.078125,-0.0125122
0.054,0.108643,-0.0201416
0.0545,0.128784,-0.0247192
0.055,0.134277,-0.0234985
0.0555,0.141907,-0.0244141
0.056,0.160828,-0.0256348
0.0565,0.157471,-0.0192261
0.057,0.108032,-0.0250244
