Time (s),Tricep,Shoulder
0.0,-0.158386,0.0997925
0.0005,-0.0537109,0.126953
0.001,0.0631714,0.151978
0.0015,0.230713,0.21759
0.002,0.37262,0.258789
0.0025,0.514221,0.164795
0.003,0.621948,0.0765991
0.0035,0.696716,0.0198364
0.004,0.735168,-0.0292969
0.0045000000000000005,0.617981,-0.0637817
0.005,0.405579,-0.0698853
0.0055,0.248413,-0.0564575
0.006,0.164185,-0.0479126
0.006500000000000001,0.10376,-0.0289917
0.007,0.0640869,-0.0146484
0.0075,0.055542,0.00396729
0.008,0.0387573,0.017395
0.0085,0.0131226,0.015564
0.009000000000000001,-0.0134277,-0.00305176
0.0095,-0.032959,-0.0201416
0.01,-0.06073,-0.0253296
0.0105,-0.0857544,-0.0192261
0.011,-0.131531,-0.00946045
0.0115,-0.169373,-0.0100708
0.012,-0.177612,-0.00671387
0.0125,-0.134888,-0.010376
0.013000000000000001,-0.098877,-0.00854492
0.0135,-0.0512695,-0.00488281
0.014,-0.0152588,-0.0137329
0.0145,0.0421143,-0.0204468
0.015,0.145874,-0.0265503
0.0155,0.245667,-0.0299072
0.016,0.293884,-0.0250244
0.0165,0.287781,0.000305176
0.017,0.225525,0.00274658
0.0175,0.0991821,-0.0167847
0.018000000000000002,-0.0515747,-0.0543213
0.0185,-0.183716,-0.0701904
0.019,-0.342407,-0.0762939
0.0195,-0.506592,-0.0698853
0.02,-0.631714,-0.0338745
0.0205,-0.666809,-0.00854492
0.021,-0.606689,0.00488281
0.021500000000000002,-0.515442,0.0280762
0.022,-0.401917,0.0549316
0.0225,-0.282898,0.169373
0.023,-0.184937,0.169678
0.0235,-0.115967,0.0405884
0.024,-0.0735474,-0.125427
0.0245,-0.0384521,-0.26062
0.025,-0.00762939,-0.286865
0.025500000000000002,0.0228882,-0.191956
0.026000000000000002,0.0537109,-0.0827026
0.0265,0.0875854,0.116272
0.027,0.110168,0.138245
0.0275,0.123596,0.119629
0.028,0.131836,0.0601196
0.0285,0.140381,0.143127
0.029,0.14679,0.457764
0.029500000000000002,0.151672,0.462341
0.03,0.153198,0.386047
0.0305,0.158386,0.320435
0.031,0.140076,0.222168
0.0315,0.100403,0.103455
0.032,0.0177002,-0.0695801
0.0325,-0.0811768,-0.161438
0.033,-0.160522,-0.145569
0.0335,-0.20874,-0.110779
0.034,-0.214844,-0.0933838
0.0345,-0.187988,-0.0909424
0.035,-0.146484,-0.0918579
0.035500000000000004,-0.108643,-0.0906372
0.036000000000000004,-0.0521851,-0.0762939
0.0365,0.0088501,-0.0619507
0.037,0.0894165,-0.0491333
0.0375,0.223999,-0.039978
0.038,0.406189,-0.0317383
0.0385,0.562439,-0.0216675
0.039,0.614014,-0.0219727
0.0395,0.583801,-0.0354004
0.04,0.458984,-0.0531006
0.0405,0.317078,-0.0601196
0.041,0.189209,-0.0546265
0.0415,0.123596,-0.0509644
0.042,0.12146,-0.0479126
0.0425,0.108643,-0.0448608
0.043000000000000003,0.0543213,-0.0387573
0.043500000000000004,-0.00305176,-0.0360107
0.044,-0.0344849,-0.0354004
0.0445,-0.045166,-0.032959
0.045,-0.0369263,-0.0296021
0.0455,-0.0183105,-0.0262451
0.046,-0.012207,-0.0238037
0.0465,-0.0436401,-0.0198364
0.047,-0.0909424,-0.0131226
0.0475,-0.116272,-0.00946045
0.048,-0.139771,-0.00640869
0.0485,-0.155334,-0.00335693
0.049,-0.162659,-0.000305176
0.0495,-0.162659,0.000305176
0.05,-0.161438,0.00366211
0.0505,-0.162048,0.00518799
0.051000000000000004,-0.158997,0.00396729
0.051500000000000004,-0.148621,-0.00396729
0.052000000000000005,-0.144958,-0.0198364
0.0525,-0.161743,-0.0469971
0.053,-0.193787,-0.0759888
0.0535,-0.267029,-0.0979614
0.054,-0.366821,-0.0982666
0.0545,-0.430908,-0.104675
0.055,-0.441589,-0.110779
0.0555,-0.437622,-0.104065
0.056,-0.396423,-0.0817871
0.0565,-0.338135,-0.0311279
0.057,-0.261841,0.0390625
0.0575,-0.172119,0.115967
0.058,-0.00274658,0.229797
0.0585,0.241089,0.37384
0.059000000000000004,0.521851,0.40863
0.059500000000000004,0.759277,0.298462
0.06,0.866394,0.160828
0.0605,0.838318,0.0656128
0.061,0.708008,-0.0131226
0.0615,0.492249,-0.0643921
0.062,0.280457,-0.0778198
0.0625,0.133972,-0.0527954
0.063,0.0466919,-0.038147
0.0635,0.00427246,-0.0390625
0.064,-0.0201416,-0.0405884
0.0645,-0.0283813,-0.0384521
0.065,-0.0375366,-0.0326538
0.0655,-0.0415039,-0.027771
0.066,-0.0430298,-0.0302124
0.0665,-0.0524902,-0.0332642
0.067,-0.0775146,-0.03479
0.0675,-0.0946045,-0.0323486
0.068,-0.0994873,-0.0305176
0.0685,-0.101013,-0.0271606
0.069,-0.103455,-0.022583
0.0695,-0.108948,-0.0192261
0.07,-0.123901,-0.0180054
