Time (s),Tricep,Shoulder
0.0,0.897217,0.161133
0.0005,1.00311,0.181885
0.001,1.01868,0.123291
0.0015,0.868835,0.027771
0.002,0.567932,0.00915527
0.0025,0.270996,-0.0253296
0.003,0.0805664,-0.0476074
0.0035,-0.0152588,-0.0518799
0.004,-0.0588989,-0.0170898
0.0045000000000000005,-0.109253,0.0262451
0.005,-0.134888,0.0247192
0.0055,-0.0839233,-0.0143433
0.006,-0.0115967,-0.050354
0.006500000000000001,0.102844,-0.0476074
0.007,0.228271,-0.0253296
0.0075,0.368652,-0.00427246
0.008,0.414734,-0.0250244
0.0085,0.293274,-0.0537109
0.009000000000000001,0.0820923,-0.0680542
0.0095,-0.168457,-0.0732422
0.01,-0.397949,-0.071106
0.0105,-0.496826,-0.0680542
0.011,-0.508423,-0.0637817
0.0115,-0.541992,-0.0576782
0.012,-0.522156,-0.0531006
0.0125,-0.465088,-0.0497437
0.013000000000000001,-0.343018,-0.0393677
0.0135,-0.224609,-0.0299072
0.014,-0.0961304,-0.0271606
0.0145,0.055542,-0.0183105
0.015,0.152893,-0.0189209
0.0155,0.188599,-0.0195313
0.016,0.169983,-0.0189209
0.0165,0.142212,-0.0299072
0.017,0.0588989,-0.03479
0.0175,0.0128174,-0.0183105
0.018000000000000002,-0.0576782,-0.0161743
0.0185,-0.140686,-0.0219727
0.019,-0.179138,-0.0183105
0.0195,-0.0964355,0.0668335
0.02,-0.0973511,0.251465
0.0205,-0.165405,0.214844
0.021,-0.197144,0.100098
0.021500000000000002,-0.227051,0.00915527
0.022,-0.23468,-0.0460815
0.0225,-0.222168,-0.0466919
0.023,-0.215149,0.0274658
0.0235,-0.273132,0.0811768
0.024,-0.26001,0.0509644
0.0245,-0.182495,0.0140381
0.025,-0.0848389,-0.0210571
0.025500000000000002,0.0967407,-0.0354004
0.026000000000000002,0.352173,-0.0183105
0.0265,0.5896,0.00244141
0.027,0.654297,0.0140381
0.0275,0.536194,0.00915527
0.028,0.329895,0.00640869
0.0285,0.210266,-0.00213623
0.029,0.14679,-0.0112915
0.029500000000000002,0.0100708,-0.027771
0.03,-0.108948,-0.0469971
0.0305,-0.151978,-0.0552368
0.031,-0.156555,-0.0668335
0.0315,-0.181885,-0.0817871
0.032,-0.275879,-0.090332
0.0325,-0.317383,-0.0817871
0.033,-0.238342,-0.0634766
0.0335,-0.126343,-0.0167847
0.034,-0.0588989,-0.00640869
0.0345,0.0558472,-0.000305176
0.035,0.28656,0.0204468
0.035500000000000004,0.612488,0.0582886
0.036000000000000004,0.858459,0.0802612
0.0365,0.94635,0.101929
0.037,0.914612,0.140686
0.0375,0.793762,0.156555
0.038,0.577087,0.131531
0.0385,0.372925,0.0802612
0.039,0.186157,-0.00457764
0.0395,-0.0228882,0.00762939
0.04,-0.22583,0.0558472
0.0405,-0.352783,0.0
0.041,-0.421143,-0.0637817
0.0415,-0.438843,-0.0805664
0.042,-0.431824,-0.0799561
0.0425,-0.397949,-0.0744629
0.043000000000000003,-0.379333,-0.0665283
0.043500000000000004,-0.37384,-0.057373
0.044,-0.349121,-0.0473022
0.0445,-0.25116,-0.0363159
0.045,-0.0546265,-0.0250244
0.0455,0.252686,-0.00305176
0.046,0.509033,0.0259399
0.0465,0.592651,0.0384521
0.047,0.508423,0.0247192
0.0475,0.237427,0.00762939
0.048,-0.0204468,-0.000915527
0.0485,-0.243835,-0.0189209
0.049,-0.391541,-0.0457764
0.0495,-0.46814,-0.0585938
0.05,-0.488892,-0.0704956
0.0505,-0.431824,-0.0646973
0.051000000000000004,-0.379944,-0.0671387
0.051500000000000004,-0.34668,-0.0656128
0.052000000000000005,-0.276184,-0.0564575
0.0525,-0.212097,-0.065918
0.053,-0.179138,-0.0732422
0.0535,-0.164795,-0.0604248
0.054,-0.140076,-0.0231934
0.0545,-0.178528,0.043335
0.055,-0.242615,0.108032
0.0555,-0.315857,0.188904
0.056,-0.361023,0.157166
0.0565,-0.374756,0.0653076
0.057,-0.342712,0.015564
0.0575,-0.289612,-0.00793457
0.058,-0.22644,-0.00946045
0.0585,-0.168762,-0.0128174
0.059000000000000004,-0.0888062,-0.0326538
0.059500000000000004,-0.0183105,0.0485229
0.06,0.015564,0.13855
0.0605,0.0262451,0.16449
0.061,0.0744629,0.0256348
0.0615,0.0790405,-0.12207
