Time (s),Tricep,Shoulder
0.0,0.0143433,0.10376
0.0005,0.010376,0.132751
0.001,0.000305176,0.143433
0.0015,-0.0088501,0.115967
0.002,0.000915527,0.0305176
0.0025,0.015564,-0.0292969
0.003,0.0152588,-0.0540161
0.0035,0.00274658,-0.0524902
0.004,-0.0106812,-0.0357056
0.0045000000000000005,-0.022583,-0.0259399
0.005,-0.0314331,-0.0131226
0.0055,-0.0469971,0.0140381
0.006,-0.0549316,0.0494385
0.006500000000000001,-0.0582886,0.0759888
0.007,-0.0421143,0.102844
0.0075,-0.0326538,0.0927734
0.008,-0.027771,0.0701904
0.0085,-0.0149536,0.0415039
0.009000000000000001,-0.00152588,0.0256348
0.0095,0.0262451,0.0170898
0.01,0.0546265,0.0137329
0.0105,0.0772095,0.0183105
0.011,0.0634766,0.0167847
0.0115,0.0140381,-0.0012207
0.012,-0.0390625,-0.0454712
0.0125,-0.0695801,-0.112305
0.013000000000000001,-0.0643921,-0.154114
0.0135,-0.0421143,-0.159912
0.014,-0.020752,-0.150146
0.0145,-0.0106812,-0.151367
0.015,-0.00183105,-0.134888
0.0155,-0.00427246,-0.0915527
0.016,-0.00549316,-0.0540161
0.0165,-0.00427246,-0.0360107
0.017,0.010376,-0.0262451
0.0175,0.0366211,-0.00335693
0.018000000000000002,0.0479126,0.0140381
0.0185,0.0482178,0.020752
0.019,0.0415039,0.0149536
0.0195,0.0393677,0.00671387
0.02,0.0311279,0.00762939
0.0205,0.0186157,0.00488281
0.021,0.0241089,0.0177002
0.021500000000000002,0.0292969,0.0424194
0.022,0.0125122,0.0537109
0.0225,-0.0152588,0.0219727
0.023,-0.0292969,-0.0012207
0.0235,-0.020752,0.00396729
0.024,-0.0158691,0.0204468
0.0245,-0.0271606,0.0531006
0.025,-0.0289917,0.0759888
0.025500000000000002,-0.0250244,0.093689
0.026000000000000002,-0.0152588,0.0900269
0.0265,-0.0210571,0.0628662
0.027,-0.0219727,0.0344849
0.0275,-0.0170898,0.0268555
0.028,-0.0177002,0.0164795
0.0285,-0.0170898,0.0186157
0.029,-0.00915527,0.0320435
0.029500000000000002,0.00427246,0.0405884
0.03,0.0186157,0.0415039
0.0305,0.0268555,0.0149536
0.031,0.0305176,-0.0378418
0.0315,0.0305176,-0.0473022
0.032,0.0146484,-0.050354
0.0325,-0.00152588,-0.0442505
0.033,-0.000610352,-0.0341797
0.0335,0.0152588,-0.0146484
0.034,0.0390625,-0.000610352
0.0345,0.0540161,0.0213623
0.035,0.0527954,0.0274658
0.035500000000000004,0.0457764,0.0106812
0.036000000000000004,0.0366211,-0.0149536
0.0365,0.027771,-0.0262451
0.037,0.0128174,-0.0262451
0.0375,0.000915527,-0.0247192
0.038,-0.0241089,-0.0210571
0.0385,-0.0476074,-0.0375366
0.039,-0.0482178,-0.0463867
0.0395,-0.0521851,-0.0286865
0.04,-0.055542,-0.00244141
0.0405,-0.0518799,0.0088501
0.041,-0.0369263,0.0244141
0.0415,-0.0219727,0.0488281
0.042,-0.0161743,0.0650024
0.0425,-0.0204468,0.0646973
0.043000000000000003,-0.0299072,0.0534058
0.043500000000000004,-0.0234985,0.0204468
0.044,-0.00610352,-0.00457764
0.0445,0.00366211,-0.0247192
0.045,-0.00152588,-0.0460815
0.0455,-0.0100708,-0.0793457
0.046,-0.0125122,-0.121155
0.0465,-0.0241089,-0.180054
0.047,-0.0302124,-0.184326
0.0475,-0.0268555,-0.147705
0.048,-0.0222778,-0.0949097
0.0485,-0.0146484,-0.0500488
0.049,-0.00701904,-0.00671387
0.0495,0.00457764,0.0305176
0.05,0.0152588,0.0650024
0.0505,0.0222778,0.0863647
0.051000000000000004,0.0289917,0.101929
0.051500000000000004,0.0360107,0.110779
0.052000000000000005,0.043335,0.107422
0.0525,0.0512695,0.106812
0.053,0.0570679,0.112915
0.0535,0.0631714,0.119019
0.054,0.055542,0.10498
