Time (s),Tricep,Shoulder
0.0,-0.271606,0.221252
0.0005,-0.262756,0.212708
0.001,-0.184021,0.163574
0.0015,-0.0888062,0.0741577
0.002,-0.0112915,-0.0665283
0.0025,-0.00366211,-0.239868
0.003,-0.0421143,-0.419312
0.0035,-0.0753784,-0.537109
0.004,-0.0668335,-0.563965
0.0045000000000000005,-0.0195313,-0.560303
0.005,0.03479,-0.55542
0.0055,0.0778198,-0.52948
0.006,0.109863,-0.480347
0.006500000000000001,0.129089,-0.383606
0.007,0.122375,-0.212708
0.0075,0.111084,-0.0241089
0.008,0.122681,0.116272
0.0085,0.138855,0.193176
0.009000000000000001,0.128784,0.183105
0.0095,0.0735474,0.137329
0.01,-0.0143433,0.11322
0.0105,-0.071106,0.0991821
0.011,-0.0708008,0.0961304
0.0115,-0.0466919,0.0915527
0.012,-0.0234985,0.0811768
0.0125,0.00152588,0.0796509
0.013000000000000001,0.0198364,0.0646973
0.0135,0.0292969,0.0393677
0.014,0.0308228,0.0244141
0.0145,0.0289917,0.00183105
0.015,0.015564,0.0479126
0.0155,-0.00640869,0.20874
0.016,-0.0216675,0.344238
0.0165,-0.0274658,0.384827
0.017,-0.0262451,0.335693
0.0175,-0.0238037,0.235291
0.018000000000000002,-0.00793457,0.098877
0.0185,0.0363159,-0.0158691
0.019,0.0732422,-0.0714111
0.0195,0.0997925,-0.112915
0.02,0.117493,-0.174255
0.0205,0.126953,-0.247803
0.021,0.128479,-0.328979
0.021500000000000002,0.128784,-0.46875
0.022,0.145874,-0.542297
0.0225,0.146179,-0.606079
0.023,0.128174,-0.623169
0.0235,0.0762939,-0.522766
0.024,-0.0292969,-0.346069
0.0245,-0.161743,-0.160828
0.025,-0.267639,0.00335693
0.025500000000000002,-0.285645,0.145569
0.026000000000000002,-0.21759,0.25116
0.0265,-0.13916,0.326233
0.027,-0.104675,0.350952
0.0275,-0.0912476,0.327759
0.028,-0.0839233,0.305481
0.0285,-0.0860596,0.259399
0.029,-0.0924683,0.239868
0.029500000000000002,-0.10498,0.254211
0.03,-0.119629,0.272217
0.0305,-0.115662,0.295105
0.031,-0.0857544,0.344849
0.0315,-0.055542,0.499573
0.032,-0.0378418,0.623169
0.0325,-0.0244141,0.59967
0.033,0.00152588,0.483704
0.0335,0.0335693,0.346069
0.034,0.0588989,0.201111
0.0345,0.0836182,0.0201416
0.035,0.105591,-0.152893
0.035500000000000004,0.0979614,-0.315857
0.036000000000000004,0.085144,-0.445862
0.0365,0.0784302,-0.541077
0.037,0.0973511,-0.606689
0.0375,0.122375,-0.59906
0.038,0.127258,-0.554199
0.0385,0.102539,-0.536804
0.039,0.0604248,-0.502625
0.0395,0.0219727,-0.400085
0.04,-0.0012207,-0.229797
0.0405,-0.00366211,-0.0808716
0.041,0.00457764,0.0268555
0.0415,0.00915527,0.0973511
0.042,0.00457764,0.148621
0.0425,-0.00549316,0.176697
0.043000000000000003,-0.00701904,0.204468
0.043500000000000004,-0.00518799,0.204773
0.044,-0.0140381,0.177002
0.0445,-0.0210571,0.117188
0.045,-0.0149536,0.0570679
0.0455,-0.00762939,-0.0421143
0.046,-0.0167847,-0.133972
0.0465,-0.0268555,-0.140991
0.047,-0.0247192,-0.0790405
0.0475,-0.0241089,0.0112915
0.048,-0.0305176,0.108032
0.0485,-0.0216675,0.241699
0.049,-0.00762939,0.368042
0.0495,0.000305176,0.479736
0.05,0.0012207,0.540466
0.0505,-0.00335693,0.502319
0.051000000000000004,-0.0143433,0.3479
0.051500000000000004,-0.0201416,0.273743
0.052000000000000005,-0.00762939,0.230713
0.0525,0.0149536,0.158386
0.053,0.0518799,0.0286865
0.0535,0.0582886,-0.140381
0.054,0.00915527,-0.239563
0.0545,-0.0387573,-0.28717
0.055,-0.0274658,-0.34729
0.0555,0.0241089,-0.383606
0.056,0.0628662,-0.404968
0.0565,0.072937,-0.439758
0.057,0.0592041,-0.446472
0.0575,0.0424194,-0.428467
0.058,0.0228882,-0.338135
0.0585,-0.00793457,-0.246582
0.059000000000000004,-0.0390625,-0.135498
0.059500000000000004,-0.0634766,-0.00366211
0.06,-0.0622559,0.10437
0.0605,-0.0494385,0.146179
0.061,-0.050354,0.148926
0.0615,-0.0585938,0.158386
0.062,-0.0570679,0.168457
0.0625,-0.0396729,0.171204
0.063,-0.0228882,0.164795
0.0635,-0.0152588,0.152893
0.064,-0.0131226,0.13855
0.0645,-0.0140381,0.140076
0.065,-0.00915527,0.149231
0.0655,-0.00244141,0.15686
0.066,0.00610352,0.172729
0.0665,0.0112915,0.199585
0.067,0.0125122,0.21637
0.0675,0.00793457,0.229492
0.068,0.00976563,0.224915
0.0685,0.0219727,0.2005
0.069,0.0402832,0.19165
0.0695,0.0466919,0.196838
0.07,0.050354,0.184631
0.07050000000000001,0.0390625,0.109863
0.07100000000000001,0.00671387,0.0296021
0.07150000000000001,-0.0106812,-0.0656128
0.07200000000000001,-0.0210571,-0.171204
0.0725,-0.0238037,-0.285645
0.073,-0.0152588,-0.41626
0.0735,-0.0134277,-0.544434
0.074,-0.0384521,-0.614624
0.0745,-0.0695801,-0.68634
0.075,-0.0708008,-0.72998
0.0755,-0.0442505,-0.670166
0.076,-0.0238037,-0.542297
0.0765,-0.0115967,-0.368652
0.077,0.00488281,-0.187073
0.0775,0.0213623,-0.0177002
0.078,0.032959,0.12146
0.0785,0.0390625,0.218811
0.079,0.0363159,0.296326
0.0795,0.0317383,0.323792
0.08,0.0308228,0.37323
0.0805,0.0256348,0.368042
0.081,0.0112915,0.37323
0.0815,-0.00793457,0.377197
0.082,-0.0335693,0.430908
0.0825,-0.0601196,0.516357
0.083,-0.0765991,0.61676
0.0835,-0.0735474,0.674744
0.084,-0.0595093,0.655212
0.0845,-0.0442505,0.558167
0.085,-0.0332642,0.462036
0.0855,-0.00274658,0.316162
0.08600000000000001,0.0357056,0.148926
0.08650000000000001,0.0817871,0.0296021
0.08700000000000001,0.13031,-0.0668335
0.08750000000000001,0.164795,-0.181885
0.088,0.192261,-0.370483
0.0885,0.197754,-0.579834
0.089,0.181274,-0.741882
0.0895,0.125427,-0.80658
0.09,0.0610352,-0.823669
0.0905,0.0393677,-0.809937
0.091,0.0274658,-0.716553
0.0915,-0.0012207,-0.626831
0.092,-0.0613403,-0.543823
0.0925,-0.121155,-0.415955
0.093,-0.138855,-0.248718
0.0935,-0.11261,-0.0946045
0.094,-0.085144,0.0238037
0.0945,-0.0686646,0.12146
0.095,-0.0619507,0.234375
0.0955,-0.06073,0.343323
0.096,-0.0610352,0.383606
0.0965,-0.0567627,0.435791
0.097,-0.0640869,0.505371
0.0975,-0.0875854,0.447388
0.098,-0.0961304,0.237427
0.0985,-0.0793457,0.0894165
0.099,-0.0460815,-0.0527954
0.0995,-0.00427246,-0.127563
0.1,0.0405884,-0.0982666
0.1005,0.0692749,-0.0146484
0.101,0.0540161,0.00823975
0.1015,0.0140381,0.0100708
0.10200000000000001,-0.015564,0.0338745
0.10250000000000001,0.000915527,0.0244141
0.10300000000000001,0.0354004,0.00610352
0.10350000000000001,0.0650024,-0.00366211
0.10400000000000001,0.0735474,0.0469971
0.1045,0.0531006,0.14801
0.105,0.0238037,0.249939
0.1055,0.00610352,0.358582
0.106,0.00152588,0.391235
0.1065,0.000305176,0.356445
0.107,-0.00213623,0.344238
0.1075,-0.00610352,0.28595
0.108,0.0012207,0.211792
0.1085,0.00640869,0.1651
0.109,0.0012207,0.121765
0.1095,-0.000915527,0.0643921
0.11,-0.0012207,0.020752
0.1105,-0.000610352,-0.00854492
0.111,0.00305176,-0.0488281
0.1115,0.0115967,-0.0708008
0.112,0.0106812,-0.0836182
0.1125,0.0088501,-0.0875854
0.113,0.00976563,-0.0921631
0.1135,0.00457764,-0.0973511
0.114,-0.0134277,-0.0622559
0.1145,-0.0357056,0.00793457
0.115,-0.0518799,0.0775146
0.1155,-0.057373,0.135498
0.116,-0.0683594,0.144958
0.1165,-0.0775146,0.120239
0.117,-0.0866699,0.100403
0.11750000000000001,-0.0842285,0.0610352
0.11800000000000001,-0.0747681,-0.0442505
0.11850000000000001,-0.0402832,-0.200195
0.11900000000000001,-0.00518799,-0.28656
0.11950000000000001,0.0119019,-0.334473
0.12,0.0183105,-0.380249
0.1205,0.0521851,-0.462952
0.121,0.0958252,-0.584717
0.1215,0.119629,-0.634766
0.122,0.116882,-0.623779
0.1225,0.0930786,-0.560303
0.123,0.0680542,-0.450134
0.1235,0.0439453,-0.293274
0.124,0.0195313,-0.19104
0.1245,-0.00183105,-0.0979614
0.125,-0.0247192,0.0579834
0.1255,-0.0405884,0.172729
0.126,-0.0405884,0.238037
0.1265,-0.027771,0.290833
0.127,-0.0177002,0.30426
0.1275,-0.00976563,0.316772
0.128,-0.0100708,0.335999
0.1285,-0.0134277,0.344543
0.129,-0.0152588,0.339661
0.1295,-0.0119019,0.335693
0.13,-0.0109863,0.324097
0.1305,-0.0109863,0.293274
0.131,-0.0112915,0.255432
0.1315,-0.0115967,0.21637
0.132,-0.0170898,0.1651
0.1325,-0.0213623,0.0863647
0.133,-0.022583,0.0341797
0.1335,-0.0192261,-0.00549316
0.134,-0.0140381,0.00946045
0.1345,-0.00823975,0.00671387
0.135,-0.00518799,-0.00457764
0.1355,-0.00305176,-0.0717163
0.136,-0.00183105,-0.112
0.1365,-0.00671387,-0.0683594
0.137,-0.00671387,-0.0222778
0.1375,0.00335693,-0.0186157
0.138,0.0256348,-0.0485229
0.1385,0.0469971,-0.0802612
0.139,0.0552368,-0.098877
0.1395,0.0457764,-0.0930786
0.14,0.0305176,-0.072937
0.1405,0.0149536,-0.0250244
0.14100000000000001,0.0170898,0.0167847
0.14150000000000001,0.0247192,0.00701904
0.14200000000000002,0.0317383,0.00427246
0.14250000000000002,0.0378418,0.0296021
0.14300000000000002,0.0268555,0.0579834
0.14350000000000002,0.00366211,0.0244141
0.14400000000000002,-0.00549316,-0.0732422
0.1445,-0.00732422,-0.198975
0.145,0.00274658,-0.270386
0.1455,0.0231934,-0.261536
0.146,0.0378418,-0.202637
0.1465,0.0338745,-0.142517
0.147,0.0100708,-0.100098
0.1475,-0.0338745,-0.0692749
0.148,-0.0698853,-0.0241089
0.1485,-0.0875854,0.0387573
0.149,-0.085144,0.136108
0.1495,-0.083313,0.15625
0.15,-0.0787354,0.0909424
0.1505,-0.0653076,0.0521851
0.151,-0.0424194,0.0296021
0.1515,-0.0125122,-0.00213623
0.152,0.00793457,-0.00366211
0.1525,0.0204468,0.0183105
0.153,0.0308228,0.0177002
0.1535,0.038147,-0.0192261
0.154,0.0402832,-0.0741577
0.1545,0.0369263,-0.146484
0.155,0.0415039,-0.234985
0.1555,0.0518799,-0.240173
0.156,0.0497437,-0.181274
0.1565,0.0326538,-0.142517
0.157,0.010376,-0.0952148
0.1575,-0.00396729,-0.0662231
0.158,-0.00244141,-0.0192261
0.1585,0.00732422,0.0439453
0.159,0.00549316,0.102844
0.1595,-0.0012207,0.158997
0.16,-0.010376,0.19104
0.1605,-0.0149536,0.216675
0.161,-0.0149536,0.228882
0.1615,-0.0134277,0.233459
0.162,-0.0134277,0.229492
0.1625,-0.0137329,0.214844
0.163,-0.0140381,0.206299
0.1635,-0.0158691,0.193176
0.164,-0.0198364,0.149841
0.1645,-0.0186157,0.117493
0.165,-0.0161743,0.0811768
0.1655,-0.0170898,0.0289917
0.166,-0.0170898,-0.0216675
0.1665,-0.0106812,-0.0863647
0.167,0.0012207,-0.137024
0.1675,0.0137329,-0.203857
0.168,0.0146484,-0.213318
0.1685,0.0088501,-0.221252
0.169,0.0128174,-0.230103
0.1695,0.0234985,-0.200806
0.17,0.0234985,-0.129395
0.1705,0.012207,-0.0576782
0.171,0.010376,-0.0500488
0.1715,0.0137329,-0.0482178
0.17200000000000001,0.0180054,-0.0109863
0.17250000000000001,0.0241089,-0.00427246
0.17300000000000001,0.0427246,0.00152588
0.17350000000000002,0.0460815,0.0473022
0.17400000000000002,0.0448608,0.116272
0.17450000000000002,0.0314331,0.164795
0.17500000000000002,0.0140381,0.191345
0.17550000000000002,-0.00549316,0.190125
0.176,-0.0210571,0.174561
0.1765,-0.0137329,0.133057
0.177,0.012207,0.102539
