Time (s),Tricep,Shoulder
0.0,-0.00579834,0.00640869
0.0005,0.00671387,-0.0924683
0.001,0.0219727,-0.187988
0.0015,0.032959,-0.221558
0.002,0.0326538,-0.211182
0.0025,0.0296021,-0.196228
0.003,0.0308228,-0.153809
0.0035,0.0216675,-0.0552368
0.004,0.0216675,0.0366211
0.0045000000000000005,0.0256348,0.0741577
0.005,0.039978,0.0680542
0.0055,0.0601196,0.0189209
0.006,0.0585938,-0.0408936
0.006500000000000001,0.0350952,-0.0979614
0.007,-0.015564,-0.157471
0.0075,-0.0720215,-0.20813
0.008,-0.0888062,-0.223389
0.0085,-0.0744629,-0.205688
0.009000000000000001,-0.0564575,-0.187988
0.0095,-0.0518799,-0.203247
0.01,-0.0692749,-0.197754
0.0105,-0.100708,-0.208435
0.011,-0.144043,-0.193176
0.0115,-0.156555,-0.118103
0.012,-0.140076,0.03479
0.0125,-0.117188,0.196228
0.013000000000000001,-0.0814819,0.328369
0.0135,-0.0488281,0.410767
0.014,-0.0286865,0.448608
0.0145,-0.0177002,0.442505
0.015,-0.00427246,0.392151
0.0155,0.0115967,0.285034
0.016,0.027771,0.193787
0.0165,0.0375366,0.126648
0.017,0.0552368,0.0576782
0.0175,0.0805664,-0.0469971
0.018000000000000002,0.10437,-0.153503
0.0185,0.115662,-0.215759
0.019,0.115051,-0.233765
0.0195,0.0964355,-0.218201
0.02,0.0756836,-0.205688
0.0205,0.0665283,-0.215149
0.021,0.0576782,-0.171204
0.021500000000000002,0.0314331,-0.0854492
0.022,-0.000610352,0.000915527
0.0225,-0.0354004,0.088501
0.023,-0.0375366,0.164185
0.0235,-0.0146484,0.229797
0.024,-0.015564,0.285034
0.0245,-0.0466919,0.276489
0.025,-0.0802612,0.185242
0.025500000000000002,-0.118408,0.0973511
0.026000000000000002,-0.134583,0.0418091
0.0265,-0.0964355,-0.00457764
0.027,-0.0396729,-0.0830078
0.0275,-0.00335693,-0.140991
0.028,0.015564,-0.167542
0.0285,0.0335693,-0.221558
0.029,0.0515747,-0.25177
0.029500000000000002,0.0714111,-0.302734
0.03,0.0848389,-0.259705
0.0305,0.0796509,-0.136719
0.031,0.0701904,-0.0244141
0.0315,0.0558472,0.0271606
0.032,0.043335,0.0653076
0.0325,0.0332642,0.071106
0.033,0.0244141,0.071106
0.0335,0.0228882,0.0595093
0.034,0.0231934,0.0302124
0.0345,0.0231934,0.0100708
0.035,0.0164795,-0.00732422
0.035500000000000004,0.00793457,-0.00366211
0.036000000000000004,0.00244141,0.0180054
0.0365,-0.00213623,0.0311279
0.037,-0.00335693,0.0680542
0.0375,0.00946045,0.0836182
0.038,0.0253296,0.0466919
0.0385,0.0289917,0.0106812
0.039,0.0210571,-0.0140381
0.0395,-0.020752,-0.0335693
0.04,-0.0854492,-0.0308228
0.0405,-0.098877,-0.0250244
0.041,-0.0756836,-0.0311279
0.0415,-0.0576782,-0.0354004
0.042,-0.0479126,-0.0497437
0.0425,-0.0396729,-0.0506592
0.043000000000000003,-0.0296021,-0.0292969
0.043500000000000004,-0.0167847,-0.0183105
0.044,-0.00793457,-0.00579834
0.0445,-0.00427246,0.0088501
0.045,0.00274658,0.0448608
0.0455,0.0106812,0.0616455
0.046,0.0152588,0.032959
0.0465,0.0143433,-0.00854492
0.047,0.0112915,-0.0350952
0.0475,0.00915527,-0.0454712
0.048,0.00946045,-0.0201416
0.0485,0.00976563,0.0421143
0.049,0.00946045,0.0979614
0.0495,0.00518799,0.118713
