Time (s),Tricep,Shoulder
0.0,-0.321655,-0.00762939
0.0005,-0.288086,-0.00457764
0.001,-0.230103,-0.00640869
0.0015,-0.207214,-0.0143433
0.002,-0.195618,-0.017395
0.0025,-0.155334,-0.0146484
0.003,-0.0946045,-0.012207
0.0035,-0.0186157,-0.0119019
0.004,0.0466919,-0.0140381
0.0045000000000000005,0.0723267,-0.012207
0.005,0.0787354,-0.00732422
0.0055,0.0756836,-0.00762939
0.006,0.0704956,-0.0109863
0.006500000000000001,0.0683594,-0.0164795
0.007,0.055542,-0.0180054
0.0075,0.0411987,-0.0164795
0.008,0.0231934,-0.0143433
0.0085,0.0137329,-0.0170898
0.009000000000000001,0.020752,-0.0177002
0.0095,0.0405884,-0.0140381
0.01,0.0634766,-0.00946045
0.0105,0.078125,-0.00213623
0.011,0.0848389,0.000915527
0.0115,0.0872803,0.000915527
0.012,0.0842285,0.00457764
0.0125,0.0738525,0.00701904
0.013000000000000001,0.0616455,0.00976563
0.0135,0.0628662,0.0100708
0.014,0.065918,0.010376
0.0145,0.0726318,0.0109863
0.015,0.0814819,0.0128174
0.0155,0.0875854,0.0146484
0.016,0.0927734,0.0161743
0.0165,0.090332,0.0158691
0.017,0.0708008,0.0149536
0.0175,0.0439453,0.0158691
0.018000000000000002,0.0332642,0.0170898
0.0185,0.0338745,0.0161743
0.019,0.027771,0.0152588
0.0195,-0.00976563,0.0131226
0.02,-0.0299072,0.0128174
0.0205,-0.0222778,0.00946045
0.021,-0.000610352,0.00396729
0.021500000000000002,0.000915527,-0.00213623
0.022,-0.0286865,-0.0088501
0.0225,-0.0552368,-0.0128174
0.023,-0.0515747,-0.0140381
0.0235,-0.065918,-0.0140381
0.024,-0.0918579,-0.0146484
0.0245,-0.105286,-0.0158691
0.025,-0.102234,-0.0149536
0.025500000000000002,-0.0921631,-0.012207
0.026000000000000002,-0.0750732,-0.0115967
0.0265,-0.0558472,-0.0109863
0.027,-0.0338745,-0.00946045
0.0275,-0.0180054,-0.00823975
0.028,-0.00488281,-0.00793457
0.0285,0.00640869,-0.00732422
0.029,0.0125122,-0.00244141
0.029500000000000002,0.0186157,-0.00305176
0.03,0.0219727,-0.00518799
0.0305,0.0280762,-0.00213623
0.031,0.0338745,0.0
0.0315,0.0338745,-0.000305176
0.032,0.0317383,-0.00213623
0.0325,0.0366211,-0.0012207
0.033,0.0463867,0.00976563
0.0335,0.0646973,0.0195313
0.034,0.0842285,0.0317383
0.0345,0.0958252,0.0457764
0.035,0.105591,0.0546265
0.035500000000000004,0.12207,0.0515747
0.036000000000000004,0.122681,0.0457764
0.0365,0.115051,0.0411987
0.037,0.123901,0.03479
0.0375,0.0997925,0.0250244
0.038,0.0830078,0.0170898
0.0385,0.0717163,0.0115967
0.039,0.043335,0.00213623
0.0395,-0.0210571,-0.00976563
0.04,-0.0799561,-0.0201416
0.0405,-0.156555,-0.0274658
0.041,-0.22583,-0.0317383
0.0415,-0.283508,-0.0466919
0.042,-0.322266,-0.0674438
0.0425,-0.29541,-0.0741577
0.043000000000000003,-0.21759,-0.078125
0.043500000000000004,-0.169983,-0.083313
0.044,-0.161133,-0.0817871
0.0445,-0.149536,-0.0653076
0.045,-0.12207,-0.0494385
0.0455,-0.0860596,-0.03479
0.046,-0.0402832,-0.015564
0.0465,-0.00457764,-0.000305176
0.047,0.0280762,0.00640869
0.0475,0.0634766,0.0119019
0.048,0.0860596,0.0137329
0.0485,0.09552,0.0115967
0.049,0.098877,0.00946045
0.0495,0.0985718,0.00762939
0.05,0.0979614,0.00610352
0.0505,0.098877,0.00457764
0.051000000000000004,0.101013,0.00579834
0.051500000000000004,0.0961304,0.00549316
0.052000000000000005,0.0830078,0.00732422
0.0525,0.062561,0.00762939
0.053,0.0534058,0.00427246
0.0535,0.0515747,0.00152588
0.054,0.0485229,0.00488281
0.0545,0.0384521,0.0112915
0.055,0.0552368,0.0167847
0.0555,0.0747681,0.0186157
0.056,0.0753784,0.0140381
0.0565,0.0680542,0.010376
0.057,0.0402832,0.0109863
0.0575,0.015564,0.0125122
0.058,0.0180054,0.0183105
0.0585,0.0244141,0.0234985
0.059000000000000004,0.0320435,0.027771
0.059500000000000004,0.0314331,0.0305176
0.06,0.0299072,0.0305176
0.0605,0.0442505,0.0308228
0.061,0.0415039,0.0308228
0.0615,0.0106812,0.0241089
0.062,-0.0262451,0.015564
0.0625,-0.0454712,0.010376
0.063,-0.0500488,0.00518799
0.0635,-0.0515747,0.00457764
0.064,-0.0479126,0.00793457
0.0645,-0.0271606,0.010376
0.065,-0.00366211,0.0137329
0.0655,0.0125122,0.0158691
0.066,-0.00518799,0.015564
0.0665,-0.022583,0.0106812
0.067,-0.0314331,-0.00488281
0.0675,-0.0289917,-0.0149536
0.068,-0.0198364,-0.0143433
0.0685,-0.0115967,-0.0231934
0.069,-0.0302124,-0.0408936
0.0695,-0.0793457,-0.0543213
0.07,-0.123901,-0.0756836
0.07050000000000001,-0.140991,-0.093689
0.07100000000000001,-0.115662,-0.085144
0.07150000000000001,-0.0753784,-0.062561
0.07200000000000001,-0.0338745,-0.0421143
0.0725,-0.0158691,-0.0314331
0.073,-0.0152588,-0.0128174
0.0735,-0.0268555,0.0177002
0.074,-0.0250244,0.0405884
0.0745,-0.00610352,0.0631714
0.075,0.0204468,0.0875854
0.0755,0.0424194,0.108948
0.076,0.0537109,0.136719
0.0765,0.0549316,0.156555
0.077,0.050354,0.1474
0.0775,0.0457764,0.139771
0.078,0.0390625,0.124817
0.0785,0.0357056,0.0985718
0.079,0.0387573,0.0585938
0.0795,0.0442505,0.0125122
0.08,0.0488281,-0.00457764
0.0805,0.0576782,-0.00976563
0.081,0.0753784,-0.00427246
0.0815,0.0759888,0.00274658
0.082,0.0772095,0.0128174
0.0825,0.0802612,0.0152588
0.083,0.0827026,0.00366211
0.0835,0.0759888,-0.00762939
0.084,0.0637817,-0.0210571
0.0845,0.0497437,-0.0390625
0.085,0.0271606,-0.0463867
0.0855,-0.0253296,-0.0494385
0.08600000000000001,-0.0668335,-0.0619507
0.08650000000000001,-0.0793457,-0.0762939
0.08700000000000001,-0.0799561,-0.0808716
0.08750000000000001,-0.0912476,-0.0759888
0.088,-0.133972,-0.0650024
0.0885,-0.160828,-0.0561523
0.089,-0.148621,-0.0476074
0.0895,-0.123901,-0.0549316
0.09,-0.0762939,-0.0598145
0.0905,-0.0204468,-0.0665283
0.091,0.0274658,-0.0613403
0.0915,0.0540161,-0.0524902
0.092,0.0622559,-0.0476074
0.0925,0.0430298,-0.0436401
0.093,0.00488281,-0.0408936
0.0935,-0.0146484,-0.0390625
0.094,0.0134277,-0.0387573
0.0945,0.032959,-0.0350952
0.095,0.0369263,-0.0280762
0.0955,0.0341797,-0.0213623
0.096,0.0286865,-0.00793457
0.0965,0.0152588,0.00213623
0.097,0.0149536,0.0106812
0.0975,0.0222778,0.0149536
0.098,0.0405884,0.0180054
0.0985,0.0674438,0.0259399
0.099,0.0695801,0.0369263
0.0995,0.0341797,0.0476074
0.1,-0.0115967,0.0588989
0.1005,-0.0540161,0.0656128
0.101,-0.0857544,0.0646973
0.1015,-0.0585938,0.0619507
0.10200000000000001,-0.0302124,0.0531006
0.10250000000000001,-0.0671387,0.0424194
0.10300000000000001,-0.156555,0.0320435
0.10350000000000001,-0.233459,0.0256348
0.10400000000000001,-0.258484,0.0204468
0.1045,-0.247803,0.0143433
0.105,-0.202942,0.0125122
0.1055,-0.133362,0.00915527
0.106,-0.0561523,0.00183105
0.1065,0.0213623,-0.00793457
0.107,0.0814819,-0.0143433
0.1075,0.108337,-0.0292969
0.108,0.131531,-0.0482178
0.1085,0.1474,-0.0680542
0.109,0.168762,-0.083313
0.1095,0.197754,-0.0857544
0.11,0.207214,-0.0808716
0.1105,0.193481,-0.0744629
0.111,0.165405,-0.0671387
0.1115,0.13031,-0.0585938
0.112,0.118103,-0.0488281
0.1125,0.12207,-0.0341797
0.113,0.11322,-0.0241089
0.1135,0.0643921,-0.0201416
0.114,0.000915527,-0.0170898
0.1145,-0.0415039,-0.0125122
0.115,-0.072937,-0.00793457
0.1155,-0.0857544,0.000915527
0.116,-0.0793457,0.0128174
0.1165,-0.0769043,0.0256348
0.117,-0.0790405,0.0320435
0.11750000000000001,-0.0778198,0.0369263
0.11800000000000001,-0.065918,0.0415039
0.11850000000000001,-0.0534058,0.0430298
0.11900000000000001,-0.0286865,0.0427246
0.11950000000000001,-0.00946045,0.0436401
0.12,0.00915527,0.0415039
0.1205,0.0259399,0.0408936
0.121,0.0341797,0.0387573
0.1215,0.039978,0.0366211
0.122,0.0448608,0.0326538
0.1225,0.0491333,0.0280762
0.123,0.0427246,0.0244141
0.1235,0.032959,0.0238037
0.124,0.0247192,0.0219727
0.1245,0.0143433,0.0180054
0.125,0.00701904,0.0152588
0.1255,-0.0115967,0.0115967
0.126,-0.027771,0.00976563
0.1265,-0.0350952,0.00823975
0.127,-0.0445557,0.0088501
0.1275,-0.0579834,0.00701904
0.128,-0.0546265,0.00518799
0.1285,-0.0500488,0.00366211
0.129,-0.0494385,0.00244141
0.1295,-0.0473022,0.000915527
0.13,-0.0350952,-0.000305176
0.1305,-0.0274658,0.000915527
0.131,-0.0189209,0.00183105
0.1315,-0.0143433,0.00152588
0.132,-0.012207,-0.000610352
0.1325,-0.0100708,0.0
0.133,-0.00946045,0.0
0.1335,-0.00823975,-0.000915527
0.134,-0.012207,-0.00274658
0.1345,-0.0213623,-0.00793457
0.135,-0.0219727,-0.0112915
0.1355,-0.0189209,-0.0106812
0.136,-0.0134277,-0.0088501
0.1365,0.0244141,-0.00671387
0.137,0.062561,-0.00457764
0.1375,0.0842285,-0.00183105
0.138,0.0839233,-0.000610352
0.1385,0.0738525,-0.00396729
0.139,0.0820923,-0.00793457
0.1395,0.101318,-0.00732422
0.14,0.110779,-0.00183105
0.1405,0.106812,-0.000305176
0.14100000000000001,0.0848389,-0.00305176
0.14150000000000001,0.0296021,-0.00335693
0.14200000000000002,-0.00732422,-0.00762939
0.14250000000000002,0.00793457,-0.0115967
0.14300000000000002,0.0485229,-0.0106812
0.14350000000000002,0.0976563,-0.00915527
0.14400000000000002,0.107727,-0.00762939
0.1445,0.0616455,-0.00671387
0.145,-0.0393677,-0.00549316
0.1455,-0.134583,-0.0088501
0.146,-0.220337,-0.0119019
0.1465,-0.293274,-0.0158691
0.147,-0.342407,-0.0158691
0.1475,-0.314331,-0.00701904
0.148,-0.270386,-0.00213623
0.1485,-0.233765,0.0012207
0.149,-0.220642,-0.0012207
0.1495,-0.208435,-0.00518799
0.15,-0.181885,-0.00183105
0.1505,-0.137329,-0.00183105
0.151,-0.0735474,-0.00457764
0.1515,-0.0146484,-0.00366211
0.152,0.0363159,-0.00396729
0.1525,0.0650024,-0.0088501
0.153,0.100098,-0.0134277
0.1535,0.145874,-0.0149536
0.154,0.181274,-0.0167847
0.1545,0.202637,-0.0170898
0.155,0.220032,-0.0195313
0.1555,0.230408,-0.020752
0.156,0.232239,-0.0177002
0.1565,0.228577,-0.0170898
0.157,0.230713,-0.0140381
0.1575,0.228271,-0.0134277
0.158,0.219421,-0.0128174
0.1585,0.209656,-0.0106812
0.159,0.186462,-0.00640869
0.1595,0.153503,0.000915527
0.16,0.125732,0.00732422
0.1605,0.0942993,0.0125122
0.161,0.0689697,0.0143433
0.1615,0.0543213,0.0137329
0.162,0.0231934,0.0149536
0.1625,-0.0418091,0.0152588
0.163,-0.110779,0.0143433
0.1635,-0.171814,0.0100708
0.164,-0.192871,0.0106812
0.1645,-0.199585,0.0125122
0.165,-0.167236,0.0137329
0.1655,-0.124512,0.0149536
0.166,-0.093689,0.0137329
0.1665,-0.0772095,0.0149536
0.167,-0.0650024,0.0167847
0.1675,-0.0717163,0.0149536
0.168,-0.0814819,0.0128174
0.1685,-0.0720215,0.0112915
0.169,-0.0546265,0.010376
0.1695,-0.0448608,0.00793457
0.17,-0.055542,0.00671387
0.1705,-0.0796509,0.00671387
0.171,-0.0979614,0.00701904
0.1715,-0.0897217,0.0088501
0.17200000000000001,-0.0683594,0.00793457
0.17250000000000001,-0.0424194,0.00549316
0.17300000000000001,-0.0213623,0.00274658
0.17350000000000002,-0.00610352,0.00579834
0.17400000000000002,0.00579834,0.00640869
0.17450000000000002,0.0167847,0.00457764
0.17500000000000002,0.0253296,0.00396729
0.17550000000000002,0.0341797,0.00579834
0.176,0.0408936,0.00854492
0.1765,0.0469971,0.00762939
0.177,0.0506592,0.00762939
0.1775,0.0488281,0.00946045
0.178,0.0476074,0.0109863
0.1785,0.0494385,0.0106812
0.179,0.0537109,0.00732422
0.1795,0.0588989,0.00640869
0.18,0.0552368,0.00640869
0.1805,0.0469971,0.00396729
0.181,0.0497437,0.0
0.1815,0.0631714,0.000610352
0.182,0.0735474,0.000610352
0.1825,0.0662231,-0.00152588
0.183,0.0512695,-0.00488281
0.1835,0.00854492,-0.00915527
0.184,-0.0436401,-0.0143433
0.1845,-0.0534058,-0.017395
0.185,-0.0396729,-0.0161743
0.1855,-0.0262451,-0.0137329
0.186,-0.00762939,-0.0167847
0.1865,-0.00976563,-0.0231934
0.187,-0.0146484,-0.0286865
0.1875,0.000610352,-0.0289917
0.188,0.0286865,-0.0253296
0.1885,0.020752,-0.0228882
0.189,-0.0561523,-0.0195313
0.1895,-0.119629,-0.012207
0.19,-0.124817,-0.0088501
0.1905,-0.0958252,-0.0106812
0.191,-0.0579834,-0.00976563
0.1915,-0.0390625,-0.0109863
0.192,-0.0390625,-0.00915527
0.1925,-0.0524902,-0.00335693
0.193,-0.0631714,0.00152588
0.1935,-0.0592041,0.00305176
0.194,-0.0259399,0.00274658
0.1945,0.00274658,0.00244141
0.195,0.0210571,0.00396729
0.1955,0.0314331,0.00701904
0.196,0.0387573,0.00946045
0.1965,0.0411987,0.0131226
0.197,0.0436401,0.0204468
0.1975,0.0494385,0.0262451
0.198,0.0509644,0.0299072
0.1985,0.0515747,0.032959
0.199,0.0640869,0.0323486
0.1995,0.0756836,0.027771
0.2,0.0708008,0.022583
0.2005,0.0613403,0.0167847
0.201,0.0466919,0.010376
0.2015,0.0427246,0.00701904
0.202,0.0500488,0.0012207
0.2025,0.0534058,-0.00396729
0.203,0.0326538,-0.00823975
0.20350000000000001,-0.0106812,-0.0158691
0.20400000000000001,-0.0534058,-0.0198364
0.20450000000000002,-0.0570679,-0.0238037
0.20500000000000002,-0.0671387,-0.0323486
0.20550000000000002,-0.0891113,-0.0436401
0.20600000000000002,-0.106812,-0.0524902
0.20650000000000002,-0.0881958,-0.0579834
