Time (s),Tricep,Shoulder
0.0,-9.0625,-0.0109863
0.0005,-9.0625,-0.0109863
0.001,-0.262451,-0.843811
0.0015,-0.136414,-0.780945
0.002,-0.13916,-0.695801
0.0025,-0.154419,-0.551453
0.003,-0.170898,-0.387268
0.0035,-0.14801,-0.252075
0.004,-0.107117,-0.134583
0.0045000000000000005,-0.184937,-0.0332642
0.005,-0.45929,0.032959
0.0055,-0.518188,0.0906372
0.006,-0.458069,0.136719
0.006500000000000001,-0.369568,0.188293
0.007,-0.195313,0.235901
0.0075,-0.0363159,0.267639
0.008,0.0610352,0.290833
0.0085,0.138855,0.30426
0.009000000000000001,0.211487,0.317993
0.0095,0.288696,0.33783
0.01,0.331421,0.368652
0.0105,0.326538,0.430298
0.011,0.292358,0.516357
0.0115,0.283813,0.545959
0.012,0.285034,0.514832
0.0125,0.24292,0.46936
0.013000000000000001,0.246887,0.430908
0.0135,0.288086,0.389404
0.014,0.252075,0.327759
0.0145,0.291138,0.305786
0.015,0.345764,0.357056
0.0155,0.397644,0.330505
0.016,0.365295,0.185242
0.0165,0.239868,-0.0149536
0.017,-0.0170898,-0.235291
0.0175,-0.26001,-0.433655
0.018000000000000002,-0.432739,-0.57373
0.0185,-0.473022,-0.661316
0.019,-0.455933,-0.722351
0.0195,-0.405884,-0.72113
0.02,-0.374146,-0.745544
0.0205,-0.377197,-0.768738
0.021,-0.318604,-0.732422
0.021500000000000002,-0.210876,-0.685425
0.022,-0.143127,-0.553284
0.0225,-0.0927734,-0.346375
0.023,-0.00579834,-0.14679
0.0235,0.0747681,0.00305176
0.024,0.0939941,0.109863
0.0245,0.06073,0.168152
0.025,0.0396729,0.204163
0.025500000000000002,0.0567627,0.238342
0.026000000000000002,0.0762939,0.26886
0.0265,0.0805664,0.289307
0.027,0.0787354,0.305481
0.0275,0.0772095,0.310364
0.028,0.090332,0.306702
0.0285,0.0979614,0.296631
0.029,0.112305,0.283813
0.029500000000000002,0.145874,0.265808
0.03,0.155334,0.244141
0.0305,0.15686,0.220337
0.031,0.154419,0.194397
0.0315,0.143127,0.173035
0.032,0.14679,0.154724
0.0325,0.133972,0.132446
0.033,0.122986,0.110474
0.0335,0.0933838,0.0900269
0.034,0.043335,0.0717163
0.0345,0.0253296,0.0576782
0.035,0.0549316,0.043335
0.035500000000000004,0.105286,0.0317383
0.036000000000000004,0.136414,0.0198364
0.0365,0.143127,0.00427246
0.037,0.140991,-0.00793457
0.0375,0.125122,-0.0210571
0.038,0.122375,-0.0292969
0.0385,0.126343,-0.0305176
0.039,0.126953,-0.0317383
0.0395,0.0616455,-0.0314331
0.04,0.00518799,-0.0234985
0.0405,-0.0320435,-0.00671387
0.041,-0.10376,0.0125122
0.0415,-0.202026,0.0299072
0.042,-0.281982,0.0411987
0.0425,-0.368347,0.0411987
0.043000000000000003,-0.355225,0.0442505
0.043500000000000004,-0.254517,0.045166
0.044,-0.242615,0.0384521
0.0445,-0.282288,0.0180054
0.045,-0.297241,-0.00274658
0.0455,-0.243835,-0.0164795
0.046,-0.122375,-0.0375366
0.0465,-0.0152588,-0.0662231
0.047,0.0317383,-0.108337
0.0475,0.0360107,-0.153198
0.048,0.0497437,-0.166626
0.0485,0.122681,-0.175781
0.049,0.115967,-0.202637
0.0495,-0.00488281,-0.21698
0.05,-0.0997925,-0.203552
0.0505,-0.0680542,-0.173645
0.051000000000000004,0.0238037,-0.132141
0.051500000000000004,0.0909424,-0.0900269
0.052000000000000005,0.0991821,-0.0512695
0.0525,0.0765991,-0.0219727
0.053,0.126343,0.00823975
0.0535,0.290527,0.043335
0.054,0.433655,0.0570679
0.0545,0.50354,0.0326538
0.055,0.533752,-0.00213623
0.0555,0.53894,-0.0405884
0.056,0.429382,-0.103149
0.0565,0.236511,-0.141296
0.057,-0.062561,-0.148315
0.0575,-0.441284,-0.15564
0.058,-0.72876,-0.161438
0.0585,-0.88562,-0.145569
0.059000000000000004,-0.837402,-0.148621
0.059500000000000004,-0.699768,-0.181274
0.06,-0.518799,-0.180054
0.0605,-0.320129,-0.131836
0.061,-0.172424,-0.0695801
0.0615,-0.0250244,-0.00183105
0.062,0.151672,0.0549316
0.0625,0.293274,0.0961304
0.063,0.332947,0.122681
0.0635,0.330505,0.144043
0.064,0.32959,0.165405
0.0645,0.292664,0.180664
0.065,0.227356,0.188293
0.0655,0.125122,0.184021
0.066,0.0662231,0.180664
0.0665,-0.0131226,0.171509
0.067,-0.139771,0.151367
0.0675,-0.252991,0.1297
0.068,-0.228271,0.111084
0.0685,-0.114136,0.102234
0.069,0.0149536,0.101624
0.0695,0.117493,0.100098
0.07,0.164185,0.100098
0.07050000000000001,0.179749,0.0991821
0.07100000000000001,0.170593,0.0921631
0.07150000000000001,0.151978,0.0805664
0.07200000000000001,0.15625,0.0762939
0.0725,0.164185,0.0762939
0.073,0.148926,0.0744629
0.0735,0.118408,0.0708008
0.074,0.0466919,0.06073
0.0745,-0.0991821,0.0378418
0.075,-0.220947,0.010376
0.0755,-0.215149,-0.00457764
0.076,-0.18219,-0.00488281
0.0765,-0.19989,-0.00366211
0.077,-0.235901,-0.00274658
0.0775,-0.237732,-0.00335693
0.078,-0.251465,-0.00610352
0.0785,-0.211182,-0.00549316
0.079,-0.15625,-0.00427246
0.0795,-0.135193,-0.00244141
0.08,-0.133972,0.00152588
0.0805,-0.150452,0.00549316
0.081,-0.150146,0.00640869
0.0815,-0.109558,0.00457764
0.082,-0.0650024,0.000610352
0.0825,-0.0012207,-0.00396729
0.083,0.0924683,-0.0146484
0.0835,0.204773,-0.0204468
0.084,0.325317,-0.0222778
0.0845,0.410767,-0.0283813
0.085,0.526123,-0.0405884
0.0855,0.640564,-0.0482178
0.08600000000000001,0.76355,-0.0466919
0.08650000000000001,0.849304,-0.0442505
0.08700000000000001,0.811768,-0.0500488
0.08750000000000001,0.810242,-0.0512695
0.088,0.73822,-0.0396729
0.0885,0.518799,-0.0326538
0.089,0.203857,-0.0476074
0.0895,-0.209656,-0.0836182
0.09,-0.556641,-0.119019
0.0905,-0.696106,-0.112305
0.091,-0.802612,-0.0881958
0.0915,-1.00739,-0.072937
0.092,-1.09314,-0.0634766
0.0925,-0.892944,-0.0430298
0.093,-0.653076,0.00213623
0.0935,-0.579834,0.0640869
0.094,-0.562439,0.123596
0.0945,-0.431824,0.169373
0.095,-0.287476,0.198669
0.0955,-0.186768,0.219421
0.096,-0.116272,0.217896
0.0965,-0.0308228,0.206299
0.097,0.0317383,0.192871
0.0975,0.0146484,0.182495
0.098,-0.043335,0.192261
0.0985,-0.0738525,0.196533
0.099,-0.0387573,0.181274
0.0995,0.0286865,0.116272
0.1,0.124207,-0.00793457
0.1005,0.192566,-0.158386
0.101,0.156555,-0.264587
0.1015,0.039978,-0.307617
0.10200000000000001,0.0949097,-0.310059
0.10250000000000001,0.185242,-0.291138
0.10300000000000001,0.242004,-0.283508
0.10350000000000001,0.273132,-0.253296
0.10400000000000001,0.270081,-0.240173
0.1045,0.256042,-0.255432
0.105,0.241089,-0.269775
0.1055,0.234375,-0.254211
0.106,0.286865,-0.218506
0.1065,0.384827,-0.177612
0.107,0.401001,-0.136108
0.1075,0.359802,-0.107117
0.108,0.326843,-0.0894165
0.1085,0.290833,-0.088501
0.109,0.254517,-0.111084
0.1095,0.211487,-0.108643
0.11,0.140686,-0.0750732
0.1105,0.00701904,-0.0299072
0.111,-0.0759888,0.0350952
0.1115,-0.043335,0.11322
0.112,0.0247192,0.168457
0.1125,0.0765991,0.196228
0.113,0.0750732,0.202942
0.1135,0.0494385,0.201721
0.114,-0.0259399,0.195923
0.1145,-0.112915,0.184021
0.115,-0.144043,0.172729
0.1155,-0.14679,0.164185
0.116,-0.152283,0.155945
0.1165,-0.148315,0.1474
0.117,-0.140686,0.138245
0.11750000000000001,-0.123901,0.125427
0.11800000000000001,-0.106506,0.115967
0.11850000000000001,-0.0930786,0.114136
0.11900000000000001,-0.055542,0.108337
0.11950000000000001,-0.022583,0.101929
0.12,0.00305176,0.102234
0.1205,0.0244141,0.0997925
0.121,0.0595093,0.0866699
0.1215,0.125732,0.0665283
0.122,0.14679,0.0421143
0.1225,0.118408,0.0189209
0.123,0.0201416,-0.00823975
0.1235,-0.0875854,-0.0299072
0.124,-0.135803,-0.0463867
0.1245,-0.163574,-0.0637817
0.125,-0.276489,-0.0811768
0.1255,-0.396729,-0.0933838
0.126,-0.369568,-0.0900269
0.1265,-0.325317,-0.0811768
0.127,-0.28656,-0.0723267
0.1275,-0.212097,-0.0695801
0.128,-0.164185,-0.06073
0.1285,-0.151062,-0.050354
0.129,-0.138245,-0.0408936
0.1295,-0.111084,-0.0354004
0.13,-0.0762939,-0.0378418
0.1305,-0.0436401,-0.0415039
0.131,-0.0210571,-0.0393677
0.1315,0.022583,-0.0326538
0.132,0.065918,-0.0219727
0.1325,0.0991821,-0.0134277
0.133,0.124207,-0.0100708
0.1335,0.140991,-0.00793457
0.134,0.126648,-0.0088501
0.1345,0.105591,-0.0112915
0.135,0.0897217,-0.00701904
0.1355,0.0396729,-0.00335693
0.136,-0.027771,-0.00396729
0.1365,-0.0463867,-0.00152588
0.137,0.0241089,-0.00183105
0.1375,0.167236,-0.00457764
0.138,0.292358,-0.00854492
0.1385,0.445557,-0.0109863
0.139,0.550842,-0.012207
0.1395,0.622253,-0.00762939
0.14,0.601501,-0.00579834
0.1405,0.490112,-0.00854492
0.14100000000000001,0.279541,-0.0216675
0.14150000000000001,0.0332642,-0.0424194
0.14200000000000002,-0.0827026,-0.0552368
0.14250000000000002,-0.223389,-0.0582886
0.14300000000000002,-0.235596,-0.0549316
0.14350000000000002,-0.160522,-0.0527954
0.14400000000000002,-0.111694,-0.0390625
0.1445,-0.109253,-0.017395
0.145,-0.0799561,-0.00274658
0.1455,-0.0305176,0.0112915
0.146,0.012207,0.0317383
0.1465,0.0860596,0.0540161
0.147,0.0137329,0.0668335
0.1475,-0.201111,0.0744629
0.148,-0.357666,0.0839233
0.1485,-0.401306,0.0982666
0.149,-0.455017,0.0958252
0.1495,-0.548096,0.0765991
0.15,-0.684509,0.0494385
0.1505,-0.640259,0.0170898
0.151,-0.541687,-0.00823975
0.1515,-0.487061,-0.0265503
0.152,-0.353394,-0.0619507
0.1525,-0.192261,-0.113831
0.153,-0.0738525,-0.162354
0.1535,0.0396729,-0.183411
0.154,0.133057,-0.184937
0.1545,0.193481,-0.172424
0.155,0.214844,-0.141296
0.1555,0.221252,-0.103149
0.156,0.239258,-0.0634766
0.1565,0.274658,-0.0228882
0.157,0.267334,0.00701904
0.1575,0.230713,0.0238037
0.158,0.24231,0.0350952
0.1585,0.259705,0.0405884
0.159,0.256042,0.0411987
0.1595,0.224304,0.0460815
0.16,0.203857,0.0534058
0.1605,0.232849,0.057373
0.161,0.262756,0.0598145
0.1615,0.214233,0.0619507
0.162,0.0497437,0.0585938
0.1625,-0.0439453,0.0463867
0.163,-0.000610352,0.0393677
0.1635,0.0817871,0.0366211
0.164,0.10437,0.039978
0.1645,0.0723267,0.0469971
0.165,0.0534058,0.071106
0.1655,0.0509644,0.103149
0.166,0.043335,0.122986
0.1665,0.0558472,0.138855
0.167,0.045166,0.171204
0.1675,-0.0344849,0.219116
0.168,-0.0735474,0.262146
0.1685,-0.0283813,0.279846
0.169,0.0576782,0.271912
0.1695,0.115356,0.24231
0.17,0.143738,0.188293
0.1705,0.169067,0.100403
0.171,0.17334,-0.010376
0.1715,0.126038,-0.1297
0.17200000000000001,-0.00823975,-0.230713
0.17250000000000001,-0.133057,-0.331726
0.17300000000000001,-0.168152,-0.427551
0.17350000000000002,-0.162659,-0.516052
0.17400000000000002,-0.202026,-0.549927
0.17450000000000002,-0.227356,-0.52948
0.17500000000000002,-0.214539,-0.469971
0.17550000000000002,-0.174255,-0.408325
0.176,-0.101929,-0.332642
0.1765,-0.0271606,-0.216064
0.177,0.0143433,-0.0927734
0.1775,0.027771,0.0131226
0.178,0.00152588,0.11261
0.1785,-0.065918,0.182495
0.179,-0.163574,0.209961
