Time (s),Tricep,Shoulder
0.0,-9.0625,-0.0109863
0.0005,-9.0625,-0.0109863
0.001,0.316467,-0.446472
0.0015,0.358276,-0.53009
0.002,0.276794,-0.601501
0.0025,0.20813,-0.627136
0.003,0.144348,-0.514221
0.0035,0.0137329,-0.407715
0.004,-0.180054,-0.279541
0.0045000000000000005,-0.317688,-0.121765
0.005,-0.461426,-0.0149536
0.0055,-0.515747,0.0769043
0.006,-0.403748,0.140686
0.006500000000000001,-0.310974,0.144958
0.007,-0.220337,0.148621
0.0075,-0.126648,0.201721
0.008,-0.0775146,0.26001
0.0085,-0.000305176,0.272522
0.009000000000000001,0.0393677,0.249634
0.0095,-0.0210571,0.236816
0.01,-0.0790405,0.21637
0.0105,-0.0939941,0.193481
0.011,-0.027771,0.176392
0.0115,0.167542,0.167236
0.012,0.340881,0.172729
0.0125,0.368042,0.186768
0.013000000000000001,0.348206,0.200195
0.0135,0.401917,0.221558
0.014,0.343323,0.273132
0.0145,0.176086,0.338745
0.015,0.0552368,0.365601
0.0155,-0.0787354,0.36499
0.016,-0.31311,0.354309
0.0165,-0.347595,0.341492
0.017,-0.260315,0.362854
0.0175,-0.342102,0.352173
0.018000000000000002,-0.456238,0.25116
0.0185,-0.400391,0.100403
0.019,-0.289917,-0.0665283
0.0195,-0.178833,-0.218811
0.02,-0.15564,-0.372925
0.0205,-0.166931,-0.522766
0.021,-0.151672,-0.648193
0.021500000000000002,-0.0900269,-0.716858
0.022,0.00366211,-0.735168
0.0225,0.0637817,-0.693665
0.023,0.0891113,-0.602722
0.0235,0.108643,-0.499268
0.024,0.123901,-0.385742
0.0245,0.13031,-0.281677
0.025,0.133972,-0.198364
0.025500000000000002,0.141296,-0.123596
0.026000000000000002,0.147705,-0.0634766
0.0265,0.143433,0.0140381
0.027,0.137329,0.0921631
0.0275,0.125427,0.142517
0.028,0.110779,0.162659
0.0285,0.102234,0.151062
0.029,0.0915527,0.162354
0.029500000000000002,0.0891113,0.172729
0.03,0.0927734,0.166626
0.0305,0.0964355,0.162048
0.031,0.111084,0.149841
0.0315,0.138855,0.166931
0.032,0.141602,0.191956
0.0325,0.0891113,0.180359
0.033,0.0375366,0.171814
0.0335,0.00701904,0.163269
0.034,-0.0146484,0.135498
0.0345,-0.0283813,0.0979614
0.035,-0.0253296,0.121765
0.035500000000000004,-0.0119019,0.163879
0.036000000000000004,0.00183105,0.189209
0.0365,0.0134277,0.224915
0.037,0.0180054,0.258179
0.0375,0.0164795,0.244446
0.038,0.0125122,0.193481
0.0385,0.00732422,0.128479
0.039,0.00152588,0.0808716
0.0395,-0.000305176,0.0112915
0.04,-0.0012207,-0.0488281
0.0405,-0.00396729,-0.125122
0.041,-0.00610352,-0.187073
0.0415,-0.00823975,-0.204163
0.042,-0.00976563,-0.191956
0.0425,-0.010376,-0.183105
0.043000000000000003,-0.015564,-0.184937
0.043500000000000004,-0.0323486,-0.169983
0.044,-0.0524902,-0.108643
0.0445,-0.0592041,-0.0323486
0.045,-0.0497437,-0.00183105
0.0455,-0.0366211,-0.0119019
0.046,-0.0311279,-0.0189209
0.0465,-0.0292969,0.00335693
0.047,-0.027771,0.0424194
0.0475,-0.0283813,0.0531006
0.048,-0.0247192,0.0476074
0.0485,-0.0201416,0.0531006
0.049,-0.017395,0.0732422
0.0495,-0.0158691,0.0823975
0.05,-0.0131226,0.090332
0.0505,-0.0109863,0.11261
0.051000000000000004,-0.00946045,0.113831
0.051500000000000004,-0.0088501,0.0823975
0.052000000000000005,-0.00640869,0.0402832
0.0525,-0.00518799,-0.0128174
0.053,-0.00610352,-0.0393677
0.0535,-0.00152588,-0.0369263
0.054,0.00549316,-0.0274658
0.0545,0.0106812,-0.027771
0.055,0.0247192,-0.0408936
0.0555,0.0466919,-0.0485229
0.056,0.0561523,-0.0457764
0.0565,0.0714111,-0.0296021
0.057,0.0793457,0.0253296
0.0575,0.0668335,0.0717163
0.058,0.0546265,0.0921631
0.0585,0.0439453,0.0961304
0.059000000000000004,-0.000305176,0.0793457
0.059500000000000004,-0.0650024,0.0616455
0.06,-0.0704956,0.0390625
0.0605,-0.0598145,-0.017395
0.061,-0.0308228,-0.0408936
0.0615,-0.0112915,-0.0369263
0.062,-0.0326538,-0.0473022
0.0625,-0.0704956,-0.00183105
0.063,-0.0894165,-0.00946045
0.0635,-0.0708008,-0.022583
0.064,-0.0674438,0.144958
0.0645,-0.0723267,0.293884
0.065,-0.098877,0.331116
0.0655,-0.0933838,0.374146
0.066,-0.0405884,0.308228
0.0665,0.027771,0.128784
0.067,0.0756836,-0.0808716
0.0675,0.13855,-0.324097
0.068,0.233765,-0.544434
0.0685,0.351257,-0.634766
0.069,0.411682,-0.69397
0.0695,0.379944,-0.755005
0.07,0.28717,-0.646362
0.07050000000000001,0.192871,-0.40802
0.07100000000000001,0.138245,-0.2005
0.07150000000000001,-0.0662231,-0.0708008
0.07200000000000001,-0.437317,0.0161743
0.0725,-0.668945,0.0344849
0.073,-0.664673,-0.00518799
0.0735,-0.53772,-0.0439453
0.074,-0.385437,-0.0753784
0.0745,-0.258179,-0.126648
0.075,-0.196533,-0.19043
0.0755,-0.163879,-0.239258
0.076,-0.117798,-0.143433
0.0765,-0.0378418,0.0482178
0.077,0.0286865,0.177917
0.0775,0.055542,0.240173
0.078,0.0674438,0.286255
0.0785,0.110168,0.303345
0.079,0.115662,0.283508
0.0795,0.0802612,0.276489
0.08,0.0662231,0.276794
0.0805,0.0656128,0.275269
0.081,0.090332,0.293884
0.0815,0.140686,0.273743
0.082,0.198364,0.233459
0.0825,0.257263,0.186462
0.083,0.280762,0.147705
0.0835,0.278015,0.125427
0.084,0.256042,0.0933838
0.0845,0.209045,0.0491333
0.085,0.156555,0.0180054
0.0855,0.09552,-0.00213623
0.08600000000000001,0.0500488,-0.0204468
0.08650000000000001,-0.0311279,-0.0585938
0.08700000000000001,-0.062561,-0.10376
0.08750000000000001,-0.0576782,-0.127869
0.088,-0.118103,-0.137329
0.0885,-0.169067,-0.118103
0.089,-0.196838,-0.0942993
0.0895,-0.215454,-0.0646973
0.09,-0.272827,-0.0378418
0.0905,-0.246887,-0.0280762
0.091,-0.155334,0.0311279
0.0915,-0.0866699,0.0714111
0.092,-0.0238037,0.0854492
0.0925,0.0125122,0.101624
0.093,0.0360107,0.0933838
0.0935,0.0680542,0.078125
0.094,0.0927734,0.0506592
0.0945,0.0860596,0.00427246
0.095,0.0753784,-0.0259399
0.0955,0.0857544,-0.0283813
0.096,0.152283,-0.0216675
0.0965,0.192261,-0.0250244
0.097,0.185242,-0.0405884
0.0975,0.137634,-0.102539
0.098,0.0839233,-0.153503
0.0985,0.0442505,-0.161133
0.099,0.0201416,-0.163879
0.0995,-0.00396729,-0.137939
0.1,-0.0561523,-0.0613403
0.1005,-0.20874,0.0177002
0.101,-0.216064,0.0537109
0.1015,-0.138245,0.0579834
0.10200000000000001,-0.0790405,0.0717163
0.10250000000000001,-0.0323486,0.0802612
0.10300000000000001,-0.00518799,0.0753784
0.10350000000000001,0.00854492,0.0619507
0.10400000000000001,0.015564,0.0592041
0.1045,0.0186157,0.0598145
0.105,0.0167847,0.0552368
0.1055,0.0164795,0.0335693
0.106,0.0180054,0.0088501
0.1065,0.017395,-0.0189209
0.107,0.0170898,-0.0588989
0.1075,0.0183105,-0.0799561
0.108,0.0210571,-0.0875854
0.1085,0.0210571,-0.0878906
0.109,0.0161743,-0.0732422
0.1095,0.0112915,-0.0546265
0.11,0.00732422,-0.0686646
0.1105,0.00610352,-0.0808716
0.111,0.00762939,-0.0756836
0.1115,0.00732422,-0.0588989
0.112,0.00701904,-0.0375366
0.1125,0.00823975,-0.0256348
0.113,0.0109863,-0.00976563
0.1135,0.0131226,0.0213623
0.114,0.010376,0.0457764
0.1145,0.00427246,0.0576782
0.115,0.00183105,0.0588989
0.1155,0.0012207,0.0793457
0.116,0.00152588,0.0714111
0.1165,0.00152588,0.0482178
0.117,0.00701904,0.0219727
0.11750000000000001,0.0402832,0.00152588
0.11800000000000001,0.0643921,0.00366211
0.11850000000000001,0.0708008,0.00854492
0.11900000000000001,0.0604248,0.0320435
0.11950000000000001,0.0830078,0.0299072
0.12,0.193787,0.141602
0.1205,0.303345,0.218201
0.121,0.305786,0.201416
0.1215,0.202942,0.140381
0.122,0.13916,0.0930786
0.1225,0.131836,0.0662231
0.123,0.0939941,0.0167847
0.1235,-0.137634,-0.0460815
0.124,-0.452271,-0.102234
0.1245,-0.559998,-0.154724
0.125,-0.432434,-0.196533
0.1255,-0.275574,-0.190735
0.126,-0.232849,-0.161743
0.1265,-0.195618,-0.107727
0.127,-0.153503,-0.0302124
0.1275,-0.0854492,0.0637817
0.128,-0.0177002,0.182495
0.1285,-0.0201416,0.310364
0.129,-0.0686646,0.443726
0.1295,-0.132141,0.483398
0.13,-0.152893,0.430908
0.1305,-0.13031,0.292969
0.131,-0.104675,0.146179
0.1315,-0.102234,0.00915527
0.132,-0.0546265,-0.136719
0.1325,0.020752,-0.266724
0.133,0.0796509,-0.360413
0.1335,0.112305,-0.488892
0.134,0.136108,-0.583801
0.1345,0.178528,-0.683594
0.135,0.241699,-0.683899
0.1355,0.274963,-0.622559
0.136,0.272522,-0.583496
0.1365,0.24231,-0.515747
0.137,0.177002,-0.401611
0.1375,0.109253,-0.255737
0.138,0.0891113,-0.0991821
0.1385,0.0769043,0.0354004
0.139,0.12146,0.121155
0.1395,0.11261,0.22644
0.14,0.0997925,0.370789
0.1405,0.115967,0.441589
0.14100000000000001,0.157471,0.490723
0.14150000000000001,0.185242,0.522766
0.14200000000000002,0.108948,0.462952
0.14250000000000002,-0.122986,0.371399
0.14300000000000002,-0.323792,0.291138
0.14350000000000002,-0.397949,0.228271
0.14400000000000002,-0.402832,0.157471
0.1445,-0.369873,0.100403
0.145,-0.328064,0.0811768
0.1455,-0.264282,0.0473022
0.146,-0.201721,0.0256348
0.1465,-0.152893,0.0131226
0.147,-0.0918579,-0.00488281
0.1475,-0.0317383,-0.0189209
0.148,0.0198364,-0.0100708
0.1485,0.0390625,0.00427246
0.149,0.045166,0.00823975
0.1495,0.0402832,0.0119019
0.15,0.0402832,0.017395
0.1505,0.0747681,0.0219727
0.151,0.11261,0.00762939
0.1515,0.123291,-0.0152588
0.152,0.118713,-0.0244141
0.1525,0.114746,-0.022583
0.153,0.114441,-0.022583
0.1535,0.0698853,-0.0286865
0.154,-0.000305176,-0.0387573
0.1545,-0.0271606,-0.0305176
0.155,-0.00823975,-0.0012207
0.1555,0.027771,-0.00274658
0.156,0.0622559,0.00152588
0.1565,0.0845337,0.0305176
0.157,0.113831,0.0640869
0.1575,0.124512,0.110779
0.158,0.0775146,0.119019
0.1585,0.0289917,0.0924683
0.159,-0.00457764,-0.0302124
0.1595,-0.0180054,-0.0888062
0.16,-0.00427246,-0.0241089
0.1605,0.020752,0.0592041
0.161,0.0146484,0.100403
0.1615,0.038147,0.122681
0.162,0.0289917,0.135193
0.1625,-0.00518799,0.108643
0.163,-0.0418091,0.0448608
0.1635,-0.043335,-0.0518799
0.164,-0.0140381,-0.114746
0.1645,0.0167847,-0.160522
0.165,0.0299072,-0.189209
0.1655,0.0350952,-0.202332
0.166,0.0323486,-0.242004
0.1665,0.0244141,-0.244446
0.167,0.0140381,-0.238647
0.1675,0.00946045,-0.221558
0.168,0.0170898,-0.144043
0.1685,0.0390625,-0.0515747
0.169,0.0384521,0.0387573
0.1695,0.0253296,0.093689
0.17,0.0112915,0.104065
0.1705,0.0152588,0.10376
0.171,0.0338745,0.0744629
0.1715,0.0643921,0.0357056
0.17200000000000001,0.0646973,-0.0183105
0.17250000000000001,0.0363159,-0.0906372
0.17300000000000001,-0.0143433,-0.162354
0.17350000000000002,-0.0869751,-0.225525
0.17400000000000002,-0.088501,-0.239563
0.17450000000000002,-0.0897217,-0.224915
0.17500000000000002,-0.153809,-0.219421
0.17550000000000002,-0.19104,-0.21698
0.176,-0.166016,-0.22522
0.1765,-0.098877,-0.184021
0.177,-0.0466919,-0.103455
