Time (s),Tricep,Shoulder
0.0,-9.0625,-0.0109863
0.0005,-9.0625,-0.0109863
0.001,0.149231,0.0479126
0.0015,0.127563,0.0469971
0.002,0.111694,0.0497437
0.0025,0.101624,0.0506592
0.003,0.100403,0.0527954
0.0035,0.0912476,0.050354
0.004,0.0735474,0.0491333
0.0045000000000000005,0.0518799,0.0494385
0.005,0.0341797,0.0482178
0.0055,0.032959,0.0534058
0.006,0.0350952,0.0592041
0.006500000000000001,0.0292969,0.0619507
0.007,0.0231934,0.0616455
0.0075,0.0109863,0.0576782
0.008,0.00183105,0.0500488
0.0085,-0.0088501,0.0415039
0.009000000000000001,-0.0137329,0.0335693
0.0095,-0.0195313,0.0296021
0.01,-0.0241089,0.0292969
0.0105,-0.0292969,0.0311279
0.011,-0.0271606,0.0296021
0.0115,-0.0283813,0.0262451
0.012,-0.0314331,0.0234985
0.0125,-0.0323486,0.0204468
0.013000000000000001,-0.0344849,0.0170898
0.0135,-0.0378418,0.0140381
0.014,-0.039978,0.0119019
0.0145,-0.0402832,0.0112915
0.015,-0.0360107,0.00976563
0.0155,-0.0402832,0.00579834
0.016,-0.0418091,0.00244141
0.0165,-0.0366211,-0.00213623
0.017,-0.032959,-0.00640869
0.0175,-0.0280762,-0.0088501
0.018000000000000002,-0.020752,-0.0088501
0.0185,-0.0149536,-0.00976563
0.019,-0.0115967,-0.0131226
0.0195,-0.0125122,-0.0131226
0.02,-0.012207,-0.0149536
0.0205,-0.0128174,-0.0164795
0.021,-0.0222778,-0.0170898
0.021500000000000002,-0.0274658,-0.0186157
0.022,-0.0210571,-0.0222778
0.0225,-0.0119019,-0.022583
0.023,0.000610352,-0.0210571
0.0235,0.00823975,-0.0177002
0.024,0.0244141,-0.0158691
0.0245,0.0430298,-0.0140381
0.025,0.0723267,-0.00854492
0.025500000000000002,0.0991821,-0.00244141
0.026000000000000002,0.160522,0.00427246
0.0265,0.203552,0.0134277
0.027,0.231323,0.0238037
0.0275,0.185852,0.0289917
0.028,0.0836182,0.0262451
0.0285,-0.0274658,0.0158691
0.029,-0.0720215,0.00640869
0.029500000000000002,-0.0900269,0.00976563
0.03,-0.162659,0.0167847
0.0305,-0.285034,0.0222778
0.031,-0.405579,0.0473022
0.0315,-0.403748,0.0973511
0.032,-0.282288,0.140686
0.0325,-0.145569,0.151978
0.033,-0.0488281,0.146179
0.0335,0.11322,0.128479
0.034,0.297546,0.102844
0.0345,0.40741,0.0784302
0.035,0.474548,0.0576782
0.035500000000000004,0.373535,0.0183105
0.036000000000000004,0.158997,-0.0195313
0.0365,-0.010376,-0.0582886
0.037,-0.0613403,-0.119629
0.0375,-0.138245,-0.212402
0.038,-0.285034,-0.313721
0.0385,-0.310669,-0.394592
0.039,-0.258484,-0.449219
0.0395,-0.251465,-0.478821
0.04,-0.220032,-0.470886
0.0405,-0.145874,-0.405579
0.041,-0.10498,-0.314026
0.0415,-0.0909424,-0.222778
0.042,-0.107422,-0.138855
0.0425,-0.220337,-0.043335
0.043000000000000003,-0.352783,0.03479
0.043500000000000004,-0.29541,0.0881958
0.044,-0.198059,0.125427
0.0445,-0.148315,0.155029
0.045,-0.0823975,0.175171
0.0455,0.00854492,0.187988
0.046,0.0836182,0.205688
0.0465,0.114441,0.204773
0.047,0.0863647,0.184326
0.0475,0.0540161,0.153198
0.048,0.012207,0.113831
0.0485,-0.0506592,0.0827026
0.049,-0.0585938,0.0588989
0.0495,0.0540161,0.0457764
0.05,0.193787,0.027771
0.0505,0.301208,-0.00335693
0.051000000000000004,0.360107,-0.0167847
0.051500000000000004,0.372925,-0.0296021
0.052000000000000005,0.374756,-0.0500488
0.0525,0.350037,-0.0650024
0.053,0.278931,-0.0698853
0.0535,0.206909,-0.0732422
0.054,0.178528,-0.0631714
0.0545,0.195923,-0.0509644
0.055,0.214539,-0.0421143
0.0555,0.221252,-0.0323486
0.056,0.187683,-0.0247192
0.0565,0.135498,-0.010376
0.057,0.137024,0.00732422
0.0575,0.19165,0.0253296
0.058,0.205078,0.0442505
0.0585,0.174561,0.0543213
0.059000000000000004,0.119934,0.0592041
0.059500000000000004,0.0717163,0.0701904
0.06,0.0222778,0.0793457
0.0605,-0.0137329,0.0872803
0.061,-0.0668335,0.0912476
0.0615,-0.19165,0.0863647
0.062,-0.283508,0.0753784
0.0625,-0.274353,0.0668335
0.063,-0.245972,0.0662231
0.0635,-0.203247,0.0634766
0.064,-0.17395,0.0588989
0.0645,-0.17395,0.0579834
0.065,-0.178833,0.055542
0.0655,-0.17395,0.0512695
0.066,-0.159607,0.0476074
0.0665,-0.144348,0.0448608
0.067,-0.134888,0.0430298
0.0675,-0.123901,0.0408936
0.068,-0.107117,0.0375366
0.0685,-0.0976563,0.0341797
0.069,-0.0888062,0.0292969
0.0695,-0.0772095,0.0247192
0.07,-0.065918,0.0216675
0.07050000000000001,-0.055542,0.0189209
0.07100000000000001,-0.0476074,0.0143433
0.07150000000000001,-0.039978,0.00762939
0.07200000000000001,-0.0323486,-0.000305176
0.0725,-0.0247192,-0.00854492
0.073,-0.0177002,-0.0128174
0.0735,-0.0128174,-0.0177002
0.074,-0.00671387,-0.020752
0.0745,-0.000305176,-0.0210571
0.075,0.00579834,-0.0228882
0.0755,0.0125122,-0.0247192
0.076,0.0167847,-0.0271606
0.0765,0.0204468,-0.0280762
0.077,0.0222778,-0.0271606
0.0775,0.0238037,-0.0286865
0.078,0.0241089,-0.0253296
0.0785,0.0231934,-0.0222778
0.079,0.0234985,-0.0198364
0.0795,0.0238037,-0.0161743
0.08,0.0241089,-0.0140381
0.0805,0.0241089,-0.0119019
0.081,0.03479,-0.00732422
0.0815,0.0662231,-0.00183105
0.082,0.101929,0.00457764
0.0825,0.117493,0.0112915
0.083,0.126953,0.0167847
0.0835,0.122986,0.0231934
0.084,0.143433,0.027771
0.0845,0.172119,0.0308228
0.085,0.150452,0.0283813
0.0855,0.0775146,0.0268555
0.08600000000000001,0.0473022,0.0262451
0.08650000000000001,-0.0143433,0.0158691
0.08700000000000001,-0.113831,0.0186157
0.08750000000000001,-0.19928,0.0189209
0.088,-0.212402,0.0100708
0.0885,-0.175476,-0.00549316
0.089,-0.166321,-0.0119019
0.0895,-0.263062,-0.00732422
0.09,-0.375977,-0.00671387
0.0905,-0.368042,-0.0131226
0.091,-0.247192,-0.0219727
0.0915,-0.126038,-0.0335693
0.092,-0.0485229,-0.0387573
0.0925,-0.0296021,-0.045166
0.093,-0.0601196,-0.0546265
0.0935,-0.00915527,-0.0695801
0.094,0.0717163,-0.0744629
0.0945,0.164795,-0.0765991
0.095,0.261536,-0.0881958
0.0955,0.250854,-0.0982666
0.096,0.183105,-0.0952148
0.0965,0.100403,-0.102539
0.097,0.0338745,-0.107422
0.0975,-0.0189209,-0.100098
0.098,-0.0866699,-0.0830078
0.0985,-0.11322,-0.0698853
0.099,-0.0827026,-0.0531006
0.0995,-0.0622559,-0.0305176
0.1,-0.0323486,-0.00732422
0.1005,0.00305176,0.00823975
0.101,0.0695801,0.0186157
0.1015,0.154419,0.0283813
0.10200000000000001,0.208435,0.0332642
0.10250000000000001,0.238342,0.0405884
0.10300000000000001,0.257568,0.050354
0.10350000000000001,0.237732,0.0482178
0.10400000000000001,0.205383,0.0384521
0.1045,0.164795,0.027771
0.105,0.133972,0.0265503
0.1055,0.0836182,0.0305176
0.106,-0.0372314,0.0326538
0.1065,-0.161438,0.0283813
0.107,-0.126648,0.0259399
0.1075,-0.0787354,0.0296021
0.108,-0.0476074,0.0354004
0.1085,-0.03479,0.0387573
0.109,-0.0341797,0.0411987
0.1095,-0.0402832,0.0402832
0.11,-0.0476074,0.0384521
0.1105,-0.0469971,0.0387573
0.111,-0.043335,0.0375366
0.1115,-0.0411987,0.0344849
0.112,-0.0427246,0.0320435
0.1125,-0.0418091,0.0302124
0.113,-0.0402832,0.0302124
0.1135,-0.0341797,0.0311279
0.114,-0.0314331,0.0253296
0.1145,-0.0308228,0.0216675
0.115,-0.0292969,0.0195313
0.1155,-0.0286865,0.0158691
0.116,-0.027771,0.0143433
0.1165,-0.0247192,0.0134277
0.117,-0.0241089,0.0131226
0.11750000000000001,-0.020752,0.0119019
0.11800000000000001,-0.017395,0.0100708
0.11850000000000001,-0.0170898,0.00640869
0.11900000000000001,-0.0149536,0.00244141
0.11950000000000001,-0.00701904,0.00152588
0.12,-0.000915527,0.00366211
0.1205,0.00183105,0.00671387
0.121,0.000305176,0.0167847
0.1215,-0.00457764,0.0292969
0.122,-0.00549316,0.0357056
0.1225,0.0,0.0363159
0.123,0.00244141,0.032959
0.1235,0.0112915,0.0274658
0.124,0.0216675,0.0201416
0.1245,0.0448608,0.0109863
0.125,0.0744629,0.00732422
0.1255,0.0878906,0.00671387
0.126,0.0964355,0.00488281
0.1265,0.0949097,-0.00732422
0.127,0.0830078,-0.0314331
0.1275,0.0717163,-0.0595093
0.128,0.0488281,-0.0704956
0.1285,0.012207,-0.0708008
0.129,-0.0878906,-0.083313
0.1295,-0.150146,-0.100098
0.13,-0.154419,-0.102539
0.1305,-0.157166,-0.0909424
0.131,-0.183716,-0.0842285
0.1315,-0.181274,-0.0744629
0.132,-0.126343,-0.0610352
0.1325,-0.0961304,-0.0506592
0.133,-0.0601196,-0.0366211
0.1335,0.0283813,-0.0177002
0.134,0.0860596,0.00305176
0.1345,0.0973511,0.0231934
0.135,0.111694,0.043335
0.1355,0.211487,0.0610352
0.136,0.247498,0.0756836
0.1365,0.229797,0.0894165
0.137,0.133057,0.0991821
0.1375,0.0012207,0.106201
0.138,-0.0616455,0.11261
0.1385,-0.0750732,0.115356
0.139,-0.0924683,0.112
0.1395,-0.206299,0.112915
0.14,-0.38208,0.117493
0.1405,-0.371399,0.105286
0.14100000000000001,-0.245056,0.0811768
0.14150000000000001,-0.110168,0.055542
0.14200000000000002,0.0137329,0.022583
0.14250000000000002,0.0912476,-0.00366211
0.14300000000000002,0.126038,-0.00396729
0.14350000000000002,0.171509,-0.015564
0.14400000000000002,0.159607,-0.0524902
0.1445,0.0537109,-0.113525
0.145,-0.0125122,-0.184326
0.1455,0.00488281,-0.247803
0.146,-0.0143433,-0.28656
0.1465,-0.0439453,-0.310059
0.147,-0.038147,-0.33844
0.1475,0.0189209,-0.352478
0.148,0.0411987,-0.346069
0.1485,0.050354,-0.32074
0.149,0.0268555,-0.267029
0.1495,0.0119019,-0.194092
0.15,0.0930786,-0.12146
0.1505,0.175171,-0.0650024
0.151,0.195007,-0.0198364
0.1515,0.214233,0.0268555
0.152,0.202332,0.0680542
0.1525,0.202942,0.0967407
0.153,0.206909,0.114441
0.1535,0.139771,0.125122
0.154,0.0628662,0.137329
0.1545,-0.0201416,0.140076
0.155,-0.0598145,0.144653
0.1555,-0.0714111,0.149841
0.156,-0.153809,0.147095
0.1565,-0.21759,0.143127
0.157,-0.229797,0.141907
0.1575,-0.205688,0.136719
0.158,-0.117188,0.135498
0.1585,-0.0119019,0.137329
0.159,0.062561,0.135498
0.1595,0.0860596,0.125427
0.16,0.0717163,0.107727
0.1605,0.055542,0.0894165
0.161,0.0430298,0.0720215
0.1615,0.032959,0.06073
0.162,0.0311279,0.0531006
0.1625,0.0274658,0.0491333
0.163,0.0296021,0.045166
0.1635,0.0305176,0.0439453
0.164,0.0186157,0.0421143
0.1645,0.00640869,0.0418091
0.165,0.0012207,0.039978
0.1655,-0.010376,0.0344849
0.166,-0.0222778,0.0317383
0.1665,-0.0350952,0.0292969
0.167,-0.0436401,0.0305176
0.1675,-0.0457764,0.0302124
0.168,-0.0454712,0.0256348
0.1685,-0.0430298,0.0231934
0.169,-0.0418091,0.0189209
0.1695,-0.0372314,0.015564
0.17,-0.0335693,0.0106812
0.1705,-0.0259399,0.00640869
0.171,-0.0253296,0.00305176
0.1715,-0.032959,0.000305176
0.17200000000000001,-0.0341797,0.000610352
0.17250000000000001,-0.0109863,-0.00183105
0.17300000000000001,0.017395,-0.00457764
0.17350000000000002,0.0268555,-0.00732422
0.17400000000000002,0.0140381,-0.0119019
