Time (s),Tricep,Shoulder
0.0,-9.0625,-0.0109863
0.0005,-9.0625,-0.0109863
0.001,-0.00518799,0.0738525
0.0015,-0.00305176,0.112915
0.002,0.00366211,0.145264
0.0025,0.0338745,0.196533
0.003,0.00946045,0.229797
0.0035,-0.137634,0.223694
0.004,-0.204163,0.203552
0.0045000000000000005,-0.123596,0.193176
0.005,-0.0717163,0.170593
0.0055,-0.122986,0.119019
0.006,-0.166931,0.038147
0.006500000000000001,-0.122986,-0.0283813
0.007,-0.045166,-0.071106
0.0075,0.00701904,-0.0881958
0.008,0.0189209,-0.0964355
0.0085,0.0527954,-0.100098
0.009000000000000001,0.142517,-0.0869751
0.0095,0.268555,-0.0479126
0.01,0.24353,-0.0250244
0.0105,0.144958,0.0427246
0.011,0.0375366,0.128479
0.0115,-0.0387573,0.158081
0.012,-0.0509644,0.164185
0.0125,0.0268555,0.158691
0.013000000000000001,0.0482178,0.120544
0.0135,-0.0619507,0.0799561
0.014,-0.130005,0.0323486
0.0145,-0.156555,0.00396729
0.015,-0.110474,0.00762939
0.0155,-0.062561,0.0378418
0.016,-0.0350952,0.0366211
0.0165,-0.00946045,0.0189209
0.017,0.0131226,-0.00549316
0.0175,0.0308228,-0.0531006
0.018000000000000002,0.045166,-0.0500488
0.0185,0.062561,-0.00732422
0.019,0.0720215,-0.00183105
0.0195,0.0762939,-0.0274658
0.02,0.072937,-0.022583
0.0205,0.0668335,0.00152588
0.021,0.0650024,0.017395
0.021500000000000002,0.0616455,0.0210571
0.022,0.0613403,0.010376
0.0225,0.0570679,-0.0372314
0.023,0.0463867,-0.0674438
0.0235,0.0369263,-0.078125
0.024,0.0311279,-0.0848389
0.0245,0.027771,-0.112915
0.025,0.0262451,-0.137024
0.025500000000000002,0.0274658,-0.136719
0.026000000000000002,0.0259399,-0.112915
0.0265,0.0195313,-0.102234
0.027,0.0146484,-0.0854492
0.0275,0.0152588,-0.0894165
0.028,0.0119019,-0.090332
0.0285,0.00854492,-0.0265503
0.029,0.00488281,0.0970459
0.029500000000000002,0.00244141,0.162659
0.03,-0.000610352,0.15686
0.0305,-0.00396729,0.134583
0.031,-0.00854492,0.107422
0.0315,-0.0109863,0.0744629
0.032,-0.0112915,0.0485229
0.0325,-0.0140381,0.00915527
0.033,-0.0164795,-0.0170898
0.0335,-0.0180054,-0.0360107
0.034,-0.0183105,-0.0473022
0.0345,-0.0201416,-0.03479
0.035,-0.0314331,-0.0167847
0.035500000000000004,-0.0308228,0.0115967
0.036000000000000004,-0.0204468,0.0601196
0.0365,0.00488281,0.0939941
0.037,0.0350952,0.125732
0.0375,0.0524902,0.136108
0.038,0.065918,0.164185
0.0385,0.0869751,0.189819
0.039,0.0900269,0.178223
0.0395,0.0469971,0.116272
0.04,0.032959,0.0369263
0.0405,0.0363159,-0.0540161
0.041,-0.0112915,-0.109558
0.0415,-0.00823975,-0.116272
0.042,0.0128174,-0.126648
0.0425,0.0189209,-0.101624
0.043000000000000003,0.0213623,-0.0921631
0.043500000000000004,-0.00427246,-0.104675
0.044,-0.105591,-0.101013
0.0445,-0.213928,-0.13092
0.045,-0.317383,-0.168152
0.0455,-0.25116,-0.192871
0.046,-0.114136,-0.187683
0.0465,-0.0430298,-0.137329
0.047,-0.00640869,-0.062561
0.0475,0.00854492,-0.0106812
0.048,-0.0256348,0.027771
0.0485,0.00915527,0.0723267
0.049,0.0842285,0.0692749
0.0495,0.126953,0.0366211
0.05,0.119019,0.0204468
0.0505,0.022583,0.0427246
0.051000000000000004,-0.032959,0.065918
0.051500000000000004,0.0561523,0.0515747
0.052000000000000005,0.0738525,0.0250244
0.0525,-0.0860596,0.0183105
0.053,-0.243225,0.0344849
0.0535,-0.209351,0.0354004
0.054,-0.126343,0.0180054
0.0545,-0.100098,0.00854492
0.055,-0.0900269,-0.010376
0.0555,-0.0640869,-0.0112915
0.056,-0.0491333,-0.0280762
0.0565,-0.0265503,-0.0476074
0.057,0.0228882,-0.017395
0.0575,0.0817871,0.057373
0.058,0.10376,0.0839233
0.0585,0.0704956,0.0802612
0.059000000000000004,0.0512695,0.0418091
0.059500000000000004,0.0558472,-0.00518799
0.06,0.0564575,-0.0445557
0.0605,0.00915527,-0.101318
0.061,0.00213623,-0.12146
0.0615,0.085144,-0.0875854
0.062,0.163574,-0.0576782
0.0625,0.154419,-0.0344849
0.063,0.157776,-0.0216675
0.0635,0.161743,-0.00244141
0.064,0.162354,0.032959
0.0645,0.150146,0.0592041
0.065,0.125732,0.0891113
0.0655,0.0991821,0.110474
0.066,0.0253296,0.0814819
0.0665,-0.105591,0.0546265
0.067,-0.194092,0.0506592
0.0675,-0.169067,0.0509644
0.068,-0.154114,0.0457764
0.0685,-0.158997,0.0695801
0.069,-0.177002,0.0772095
0.0695,-0.173645,0.039978
0.07,-0.126648,-0.0341797
0.07050000000000001,-0.0720215,-0.0863647
0.07100000000000001,-0.0473022,-0.11261
0.07150000000000001,-0.050354,-0.117188
0.07200000000000001,-0.0427246,-0.0909424
0.0725,-0.0140381,-0.0143433
0.073,0.0216675,0.032959
0.0735,0.0518799,0.045166
0.074,0.0848389,0.0384521
0.0745,0.0866699,-0.00701904
0.075,0.0814819,-0.0341797
0.0755,0.0790405,-0.0421143
0.076,0.0845337,-0.0469971
0.0765,0.0894165,-0.0238037
0.077,0.0830078,-0.0134277
0.0775,0.0671387,0.0375366
0.078,0.0408936,0.0894165
0.0785,0.00335693,0.118103
0.079,-0.0344849,0.124817
0.0795,-0.0125122,0.0930786
0.08,0.0588989,0.0714111
0.0805,0.107422,0.0726318
0.081,0.114746,0.0769043
0.0815,0.0994873,0.0939941
0.082,0.0738525,0.0909424
0.0825,0.0344849,0.0595093
0.083,0.027771,0.0161743
0.0835,0.00915527,0.00396729
0.084,-0.0997925,-0.0228882
0.0845,-0.157471,-0.0848389
0.085,-0.160828,-0.112305
0.0855,-0.168152,-0.119629
0.08600000000000001,-0.131226,-0.135498
0.08650000000000001,-0.0811768,-0.131836
0.08700000000000001,-0.0390625,-0.121155
0.08750000000000001,-0.00213623,-0.127258
0.088,0.0326538,-0.134277
0.0885,0.0466919,-0.125427
0.089,0.0622559,-0.0942993
0.0895,0.0561523,-0.062561
0.09,0.0320435,-0.0320435
0.0905,0.0164795,0.00732422
0.091,0.010376,0.0271606
0.0915,0.0234985,0.0292969
0.092,0.0222778,0.0265503
0.0925,0.010376,0.00549316
0.093,-0.00610352,-0.0231934
0.0935,-0.0115967,-0.0393677
0.094,-0.0305176,-0.0317383
0.0945,-0.121765,-0.0167847
0.095,-0.157166,0.0296021
0.0955,-0.107117,0.100098
0.096,-0.0558472,0.141296
0.0965,-0.03479,0.149841
0.097,-0.0119019,0.209656
0.0975,0.0180054,0.26825
0.098,0.0628662,0.240479
0.0985,0.136719,0.150146
0.099,0.177307,0.0686646
0.0995,0.153198,0.015564
0.1,0.115662,-0.00244141
0.1005,0.0512695,-0.022583
0.101,-0.00793457,-0.0424194
0.1015,-0.0363159,-0.0570679
0.10200000000000001,-0.0344849,-0.0595093
0.10250000000000001,-0.0320435,-0.057373
0.10300000000000001,-0.0164795,-0.0668335
0.10350000000000001,-0.0204468,-0.0598145
0.10400000000000001,-0.0262451,-0.0326538
0.1045,0.00152588,-0.00549316
0.105,0.0384521,-0.00305176
0.1055,0.043335,-0.0180054
0.106,0.00396729,-0.0341797
0.1065,0.00427246,-0.0622559
0.107,0.0360107,-0.0869751
0.1075,0.0299072,-0.118103
0.108,0.00335693,-0.155334
0.1085,-0.0088501,-0.168762
0.109,0.0259399,-0.123901
0.1095,0.00915527,-0.0680542
0.11,-0.09552,-0.0320435
0.1105,-0.223389,-0.010376
0.111,-0.338745,0.0219727
0.1115,-0.301819,0.0769043
0.112,-0.151978,0.10376
0.1125,-0.0778198,0.146484
0.113,-0.0585938,0.175171
0.1135,-0.0012207,0.154114
0.114,0.0790405,0.160217
0.1145,0.13031,0.110779
0.115,0.116882,0.0512695
0.1155,0.0735474,0.0366211
0.116,0.0473022,0.0259399
0.1165,0.0421143,0.0344849
0.117,0.0308228,0.0778198
0.11750000000000001,0.012207,0.0854492
0.11800000000000001,0.0128174,0.0326538
0.11850000000000001,0.0405884,-0.0512695
0.11900000000000001,0.0671387,-0.112
0.11950000000000001,0.0653076,-0.15564
0.12,0.0375366,-0.183105
0.1205,0.012207,-0.209961
0.121,0.0167847,-0.227966
0.1215,0.0363159,-0.210571
0.122,0.043335,-0.200195
0.1225,0.0531006,-0.211792
0.123,0.0741577,-0.207214
0.1235,0.0982666,-0.185547
0.124,0.105591,-0.172119
0.1245,0.0726318,-0.156555
0.125,0.0320435,-0.116272
0.1255,0.0378418,-0.0524902
0.126,0.0738525,0.0198364
0.1265,0.0939941,0.0634766
0.127,0.0177002,0.0668335
0.1275,-0.0814819,0.0292969
0.128,-0.0692749,-0.0521851
0.1285,0.000915527,-0.098877
0.129,0.0790405,-0.0610352
0.1295,0.0704956,0.00305176
0.13,-0.0363159,0.0848389
0.1305,-0.143127,0.167847
0.131,-0.11261,0.21637
0.1315,-0.0921631,0.245361
0.132,-0.11322,0.261536
0.1325,-0.133057,0.238342
0.133,-0.112915,0.222168
0.1335,-0.0619507,0.222168
0.134,-0.0192261,0.231628
0.1345,0.00549316,0.229797
0.135,0.0137329,0.184326
0.1355,0.0180054,0.117493
0.136,0.00488281,0.0759888
0.1365,-0.0350952,0.0564575
0.137,-0.0765991,0.0509644
0.1375,-0.0564575,0.0332642
0.138,-0.00549316,0.00640869
0.1385,0.0305176,-0.010376
0.139,0.0415039,-0.0256348
0.1395,0.00396729,-0.0405884
0.14,-0.00671387,-0.0350952
0.1405,0.0241089,-0.0228882
0.14100000000000001,0.0195313,-0.0189209
0.14150000000000001,-0.0131226,-0.0195313
0.14200000000000002,-0.0280762,-0.0131226
0.14250000000000002,-0.027771,-0.00396729
0.14300000000000002,-0.0210571,-0.0088501
0.14350000000000002,-0.0128174,0.0
0.14400000000000002,-0.00274658,0.000305176
0.1445,0.0109863,-0.0308228
0.145,0.0244141,-0.0439453
0.1455,0.0436401,-0.055542
0.146,0.0598145,-0.055542
0.1465,0.0579834,-0.0479126
0.147,0.0518799,-0.0253296
0.1475,0.057373,0.0558472
0.148,0.0674438,0.0595093
0.1485,0.0735474,0.00823975
0.149,0.0772095,-0.010376
0.1495,0.0863647,-0.0262451
0.15,0.0842285,-0.0640869
0.1505,0.0680542,-0.114441
0.151,0.0387573,-0.151978
0.1515,0.0143433,-0.151978
0.152,0.020752,-0.125427
0.1525,-0.00579834,-0.112915
0.153,-0.0567627,-0.160217
0.1535,-0.085144,-0.202026
0.154,-0.0970459,-0.230408
0.1545,-0.0982666,-0.242615
0.155,-0.0750732,-0.210571
0.1555,-0.0360107,-0.144653
0.156,-0.0180054,-0.0668335
0.1565,0.0216675,-0.0338745
0.157,0.0775146,-0.0332642
0.1575,0.127563,-0.00793457
0.158,0.15564,0.00213623
0.1585,0.124817,0.00427246
0.159,0.0759888,0.0323486
0.1595,-0.00946045,0.0775146
0.16,-0.124207,0.128174
0.1605,-0.172424,0.162354
0.161,-0.177917,0.148926
0.1615,-0.202332,0.113831
0.162,-0.194397,0.110474
0.1625,-0.154724,0.149841
0.163,-0.0708008,0.196228
0.1635,0.00366211,0.208435
0.164,0.0186157,0.194092
0.1645,0.00946045,0.180359
0.165,-0.0213623,0.169983
0.1655,-0.0704956,0.149841
0.166,-0.0900269,0.124512
0.1665,-0.0421143,0.0698853
0.167,0.0531006,-0.0170898
0.1675,0.0802612,-0.0811768
0.168,0.0793457,-0.122681
0.1685,0.0909424,-0.135193
0.169,0.109253,-0.108643
0.1695,0.102234,-0.0769043
0.17,0.0897217,-0.0558472
0.1705,0.109863,-0.0424194
0.171,0.108337,-0.0360107
0.1715,0.0421143,-0.0357056
0.17200000000000001,0.0195313,-0.0384521
0.17250000000000001,0.0344849,-0.0506592
0.17300000000000001,0.0128174,-0.0463867
0.17350000000000002,-0.0888062,-0.00701904
0.17400000000000002,-0.185852,0.0323486
