Time (s),Tricep,Shoulder
0.0,0.0357056,-0.519714
0.0005,0.088501,-0.784607
0.001,0.151062,-0.799561
0.0015,0.18158,-0.751343
0.002,0.230103,-1.00464
0.0025,0.375061,-1.04248
0.003,0.526123,-0.460205
0.0035,0.354004,0.234375
0.004,0.103149,0.887146
0.0045000000000000005,-0.0259399,1.3504
0.005,0.0268555,1.44958
0.0055,0.201416,1.20483
0.006,0.318909,1.01196
0.006500000000000001,0.41626,0.929871
0.007,0.525208,0.851135
0.0075,0.469971,0.769958
0.008,0.324097,0.627441
0.0085,0.185547,0.476685
0.009000000000000001,0.118713,0.35614
0.0095,0.11322,0.247192
0.01,0.0363159,0.127258
0.0105,-0.0915527,0.0473022
0.011,-0.186768,-0.022583
0.0115,-0.25116,-0.106201
0.012,-0.212402,-0.149536
0.0125,-0.172119,-0.18219
0.013000000000000001,-0.210571,-0.17395
0.0135,-0.267639,-0.149536
0.014,-0.281982,-0.0765991
0.0145,-0.285034,0.0344849
0.015,-0.259094,0.0888062
0.0155,-0.265503,0.0860596
0.016,-0.319519,-0.0396729
0.0165,-0.411682,-0.137329
0.017,-0.431519,-0.160522
0.0175,-0.417175,-0.122375
0.018000000000000002,-0.337524,-0.112
0.0185,-0.237427,-0.208435
0.019,-0.155334,-0.305786
0.0195,-0.00976563,-0.344849
0.02,0.259094,-0.364075
0.0205,0.42572,-0.255737
0.021,0.339355,-0.112305
0.021500000000000002,0.298767,-0.00579834
0.022,0.327454,0.0354004
0.0225,0.258789,0.00213623
0.023,0.170898,-0.0891113
0.0235,0.162659,-0.220947
0.024,0.195618,-0.431213
0.0245,0.170593,-0.560913
0.025,0.13855,-0.557251
0.025500000000000002,0.172729,-0.438538
0.026000000000000002,0.254517,-0.288696
0.0265,0.283813,-0.171814
0.027,0.149536,-0.148926
0.0275,-0.0683594,-0.115967
0.028,-0.232544,-0.0845337
0.0285,-0.319519,-0.0302124
0.029,-0.388184,0.0234985
0.029500000000000002,-0.401917,0.0836182
0.03,-0.338135,0.144348
0.0305,-0.336914,0.154419
0.031,-0.349121,0.0982666
0.0315,-0.263062,-0.0354004
0.032,-0.0790405,-0.196228
0.0325,0.163879,-0.325012
0.033,0.390625,-0.542908
0.0335,0.413513,-0.722656
0.034,0.317078,-0.798035
0.0345,0.281372,-0.606079
0.035,0.211182,-0.247803
0.035500000000000004,0.108032,0.127869
0.036000000000000004,-0.0476074,0.442505
0.0365,-0.174255,0.655823
0.037,-0.271912,0.661926
0.0375,-0.358887,0.501099
0.038,-0.361023,0.563965
0.0385,-0.245972,0.566101
0.039,-0.176086,0.197449
0.0395,-0.0531006,0.276184
0.04,0.126648,0.630188
0.0405,0.127869,1.02814
0.041,0.0598145,1.1673
0.0415,0.0460815,1.16882
0.042,0.329895,1.12366
0.0425,0.631714,0.984497
0.043000000000000003,0.444946,0.680237
0.043500000000000004,0.0900269,0.348816
0.044,-0.119324,-0.0421143
0.0445,-0.105591,-0.214233
0.045,-0.0708008,-0.332947
0.0455,-0.169373,-0.447693
0.046,-0.324402,-0.486755
0.0465,-0.378113,-0.500183
0.047,-0.280762,-0.487366
0.0475,-0.111694,-0.483398
0.048,0.100708,-0.439758
0.0485,0.252991,-0.333252
0.049,0.481262,-0.248718
0.0495,0.649109,-0.155334
0.05,0.692749,-0.0799561
0.0505,0.534973,-0.0271606
0.051000000000000004,0.352478,-0.0170898
0.051500000000000004,0.19928,-0.0411987
0.052000000000000005,-0.000915527,-0.0424194
0.0525,-0.209045,-0.0228882
0.053,-0.426025,-0.0247192
0.0535,-0.591736,-0.057373
0.054,-0.641479,-0.0991821
0.0545,-0.627441,-0.125122
0.055,-0.523376,-0.120239
0.0555,-0.390625,-0.0747681
0.056,-0.175781,-0.0460815
0.0565,0.149231,-0.11322
0.057,0.335999,-0.1828
0.0575,0.399475,-0.126343
0.058,0.417175,-0.0878906
0.0585,0.569153,-0.110168
0.059000000000000004,0.385132,-0.116272
0.059500000000000004,-0.187683,-0.106506
0.06,-0.511169,-0.102234
0.0605,-0.421448,-0.221863
0.061,-0.211182,-0.538025
0.0615,-0.0765991,-0.959778
0.062,0.03479,-1.16425
0.0625,0.183411,-1.22955
0.063,0.383301,-1.28235
0.0635,0.414124,-1.4151
0.064,0.359497,-1.2204
0.0645,0.267029,-0.667419
0.065,0.249634,-0.0646973
0.0655,0.108948,0.588379
0.066,-0.159912,1.09497
0.0665,-0.299988,1.36841
0.067,-0.270996,1.49384
0.0675,-0.184326,1.54175
0.068,-0.118103,1.43707
0.0685,-0.0405884,1.26038
0.069,0.0622559,1.07361
0.0695,0.144043,0.928955
0.07,0.250854,0.863342
0.07050000000000001,0.275269,0.737
0.07100000000000001,0.21637,0.523987
0.07150000000000001,0.102234,0.326538
0.07200000000000001,-0.0424194,0.201416
0.0725,-0.153198,0.0646973
0.073,-0.213013,-0.101318
0.0735,-0.223083,-0.15625
0.074,-0.215149,-0.119934
0.0745,-0.174866,-0.0848389
0.075,-0.167236,-0.0521851
0.0755,-0.175781,-0.0579834
0.076,-0.206909,-0.166626
0.0765,-0.224915,-0.307312
0.077,-0.230408,-0.343323
0.0775,-0.262756,-0.273438
0.078,-0.299377,-0.115051
0.0785,-0.310669,-0.022583
0.079,-0.403748,-0.180969
0.0795,-0.516663,-0.296021
0.08,-0.524902,-0.397949
0.0805,-0.338745,-0.533752
0.081,0.0418091,-0.632324
0.0815,0.187378,-0.674438
0.082,0.189514,-0.554504
0.0825,0.377197,-0.396423
0.083,0.519104,-0.232239
0.0835,0.487976,-0.107117
0.084,0.510864,-0.0805664
0.0845,0.522156,-0.305176
0.085,0.441284,-0.609131
0.0855,0.346069,-0.495911
0.08600000000000001,0.197754,-0.0830078
0.08650000000000001,0.0476074,0.320129
0.08700000000000001,-0.121155,0.560303
0.08750000000000001,-0.314636,0.447388
0.088,-0.589905,0.126343
0.0885,-0.714111,-0.0863647
0.089,-0.639954,-0.083313
0.0895,-0.450134,-0.0259399
0.09,-0.231018,0.0750732
0.0905,-0.213318,0.147095
0.091,-0.172729,-0.0253296
0.0915,-0.0292969,-0.326843
0.092,0.185547,-0.662842
0.0925,0.646973,-0.949402
0.093,1.00861,-1.09161
0.0935,1.00067,-0.97229
0.094,0.717468,-0.533447
0.0945,0.437317,0.0860596
0.095,0.0744629,0.635681
0.0955,-0.150452,1.00708
0.096,-0.318604,1.17676
0.0965,-0.479126,1.23901
0.097,-0.488892,1.21399
0.0975,-0.512695,1.11572
0.098,-0.439148,1.05255
0.0985,-0.168762,0.991516
0.099,0.0967407,0.88501
0.0995,0.388794,0.787048
0.1,0.654297,0.594177
0.1005,0.556946,0.311279
0.101,0.28595,0.0680542
0.1015,0.168762,-0.067749
0.10200000000000001,0.198059,-0.140991
0.10250000000000001,0.246887,-0.187378
0.10300000000000001,0.201721,-0.197449
0.10350000000000001,0.108337,-0.190125
0.10400000000000001,0.0430298,-0.203552
0.1045,-0.032959,-0.248413
0.105,-0.0314331,-0.24231
0.1055,-0.0112915,-0.248413
0.106,0.0198364,-0.242615
0.1065,0.0952148,-0.239563
0.107,0.305786,-0.26062
0.1075,0.327759,-0.240784
0.108,0.157471,-0.169373
0.1085,-0.124817,-0.0732422
0.109,-0.413513,0.071106
0.1095,-0.595398,0.183716
0.11,-0.637512,0.235596
0.1105,-0.58197,0.244446
0.111,-0.462952,0.151062
0.1115,-0.323792,0.00946045
0.112,-0.188904,-0.151367
0.1125,-0.12207,-0.271606
0.113,-0.0308228,-0.346375
0.1135,0.0900269,-0.459595
0.114,0.259705,-0.681152
0.1145,0.264587,-0.937195
0.115,0.0268555,-1.09406
0.1155,-0.248718,-1.08124
0.116,-0.416565,-0.970154
0.1165,-0.42511,-0.780029
0.117,-0.439453,-0.526428
0.11750000000000001,-0.409241,-0.324097
0.11800000000000001,-0.354919,-0.241394
0.11850000000000001,-0.227051,-0.256653
0.11900000000000001,0.0616455,-0.448303
0.11950000000000001,0.243225,-0.71106
0.12,0.481567,-0.749512
0.1205,0.96344,-0.561829
0.121,0.924072,-0.251465
0.1215,0.543518,0.0817871
0.122,0.351257,0.299072
0.1225,0.462646,0.437317
0.123,0.405884,0.464478
0.1235,0.243835,0.412903
0.124,0.207214,0.440063
0.1245,0.212402,0.493774
0.125,0.255432,0.515442
0.1255,0.293274,0.588379
0.126,0.18219,0.733643
0.1265,-0.0534058,0.822144
0.127,-0.257263,0.803528
0.1275,-0.307922,0.699158
0.128,-0.310974,0.616455
0.1285,-0.311279,0.457458
0.129,-0.307312,0.256958
0.1295,-0.312195,-0.0317383
0.13,-0.335999,-0.239868
0.1305,-0.325012,-0.26947
0.131,-0.175781,-0.18219
0.1315,-0.090332,0.0296021
0.132,-0.13916,0.245056
0.1325,-0.202332,0.150452
