Time (s),Tricep,Shoulder
0.0,-0.0686646,0.0360107
0.0005,-0.136719,0.0112915
0.001,-0.235901,-0.0357056
0.0015,-0.30426,-0.0878906
0.002,-0.351257,-0.153198
0.0025,-0.386658,-0.22583
0.003,-0.38147,-0.357666
0.0035,-0.283813,-0.419617
0.004,-0.169983,-0.386353
0.0045000000000000005,-0.179749,-0.253601
0.005,-0.127869,-0.0750732
0.0055,-0.0231934,0.0857544
0.006,0.00183105,0.227051
0.006500000000000001,0.0628662,0.303955
0.007,0.19104,0.264893
0.0075,0.283508,0.246887
0.008,0.435791,0.206299
0.0085,0.282593,-0.0640869
0.009000000000000001,-0.0219727,-0.391541
0.0095,-0.191956,-0.574341
0.01,-0.254211,-0.492859
0.0105,-0.242615,-0.205994
0.011,-0.143433,0.0637817
0.0115,-0.0595093,0.203552
0.012,-0.0204468,0.166931
0.0125,0.0570679,-0.0411987
0.013000000000000001,0.0982666,-0.412903
0.0135,0.0457764,-0.733337
0.014,0.0115967,-0.75592
0.0145,0.0708008,-0.46051
0.015,0.195618,-0.101318
0.0155,0.310974,0.0872803
0.016,0.160522,0.152588
0.0165,-0.103149,0.144958
0.017,-0.296631,0.0830078
0.0175,-0.448914,0.0228882
0.018000000000000002,-0.445557,0.00152588
0.0185,-0.30426,0.0283813
0.019,-0.106201,0.0436401
0.0195,0.0604248,0.0354004
0.02,0.300293,0.0488281
0.0205,0.566101,0.0894165
0.021,0.755005,0.119934
0.021500000000000002,0.701294,0.153198
0.022,0.591736,0.243835
0.0225,0.55481,0.366211
0.023,0.522461,0.473633
0.0235,0.363464,0.600586
0.024,0.136414,0.731812
0.0245,-0.0506592,0.83374
0.025,-0.158386,0.761414
0.025500000000000002,-0.230103,0.593872
0.026000000000000002,-0.231323,0.435486
0.0265,-0.201721,0.313416
0.027,-0.217285,0.0723267
0.0275,-0.19165,-0.176392
0.028,-0.140076,-0.307312
0.0285,-0.0579834,-0.536194
0.029,0.00549316,-0.766602
0.029500000000000002,0.0354004,-1.08521
0.03,0.0424194,-1.12152
0.0305,0.0146484,-0.841064
0.031,-0.0411987,-0.524902
0.0315,-0.101318,-0.203552
0.032,-0.115967,0.0958252
0.0325,-0.144348,0.211182
0.033,-0.187073,0.221863
0.0335,-0.23407,0.213623
0.034,-0.259094,0.257568
0.0345,-0.237122,0.317993
0.035,-0.178223,0.29541
0.035500000000000004,-0.120239,0.183105
0.036000000000000004,-0.0949097,0.0491333
0.0365,-0.0311279,-0.083313
0.037,-0.0482178,-0.197144
0.0375,-0.0802612,-0.265198
0.038,-0.0485229,-0.306702
0.0385,0.0131226,-0.326538
0.039,-0.010376,-0.29541
0.0395,-0.101318,-0.239868
0.04,-0.154114,-0.205078
0.0405,-0.137634,-0.205994
0.041,-0.1651,-0.170898
0.0415,-0.218811,-0.0762939
0.042,-0.214539,-0.0784302
0.0425,-0.127258,-0.158386
0.043000000000000003,0.0,-0.297241
0.043500000000000004,0.062561,-0.342102
0.044,0.0619507,-0.24353
0.0445,0.0228882,-0.020752
0.045,0.00854492,0.177307
0.0455,0.111389,0.268555
0.046,0.263977,0.264587
