Time (s),Tricep,Shoulder
0.0,-0.0375366,0.0540161
0.0005,0.0527954,0.0494385
0.001,0.194702,0.0396729
0.0015,0.328369,0.0283813
0.002,0.28595,0.0222778
0.0025,0.220337,0.0183105
0.003,0.204163,0.0210571
0.0035,0.170593,0.022583
0.004,0.145569,0.0167847
0.0045000000000000005,0.0869751,-0.000915527
0.005,0.0656128,-0.0210571
0.0055,-0.0485229,-0.0360107
0.006,-0.179749,-0.0491333
0.006500000000000001,-0.183105,-0.065918
0.007,0.00640869,-0.0820923
0.0075,0.103149,-0.0845337
0.008,0.113831,-0.0756836
0.0085,0.0778198,-0.085144
0.009000000000000001,0.032959,-0.110474
0.0095,0.127258,-0.163269
0.01,0.298462,-0.252075
0.0105,0.231018,-0.354309
0.011,0.0180054,-0.409546
0.0115,-0.146484,-0.395203
0.012,-0.131226,-0.307922
0.0125,-0.0299072,-0.184326
0.013000000000000001,0.129089,-0.0274658
0.0135,0.254211,0.117798
0.014,0.245667,0.233459
0.0145,0.105286,0.309143
0.015,-0.0146484,0.364075
0.0155,-0.0686646,0.412292
0.016,-0.0933838,0.439758
0.0165,-0.101318,0.449829
0.017,-0.098877,0.432129
0.0175,-0.0997925,0.411682
0.018000000000000002,-0.101318,0.379944
0.0185,-0.106812,0.34668
0.019,-0.132751,0.290222
0.0195,-0.187073,0.205994
0.02,-0.223999,0.144043
0.0205,-0.235291,0.115967
0.021,-0.244141,0.116882
0.021500000000000002,-0.227966,0.109558
0.022,-0.148315,0.0894165
0.0225,-0.0619507,0.0579834
0.023,-0.0454712,0.0411987
0.0235,-0.0485229,0.0161743
0.024,-0.015564,-0.0265503
0.0245,-0.0152588,-0.0726318
0.025,-0.0134277,-0.121155
0.025500000000000002,0.0463867,-0.181885
0.026000000000000002,0.11261,-0.215454
0.0265,0.0131226,-0.211182
0.027,0.0115967,-0.212097
0.0275,0.157471,-0.221863
0.028,0.289612,-0.228577
0.0285,0.128479,-0.223389
0.029,-0.0613403,-0.210876
0.029500000000000002,-0.122375,-0.180359
0.03,-0.131836,-0.150146
0.0305,-0.135803,-0.128784
0.031,-0.122375,-0.124512
0.0315,-0.105896,-0.128479
0.032,-0.105896,-0.125427
0.0325,-0.110168,-0.121155
0.033,-0.0924683,-0.114441
0.0335,-0.0906372,-0.108948
0.034,-0.101929,-0.111694
0.0345,-0.109253,-0.0961304
0.035,-0.107422,-0.0534058
0.035500000000000004,-0.162354,-0.027771
0.036000000000000004,-0.194397,-0.0265503
0.0365,-0.284424,-0.00366211
0.037,-0.334473,0.0231934
0.0375,-0.432129,0.0457764
0.038,-0.487061,0.06073
0.0385,-0.405884,0.072937
0.039,-0.382385,0.0741577
0.0395,-0.276794,0.0622559
0.04,-0.100098,0.0384521
0.0405,-0.0241089,0.0146484
0.041,0.150146,-0.0305176
0.0415,0.569763,-0.083313
0.042,1.19415,-0.131531
0.0425,1.6333,-0.170898
0.043000000000000003,1.60522,-0.19928
0.043500000000000004,1.14471,-0.211792
0.044,0.731201,-0.192871
0.0445,0.463257,-0.122681
0.045,0.245667,-0.0360107
0.0455,0.142822,0.0476074
0.046,0.0265503,0.107727
0.0465,-0.170288,0.142212
0.047,-0.329285,0.166931
0.0475,-0.462952,0.180359
0.048,-0.540161,0.181274
0.0485,-0.577087,0.172119
0.049,-0.575867,0.159912
0.0495,-0.536804,0.145569
0.05,-0.522156,0.125732
0.0505,-0.431519,0.109253
0.051000000000000004,-0.166016,0.0930786
0.051500000000000004,0.184326,0.0689697
0.052000000000000005,0.483093,0.0424194
0.0525,0.460815,0.0140381
0.053,0.281067,-0.0210571
0.0535,0.213623,-0.0640869
0.054,0.43396,-0.108643
0.0545,0.611267,-0.141602
0.055,0.339355,-0.155029
0.0555,0.0500488,-0.150452
0.056,-0.0698853,-0.127869
0.0565,-0.112,-0.090332
0.057,-0.127258,-0.0527954
0.0575,-0.151367,-0.0128174
0.058,-0.162048,0.0241089
0.0585,-0.168152,0.0439453
0.059000000000000004,-0.168457,0.0500488
0.059500000000000004,-0.189819,0.0515747
0.06,-0.175476,0.0500488
0.0605,-0.165405,0.0552368
0.061,-0.231018,0.0546265
0.0615,-0.28595,0.0494385
0.062,-0.296936,0.0421143
0.0625,-0.291443,0.0384521
0.063,-0.236511,0.0323486
0.0635,-0.168457,0.0292969
0.064,-0.120239,0.0244141
0.0645,-0.107727,0.00946045
0.065,-0.0964355,0.0012207
0.0655,-0.038147,0.00640869
0.066,0.0967407,0.0128174
0.0665,0.129089,0.0180054
0.067,0.107422,0.0195313
0.0675,0.13092,0.0195313
0.068,0.0717163,0.0204468
0.0685,0.0744629,0.0250244
0.069,0.0427246,0.0283813
0.0695,-0.0238037,0.0292969
0.07,-0.0143433,0.0247192
0.07050000000000001,0.0509644,0.0280762
0.07100000000000001,0.0231934,0.0341797
0.07150000000000001,-0.00305176,0.0384521
0.07200000000000001,-0.0100708,0.0387573
0.0725,-0.0158691,0.0308228
0.073,-0.0558472,0.0292969
0.0735,-0.148621,0.0363159
0.074,-0.218506,0.0454712
0.0745,-0.328674,0.0512695
0.075,-0.464172,0.0518799
0.0755,-0.561523,0.0491333
0.076,-0.548401,0.0460815
0.0765,-0.492859,0.0366211
0.077,-0.386047,0.0247192
0.0775,-0.178528,0.0109863
0.078,-0.0271606,0.00579834
