Time (s),Tricep,Shoulder
0.0,-0.162048,0.422363
0.0005,-0.0982666,0.501099
0.001,0.0366211,0.474243
0.0015,0.266113,0.283508
0.002,0.465698,0.0973511
0.0025,0.46814,0.00976563
0.003,0.257568,-0.0180054
0.0035,0.0634766,-0.017395
0.004,0.012207,0.00335693
0.0045000000000000005,0.0234985,0.0234985
0.005,-0.0256348,0.0387573
0.0055,-0.116577,0.0418091
0.006,-0.170898,0.0271606
0.006500000000000001,-0.135803,0.0177002
0.007,-0.0460815,0.0228882
0.0075,-0.0363159,0.0302124
0.008,-0.0796509,0.0320435
0.0085,-0.106812,0.0109863
0.009000000000000001,-0.0793457,-0.0366211
0.0095,-0.0384521,-0.0674438
0.01,0.00213623,-0.0845337
0.0105,0.0363159,-0.0994873
0.011,0.0582886,-0.101624
0.0115,0.0732422,-0.0894165
0.012,0.0927734,-0.0753784
0.0125,0.045166,-0.0741577
0.013000000000000001,-0.0415039,-0.0631714
0.0135,-0.093689,-0.0466919
0.014,-0.143738,-0.0292969
0.0145,-0.202637,-0.0317383
0.015,-0.269165,-0.0436401
0.0155,-0.278015,-0.0366211
0.016,-0.283203,-0.0939941
0.0165,-0.273132,-0.262451
0.017,-0.222168,-0.387878
0.0175,-0.166016,-0.405273
0.018000000000000002,-0.0241089,-0.322266
0.0185,0.158081,-0.163879
0.019,0.255127,0.00488281
0.0195,0.125732,0.181274
0.02,0.0946045,0.314636
0.0205,0.0967407,0.384216
0.021,0.135498,0.324097
0.021500000000000002,0.268555,0.179138
0.022,0.413513,0.0405884
0.0225,0.499573,-0.0570679
0.023,0.640564,-0.153503
0.0235,0.785522,-0.0875854
0.024,0.635986,0.0653076
0.0245,0.30365,0.126038
0.025,0.0769043,0.154724
0.025500000000000002,-0.0442505,0.174255
0.026000000000000002,-0.131226,0.170288
0.0265,-0.151672,0.154419
0.027,-0.148926,0.146179
0.0275,-0.166016,0.13916
0.028,-0.184937,0.105286
0.0285,-0.178833,0.0662231
0.029,-0.159912,0.039978
0.029500000000000002,-0.125732,0.0216675
0.03,-0.098877,0.0115967
0.0305,-0.108032,-0.00488281
0.031,-0.131226,-0.0100708
0.0315,-0.0756836,-0.0125122
0.032,-0.0906372,-0.0448608
0.0325,-0.133972,-0.101318
0.033,-0.104065,-0.121155
0.0335,-0.072937,-0.124512
0.034,-0.0506592,-0.128479
0.0345,-0.0695801,-0.143127
0.035,-0.115967,-0.147705
0.035500000000000004,-0.147095,-0.126038
0.036000000000000004,-0.169373,-0.0857544
0.0365,-0.176697,-0.0463867
0.037,-0.156555,0.00640869
0.0375,-0.124207,0.0344849
0.038,-0.10437,0.0140381
0.0385,-0.0845337,-0.0265503
0.039,-0.0808716,-0.0445557
0.0395,-0.0408936,-0.0585938
0.04,-0.0119019,-0.0250244
0.0405,0.00610352,0.0445557
0.041,0.050354,0.128479
0.0415,0.0540161,0.139771
0.042,-0.000915527,0.116577
0.0425,-0.0244141,0.0860596
0.043000000000000003,0.00457764,0.0439453
0.043500000000000004,0.0326538,-0.00701904
0.044,0.0460815,-0.0418091
0.0445,-0.00762939,-0.0396729
0.045,-0.0942993,-0.00762939
0.0455,-0.0949097,0.00976563
0.046,-0.010376,-0.00976563
0.0465,0.19928,-0.0872803
0.047,0.323792,-0.230713
0.0475,0.304871,-0.384521
0.048,0.193481,-0.470581
0.0485,0.106812,-0.477905
0.049,0.0796509,-0.415955
0.0495,0.135803,-0.27832
0.05,0.180969,-0.105286
0.0505,0.14679,0.0460815
0.051000000000000004,0.0497437,0.109253
0.051500000000000004,-0.0811768,0.130615
0.052000000000000005,-0.136719,0.149231
0.0525,-0.126648,0.119019
0.053,-0.124207,0.0811768
0.0535,-0.171814,0.103455
0.054,-0.252991,0.150757
0.0545,-0.319214,0.182495
0.055,-0.324707,0.194397
0.0555,-0.287781,0.189819
0.056,-0.252686,0.15686
0.0565,-0.189514,0.0946045
0.057,-0.0915527,0.0164795
0.0575,0.0344849,-0.0149536
0.058,0.00854492,-0.00335693
0.0585,-0.0878906,0.0506592
0.059000000000000004,-0.144043,0.0976563
0.059500000000000004,-0.124817,0.117493
0.06,0.0375366,0.110779
0.0605,0.187988,0.0799561
0.061,0.247498,0.022583
0.0615,0.400085,-0.0665283
0.062,0.624084,-0.00183105
0.0625,0.682068,0.128479
0.063,0.606079,0.209045
0.0635,0.454102,0.224609
0.064,0.322571,0.211182
0.0645,0.28656,0.169067
0.065,0.205994,0.0982666
0.0655,0.039978,0.032959
0.066,-0.0613403,-0.0134277
0.0665,-0.0500488,-0.050354
0.067,-0.00213623,-0.0823975
0.0675,-0.0396729,-0.0958252
0.068,-0.0979614,-0.0946045
0.0685,-0.106812,-0.0866699
0.069,-0.0909424,-0.0918579
0.0695,-0.0485229,-0.144348
0.07,-0.0817871,-0.231323
0.07050000000000001,-0.137634,-0.285339
0.07100000000000001,-0.166016,-0.263367
0.07150000000000001,-0.185547,-0.193787
0.07200000000000001,-0.190735,-0.114136
0.0725,-0.183411,-0.0140381
0.073,-0.177612,0.108643
0.0735,-0.170898,0.197449
0.074,-0.154114,0.232239
0.0745,-0.13092,0.179749
0.075,-0.101624,0.0692749
0.0755,-0.0808716,-0.0112915
0.076,-0.0900269,-0.0744629
0.0765,-0.071106,-0.100098
0.077,-0.0393677,-0.0769043
0.0775,-0.0393677,-0.0195313
0.078,-0.0228882,0.0558472
0.0785,0.00610352,0.107422
0.079,-0.017395,0.104675
0.0795,-0.0881958,0.0881958
0.08,-0.129089,0.0878906
0.0805,-0.118713,0.102844
0.081,-0.101318,0.107422
0.0815,-0.0906372,0.100098
0.082,-0.0732422,0.108032
0.0825,-0.0714111,0.0848389
0.083,-0.03479,0.0439453
0.0835,0.0744629,0.0106812
0.084,0.172424,-0.0357056
0.0845,0.135193,-0.0875854
0.085,0.0482178,-0.102234
0.0855,-0.0253296,-0.100098
0.08600000000000001,-0.0421143,-0.112
0.08650000000000001,0.0134277,-0.0762939
0.08700000000000001,0.000305176,-0.0686646
0.08750000000000001,-0.0881958,-0.0341797
0.088,-0.125732,-0.0842285
0.0885,-0.107117,-0.198975
0.089,-0.0805664,-0.298767
0.0895,-0.0747681,-0.320435
0.09,-0.000305176,-0.247498
0.0905,0.193176,-0.170593
0.091,0.282593,-0.0515747
0.0915,0.240784,0.108032
0.092,0.242004,0.163879
0.0925,0.333557,0.177307
0.093,0.423889,0.189819
0.0935,0.379639,0.203247
0.094,0.270081,0.170288
0.0945,0.276489,0.188293
0.095,0.246582,0.206909
0.0955,0.105896,0.19928
0.096,-0.0180054,0.190125
0.0965,-0.0897217,0.18158
0.097,-0.122986,0.167542
0.0975,-0.134583,0.140381
0.098,-0.13031,0.0976563
0.0985,-0.132446,0.0494385
0.099,-0.160828,0.00823975
0.0995,-0.179443,-0.0320435
0.1,-0.171509,-0.0680542
0.1005,-0.171509,-0.110168
0.101,-0.211182,-0.160828
0.1015,-0.378113,-0.236206
0.10200000000000001,-0.625916,-0.331421
0.10250000000000001,-0.748901,-0.39856
0.10300000000000001,-0.663147,-0.395813
0.10350000000000001,-0.559082,-0.361633
0.10400000000000001,-0.479126,-0.3125
0.1045,-0.351257,-0.221558
0.105,0.0585938,-0.0863647
0.1055,0.343018,0.0778198
0.106,0.35675,0.210571
0.1065,0.327759,0.267639
0.107,0.585632,0.252686
0.1075,0.793762,0.180664
0.108,0.670166,0.137939
0.1085,0.672607,0.0759888
0.109,0.768433,-0.00640869
0.1095,0.725403,-0.0946045
0.11,0.434875,-0.133667
0.1105,0.231018,-0.109863
0.111,0.0787354,-0.0695801
0.1115,-0.0588989,-0.0109863
0.112,-0.125427,0.0692749
0.1125,-0.133057,0.141602
0.113,-0.131531,0.1651
0.1135,-0.142212,0.109863
0.114,-0.159912,0.0869751
