Time (s),Tricep,Shoulder
0.0,-9.0625,-0.0109863
0.0005,-9.0625,-0.0109863
0.001,-0.193787,0.285339
0.0015,-0.210266,0.280151
0.002,-0.153503,0.236816
0.0025,-0.010376,0.138245
0.003,0.266113,0.0204468
0.0035,0.201721,-0.0439453
0.004,-0.020752,-0.0524902
0.0045000000000000005,-0.133057,-0.0778198
0.005,-0.185242,-0.0973511
0.0055,-0.123901,-0.102844
0.006,0.208435,-0.0964355
0.006500000000000001,0.457153,-0.0991821
0.007,0.268555,-0.145874
0.0075,0.0650024,-0.186157
0.008,0.00152588,-0.169678
0.0085,-0.0106812,-0.153198
0.009000000000000001,-0.0527954,-0.134277
0.0095,-0.126038,-0.116272
0.01,-0.185547,-0.0915527
0.0105,-0.243835,-0.0836182
0.011,-0.255737,-0.0924683
0.0115,-0.194702,-0.0970459
0.012,-0.0466919,-0.0613403
0.0125,0.0723267,0.0125122
0.013000000000000001,0.145874,0.0491333
0.0135,0.117188,0.0952148
0.014,0.0131226,0.144348
0.0145,-0.100098,0.151367
0.015,-0.351257,0.157166
0.0155,-0.551758,0.131226
0.016,-0.589294,0.0689697
0.0165,-0.357971,-0.00183105
0.017,0.37323,-0.0201416
0.0175,0.933228,0.022583
0.018000000000000002,0.696106,0.0784302
0.0185,0.444336,0.0961304
0.019,0.351257,0.0759888
0.0195,0.325317,0.0915527
0.02,0.329895,0.109863
0.0205,0.3302,0.0814819
0.021,0.25238,0.109863
0.021500000000000002,0.135498,0.155029
0.022,-0.0357056,0.121155
0.0225,-0.178528,0.0628662
0.023,-0.338135,-0.0338745
0.0235,-0.539551,-0.130005
0.024,-0.508728,-0.173645
0.0245,-0.0393677,-0.168152
0.025,0.220947,-0.149841
0.025500000000000002,0.160217,-0.0900269
0.026000000000000002,0.0973511,0.015564
0.0265,0.0430298,0.123596
0.027,-0.0213623,0.209656
0.0275,-0.0927734,0.256958
0.028,-0.21637,0.249634
0.0285,-0.347595,0.185242
0.029,-0.391541,0.134888
0.029500000000000002,-0.339355,0.0750732
0.03,-0.105896,-0.00305176
0.0305,0.0738525,0.0415039
0.031,0.233154,0.062561
0.0315,0.333862,0.0119019
0.032,0.350037,-0.00335693
0.0325,0.311584,-0.027771
0.033,0.253906,-0.0125122
0.0335,0.142517,-0.043335
0.034,-0.0393677,-0.126648
0.0345,-0.207825,-0.201111
0.035,-0.198364,-0.264893
0.035500000000000004,-0.264282,-0.264282
0.036000000000000004,-0.407104,-0.257874
0.0365,-0.500793,-0.281372
0.037,-0.42572,-0.283203
0.0375,-0.383606,-0.323181
0.038,-0.452271,-0.372009
0.0385,-0.464478,-0.442505
0.039,-0.432434,-0.475159
0.0395,-0.128479,-0.457764
0.04,0.337524,-0.288086
0.0405,0.614929,-0.0497437
0.041,0.645752,0.0991821
0.0415,0.676575,0.115662
0.042,0.882568,0.118103
0.0425,0.866394,0.117798
0.043000000000000003,0.524597,0.101929
0.043500000000000004,0.318298,0.112
0.044,0.219116,0.115967
0.0445,0.140991,0.0799561
0.045,-0.0927734,0.06073
0.0455,-0.276489,0.100708
0.046,-0.290222,0.143738
0.0465,-0.133667,0.181885
0.047,-0.0518799,0.162048
0.0475,-0.142212,0.0714111
0.048,-0.13916,0.0799561
0.0485,0.0326538,0.216064
0.049,0.242615,0.395508
0.0495,0.275879,0.53894
0.05,0.155945,0.562744
0.0505,0.038147,0.460815
0.051000000000000004,-0.0576782,0.329895
0.051500000000000004,-0.120544,0.220032
0.052000000000000005,-0.128479,0.13031
0.0525,-0.125732,0.0473022
0.053,-0.126343,-0.00518799
0.0535,-0.113831,-0.0494385
0.054,-0.112305,-0.0640869
0.0545,-0.115662,-0.0708008
0.055,-0.122375,-0.0949097
0.0555,-0.107422,-0.126038
0.056,-0.0869751,-0.0976563
0.0565,-0.0704956,-0.0442505
0.057,-0.0811768,0.00274658
0.0575,-0.104675,0.0134277
0.058,-0.0888062,-0.0115967
0.0585,-0.176697,-0.0369263
0.059000000000000004,-0.258789,-0.0619507
0.059500000000000004,-0.285645,-0.100708
0.06,-0.316467,-0.188599
0.0605,-0.323792,-0.276184
0.061,-0.332031,-0.2948
0.0615,-0.331421,-0.283508
0.062,-0.324707,-0.228577
0.0625,-0.328979,-0.165405
0.063,-0.193481,-0.115051
0.0635,0.402832,-0.110474
0.064,0.498047,-0.116577
0.0645,0.578613,-0.118103
0.065,0.83374,-0.0866699
0.0655,0.610352,-0.050354
0.066,0.19104,-0.0271606
0.0665,0.0164795,0.00274658
0.067,-0.00915527,0.0411987
0.0675,-0.0109863,0.0521851
0.068,-0.015564,0.0714111
0.0685,0.0198364,0.0793457
0.069,0.0671387,0.0656128
0.0695,0.0241089,0.0418091
0.07,-0.0146484,0.015564
0.07050000000000001,-0.0543213,0.0427246
0.07100000000000001,-0.0933838,0.135498
0.07150000000000001,-0.134583,0.247192
0.07200000000000001,-0.19989,0.272827
0.0725,-0.271606,0.27771
0.073,-0.342102,0.244751
0.0735,-0.34668,0.190125
0.074,-0.341187,0.106812
0.0745,-0.253906,-0.00305176
0.075,0.00518799,-0.0906372
0.0755,0.307617,-0.163574
0.076,0.409241,-0.221558
0.0765,0.346985,-0.210571
0.077,0.553284,-0.202942
0.0775,0.618286,-0.236816
0.078,0.237427,-0.254211
0.0785,-0.0393677,-0.224915
0.079,-0.0973511,-0.170898
0.0795,-0.0756836,-0.0964355
0.08,-0.0634766,-0.0323486
0.0805,-0.0991821,-0.0497437
0.081,-0.117188,-0.0646973
0.0815,-0.117188,-0.0119019
0.082,-0.065918,0.0479126
0.0825,-0.0354004,0.0906372
0.083,-0.104065,0.122681
0.0835,-0.184937,0.142212
0.084,-0.147095,0.161438
0.0845,-0.197449,0.163574
0.085,-0.270996,0.147705
0.0855,-0.350647,0.131226
0.08600000000000001,-0.376587,0.125732
0.08650000000000001,-0.0302124,0.191956
0.08700000000000001,0.251465,0.244141
0.08750000000000001,0.213318,0.24353
0.088,0.279236,0.229797
0.0885,0.544434,0.187378
0.089,0.780945,0.140686
0.0895,0.608826,0.125427
0.09,0.203552,0.0878906
0.0905,0.00213623,0.0259399
0.091,-0.0494385,-0.055542
0.0915,-0.0549316,-0.142212
0.092,-0.062561,-0.115967
0.0925,-0.0946045,-0.0491333
0.093,-0.109253,-0.00396729
0.0935,-0.138245,0.0088501
0.094,-0.143433,-0.020752
0.0945,-0.139465,-0.0479126
0.095,-0.108337,-0.0299072
0.0955,-0.127563,-0.000610352
0.096,-0.204773,-0.0146484
0.0965,-0.285339,-0.0274658
0.097,-0.280457,-0.090332
0.0975,-0.151062,-0.238342
0.098,-0.0698853,-0.370178
0.0985,-0.115051,-0.345459
0.099,-0.179138,-0.216675
0.0995,-0.169067,-0.116882
0.1,0.0088501,-0.0772095
0.1005,0.206909,-0.0546265
0.101,0.521545,0.012207
0.1015,0.476685,0.0964355
0.10200000000000001,0.313721,0.0653076
0.10250000000000001,0.220337,0.0485229
0.10300000000000001,0.0439453,0.03479
0.10350000000000001,-0.0393677,0.0241089
0.10400000000000001,-0.0567627,0.0769043
0.1045,-0.132141,0.0482178
0.105,-0.131836,0.000305176
0.1055,-0.145264,0.00762939
0.106,-0.188904,-0.0271606
0.1065,-0.231018,-0.105591
0.107,-0.256042,-0.187073
0.1075,-0.25238,-0.274353
0.108,-0.21698,-0.336304
0.1085,-0.246887,-0.379639
0.109,-0.310669,-0.402222
0.1095,-0.154724,-0.357971
0.11,-0.0442505,-0.257874
0.1105,0.093689,-0.146484
0.111,0.284119,-0.010376
0.1115,0.0897217,0.102539
0.112,-0.198059,0.151978
0.1125,0.0634766,0.180664
0.113,0.512695,0.21637
0.1135,0.66925,0.258484
0.114,0.312195,0.338745
0.1145,-0.0723267,0.387573
0.115,-0.214539,0.382385
0.1155,-0.022583,0.3125
0.116,0.436401,0.321045
0.1165,0.557861,0.325928
0.117,0.164795,0.321655
0.11750000000000001,-0.122375,0.267944
0.11800000000000001,-0.21698,0.125732
0.11850000000000001,-0.223083,-0.0231934
0.11900000000000001,-0.21759,-0.178833
0.11950000000000001,-0.175171,-0.254822
0.12,0.0460815,-0.22644
0.1205,0.354004,-0.196533
0.121,0.480042,-0.218506
0.1215,0.4245,-0.199585
0.122,0.257874,-0.132141
0.1225,0.0616455,0.0387573
0.123,-0.0424194,0.203552
0.1235,-0.0848389,0.20813
0.124,-0.10376,0.0848389
0.1245,-0.102844,0.0387573
0.125,-0.12207,0.0958252
0.1255,-0.168457,0.194702
0.126,-0.223083,0.226135
0.1265,-0.305176,0.163269
0.127,-0.204468,0.0268555
0.1275,-0.0646973,-0.0769043
0.128,-0.0793457,-0.124512
0.1285,-0.127563,-0.108337
0.129,-0.154114,-0.039978
0.1295,-0.133057,0.022583
0.13,-0.0256348,0.0387573
0.1305,0.110474,0.043335
0.131,0.0985718,0.00579834
0.1315,0.0747681,-0.0302124
0.132,0.0787354,-0.0393677
0.1325,0.0595093,-0.0216675
0.133,0.0308228,-0.0167847
0.1335,0.00518799,-0.0189209
0.134,-0.0564575,-0.032959
0.1345,-0.12146,-0.072937
0.135,-0.138245,-0.107422
0.1355,-0.154724,-0.127869
0.136,-0.212402,-0.10498
0.1365,-0.300293,-0.0244141
0.137,-0.357666,0.0366211
0.1375,-0.211792,0.0326538
0.138,-0.0415039,0.0131226
0.1385,-0.0592041,-0.00488281
0.139,-0.120544,-0.0305176
0.1395,-0.00274658,-0.0308228
0.14,0.0854492,-0.012207
0.1405,0.180969,-0.0195313
0.14100000000000001,0.162354,-0.0344849
0.14150000000000001,0.022583,-0.0805664
0.14200000000000002,-0.186462,-0.110168
0.14250000000000002,-0.21759,-0.121765
0.14300000000000002,-0.0488281,-0.125122
0.14350000000000002,0.390015,-0.128479
0.14400000000000002,0.770874,-0.126343
0.1445,0.593567,-0.101013
0.145,0.318604,-0.0933838
0.1455,0.123596,-0.0823975
0.146,0.0323486,-0.0469971
0.1465,-0.00457764,-0.0170898
0.147,-0.0564575,0.0244141
0.1475,-0.098877,0.0598145
0.148,-0.120239,0.118408
0.1485,-0.144958,0.183105
0.149,-0.0158691,0.188599
0.1495,-0.0119019,0.10376
0.15,-0.0863647,0.0289917
0.1505,-0.12085,0.00946045
0.151,-0.152283,0.0292969
0.1515,-0.192566,0.0286865
0.152,-0.118408,0.0662231
0.1525,-0.0366211,0.109253
0.153,-0.130005,0.106201
0.1535,-0.118713,0.103149
0.154,0.185547,0.116577
0.1545,0.38147,0.158386
0.155,0.0689697,0.19928
0.1555,-0.234375,0.218506
0.156,-0.386047,0.224304
0.1565,-0.450134,0.196533
0.157,0.0500488,0.162659
0.1575,0.757141,0.123901
0.158,0.856323,0.0732422
0.1585,0.733032,0.00579834
0.159,0.396729,-0.0817871
0.1595,0.0759888,-0.157471
0.16,-0.0418091,-0.225525
0.1605,-0.0949097,-0.357666
0.161,-0.0973511,-0.444031
0.1615,-0.0750732,-0.423279
0.162,-0.0906372,-0.377808
0.1625,-0.114441,-0.32135
0.163,-0.118103,-0.309143
0.1635,-0.103149,-0.270081
0.164,-0.0912476,-0.195923
0.1645,-0.10437,-0.137024
0.165,-0.09552,-0.0769043
0.1655,-0.0747681,0.0268555
0.166,-0.0720215,0.0595093
0.1665,-0.0643921,0.0546265
0.167,-0.0384521,0.00427246
0.1675,-0.0561523,-0.0735474
0.168,-0.1297,-0.118103
0.1685,-0.146179,-0.101929
0.169,-0.154419,-0.043335
0.1695,-0.299072,0.0247192
0.17,-0.350037,0.0643921
0.1705,-0.359192,0.0784302
0.171,-0.370789,0.0939941
0.1715,-0.40863,0.137939
0.17200000000000001,-0.401001,0.167847
0.17250000000000001,-0.240479,0.168457
0.17300000000000001,-0.0683594,0.170593
0.17350000000000002,0.100708,0.18158
0.17400000000000002,0.332336,0.223389
0.17450000000000002,0.201111,0.293274
0.17500000000000002,0.145874,0.357666
0.17550000000000002,0.529785,0.375977
0.176,0.668335,0.377197
0.1765,0.28656,0.361023
0.177,0.137329,0.300903
0.1775,0.222473,0.202332
0.178,0.288696,0.112305
