Time (s),Tricep,Shoulder
0.0,-9.0625,-0.0109863
0.0005,-9.0625,-0.0109863
0.001,-0.21698,-0.0167847
0.0015,-0.170288,-0.0216675
0.002,-0.110168,-0.0183105
0.0025,-0.00579834,-0.00976563
0.003,0.0869751,-0.00427246
0.0035,0.109558,-0.00274658
0.004,0.158386,-0.00671387
0.0045000000000000005,0.222778,-0.0131226
0.005,0.212708,-0.0119019
0.0055,0.205383,-0.0088501
0.006,0.164795,-0.00427246
0.006500000000000001,0.169067,0.00610352
0.007,0.209961,0.015564
0.0075,0.160217,0.0250244
0.008,0.0616455,0.0369263
0.0085,-0.00915527,0.0427246
0.009000000000000001,-0.0415039,0.0476074
0.0095,-0.0543213,0.0497437
0.01,-0.055542,0.0497437
0.0105,-0.0491333,0.0494385
0.011,-0.0421143,0.0527954
0.0115,-0.0408936,0.0543213
0.012,-0.0424194,0.0524902
0.0125,-0.0460815,0.0534058
0.013000000000000001,-0.0640869,0.0549316
0.0135,-0.0802612,0.0497437
0.014,-0.0827026,0.0421143
0.0145,-0.0802612,0.0378418
0.015,-0.0805664,0.0357056
0.0155,-0.0741577,0.0314331
0.016,-0.0637817,0.0228882
0.0165,-0.0558472,0.0131226
0.017,-0.0317383,0.00274658
0.0175,-0.0378418,-0.00183105
0.018000000000000002,-0.0888062,-0.00305176
0.0185,-0.0906372,-0.0112915
0.019,-0.0411987,-0.0186157
0.0195,-0.121155,-0.0216675
0.02,-0.24292,-0.0198364
0.0205,-0.340881,-0.0216675
0.021,-0.413208,-0.0256348
0.021500000000000002,-0.435791,-0.0247192
0.022,-0.377502,-0.0195313
0.0225,-0.269165,-0.0170898
0.023,-0.153198,-0.0231934
0.0235,0.020752,-0.0280762
0.024,0.072937,-0.0280762
0.0245,0.100708,-0.0280762
0.025,0.151672,-0.0320435
0.025500000000000002,0.232239,-0.0369263
0.026000000000000002,0.348206,-0.0448608
0.0265,0.497131,-0.050354
0.027,0.613708,-0.0494385
0.0275,0.551758,-0.0402832
0.028,0.320129,-0.0238037
0.0285,0.191345,-0.012207
0.029,0.180664,0.00183105
0.029500000000000002,0.197144,-0.00183105
0.03,0.168457,-0.000610352
0.0305,0.125732,-0.00823975
0.031,0.0976563,-0.0164795
0.0315,0.078125,-0.0231934
0.032,0.0463867,-0.0253296
0.0325,-0.00488281,-0.022583
0.033,-0.0579834,-0.0128174
0.0335,-0.0811768,-0.0115967
0.034,-0.124207,-0.00701904
0.0345,-0.155945,-0.00549316
0.035,-0.175171,-0.00823975
0.035500000000000004,-0.181274,-0.00579834
0.036000000000000004,-0.160522,-0.00610352
0.0365,-0.0823975,-0.00305176
0.037,0.0958252,-0.0012207
0.0375,0.249329,0.00244141
0.038,0.2005,0.00701904
0.0385,0.0726318,0.0100708
0.039,-0.0460815,0.0131226
0.0395,-0.119629,0.0131226
0.04,-0.131836,0.0125122
0.0405,-0.143738,0.0164795
0.041,-0.198975,0.0216675
0.0415,-0.255737,0.0219727
0.042,-0.269165,0.0213623
0.0425,-0.254822,0.0198364
0.043000000000000003,-0.198059,0.0186157
0.043500000000000004,-0.13916,0.0189209
0.044,-0.0994873,0.017395
0.0445,-0.0604248,0.015564
0.045,-0.0228882,0.0119019
0.0455,-0.0332642,0.00518799
0.046,-0.0488281,0.00152588
0.0465,-0.0286865,0.00244141
0.047,0.11261,0.00732422
0.0475,0.275879,0.012207
0.048,0.28595,0.0112915
0.0485,0.177917,0.00762939
0.049,0.057373,0.00183105
0.0495,-0.0296021,-0.00305176
0.05,-0.0375366,-0.00366211
0.0505,-0.0396729,-0.000915527
0.051000000000000004,-0.0531006,0.00213623
0.051500000000000004,-0.0537109,0.00183105
0.052000000000000005,-0.0405884,0.00213623
0.0525,0.0,0.000915527
0.053,0.020752,-0.000610352
0.0535,0.0161743,-0.0012207
0.054,0.00579834,-0.000915527
0.0545,0.0262451,-0.00152588
0.055,0.0131226,-0.00518799
0.0555,0.0238037,-0.00732422
0.056,0.0582886,-0.012207
0.0565,0.071106,-0.0134277
0.057,0.0476074,-0.0143433
0.0575,0.0350952,-0.0119019
0.058,0.0222778,-0.00854492
0.0585,0.0140381,-0.00671387
0.059000000000000004,0.00732422,-0.00366211
0.059500000000000004,0.00762939,-0.0012207
0.06,0.00518799,0.000305176
0.0605,-0.000610352,-0.000305176
0.061,-0.00579834,0.000915527
0.0615,-0.00915527,0.00457764
0.062,-0.00671387,0.00732422
0.0625,-0.00488281,0.00976563
0.063,-0.00579834,0.0112915
0.0635,-0.00305176,0.0100708
0.064,-0.0106812,0.00915527
0.0645,-0.039978,0.00946045
0.065,-0.0570679,0.0115967
0.0655,-0.0747681,0.0100708
0.066,-0.0888062,0.00762939
0.0665,-0.100403,0.00793457
0.067,-0.124512,0.00640869
0.0675,-0.126953,0.00427246
0.068,-0.121155,0.0012207
0.0685,-0.114746,-0.00213623
0.069,-0.115662,-0.00183105
0.0695,-0.0906372,0.0
0.07,-0.057373,0.00793457
0.07050000000000001,0.0186157,0.0161743
0.07100000000000001,0.0698853,0.0195313
0.07150000000000001,0.00244141,0.0189209
0.07200000000000001,-0.110168,0.0189209
0.0725,-0.184937,0.0161743
0.073,-0.205078,0.015564
0.0735,-0.176392,0.0128174
0.074,-0.132751,0.00854492
0.0745,-0.0970459,0.000915527
0.075,-0.0741577,-0.0106812
0.0755,-0.0408936,-0.017395
0.076,0.0772095,-0.0204468
0.0765,0.266113,-0.0204468
0.077,0.198669,-0.017395
0.0775,0.0686646,-0.0115967
0.078,-0.0241089,-0.00823975
0.0785,-0.162354,-0.010376
0.079,-0.212402,-0.015564
0.0795,-0.0927734,-0.0158691
0.08,0.0778198,-0.017395
0.0805,0.0942993,-0.0265503
0.081,0.00152588,-0.0317383
0.0815,0.0738525,-0.0354004
0.082,0.303345,-0.0396729
0.0825,0.605164,-0.0448608
0.083,0.68512,-0.0531006
0.0835,0.608521,-0.0567627
0.084,0.381775,-0.0537109
0.0845,0.125122,-0.0512695
0.085,0.0366211,-0.0515747
0.0855,-0.11322,-0.0402832
0.08600000000000001,-0.261841,-0.0262451
0.08650000000000001,-0.166931,-0.0149536
0.08700000000000001,0.166931,-0.00488281
0.08750000000000001,0.280762,0.00640869
0.088,0.223389,0.0134277
0.0885,0.187683,0.0201416
0.089,0.125122,0.0238037
0.0895,0.0201416,0.0262451
0.09,-0.00701904,0.0308228
0.0905,0.0872803,0.0341797
0.091,0.26062,0.0366211
0.0915,0.336304,0.039978
0.092,0.187683,0.03479
0.0925,0.0396729,0.0244141
0.093,-0.0778198,0.0183105
0.0935,-0.284119,0.0186157
0.094,-0.4953,0.0228882
0.0945,-0.591431,0.0234985
0.095,-0.481567,0.0234985
0.0955,-0.202332,0.027771
0.096,0.0234985,0.0268555
0.0965,0.142517,0.0247192
0.097,0.12146,0.0274658
0.0975,0.0933838,0.027771
0.098,0.0769043,0.0180054
0.0985,0.0234985,0.00976563
0.099,-0.150146,0.000915527
0.0995,-0.207214,-0.00518799
0.1,-0.17395,-0.0115967
0.1005,-0.113525,-0.0164795
0.101,-0.039978,-0.0152588
0.1015,0.10376,-0.0189209
0.10200000000000001,0.212402,-0.0192261
0.10250000000000001,0.205688,-0.020752
0.10300000000000001,0.0704956,-0.0253296
0.10350000000000001,-0.0445557,-0.0308228
0.10400000000000001,-0.0848389,-0.0326538
0.1045,-0.115356,-0.0280762
0.105,-0.140381,-0.0268555
0.1055,-0.136414,-0.0259399
0.106,-0.136108,-0.0234985
0.1065,-0.135498,-0.0177002
0.107,-0.0674438,-0.0140381
0.1075,0.0637817,-0.010376
0.108,0.12085,-0.00793457
0.1085,0.114746,-0.00335693
0.109,0.0582886,0.0012207
0.1095,-0.0106812,0.00427246
0.11,-0.0634766,0.00549316
0.1105,-0.0823975,0.00488281
0.111,-0.0912476,0.00640869
0.1115,-0.101929,0.00671387
0.112,-0.098877,0.00762939
0.1125,-0.100708,0.00915527
0.113,-0.0982666,0.0100708
0.1135,-0.109863,0.0152588
0.114,-0.111389,0.0210571
0.1145,-0.0860596,0.0244141
0.115,-0.0680542,0.020752
0.1155,-0.0805664,0.0137329
0.116,-0.0378418,0.00762939
0.1165,0.0558472,0.00305176
0.117,0.114746,-0.000610352
0.11750000000000001,0.125122,-0.00335693
0.11800000000000001,0.134888,-0.00396729
0.11850000000000001,0.119934,-0.00549316
0.11900000000000001,0.0930786,-0.00457764
0.11950000000000001,0.0808716,-0.00213623
0.12,0.0811768,-0.0012207
0.1205,0.071106,-0.00152588
0.121,0.0497437,-0.00396729
0.1215,0.0265503,-0.00152588
0.122,0.0143433,0.00274658
0.1225,0.0137329,0.00793457
0.123,0.0134277,0.012207
0.1235,0.00854492,0.0146484
0.124,0.00946045,0.0161743
0.1245,0.0088501,0.015564
0.125,0.00488281,0.015564
0.1255,-0.00305176,0.0149536
0.126,-0.00762939,0.015564
0.1265,-0.00823975,0.0189209
0.127,-0.0088501,0.020752
0.1275,-0.0109863,0.0216675
0.128,-0.0143433,0.0244141
0.1285,-0.0170898,0.0238037
0.129,-0.0204468,0.0213623
0.1295,-0.0250244,0.0216675
0.13,-0.0283813,0.020752
0.1305,-0.0280762,0.0186157
0.131,-0.0253296,0.0149536
0.1315,-0.0271606,0.0125122
0.132,-0.0302124,0.0158691
0.1325,-0.0314331,0.0112915
0.133,-0.0323486,0.00732422
0.1335,-0.0317383,0.00549316
0.134,-0.0350952,-0.00213623
0.1345,-0.0369263,-0.00244141
0.135,-0.0360107,-0.00457764
0.1355,-0.0366211,-0.00305176
0.136,-0.0405884,-0.00976563
0.1365,-0.055542,-0.0088501
0.137,-0.0979614,-0.0128174
0.1375,-0.111694,-0.0170898
0.138,-0.109863,-0.0186157
0.1385,-0.0982666,-0.0241089
0.139,-0.0656128,-0.0299072
0.1395,-0.0289917,-0.0323486
0.14,-0.0128174,-0.0375366
0.1405,-0.0268555,-0.0354004
0.14100000000000001,-0.0485229,-0.0332642
0.14150000000000001,-0.0396729,-0.0372314
0.14200000000000002,0.0308228,-0.039978
0.14250000000000002,0.310974,-0.0369263
0.14300000000000002,0.426331,-0.0305176
0.14350000000000002,0.297546,-0.0241089
0.14400000000000002,0.148926,-0.0244141
0.1445,0.0674438,-0.020752
0.145,0.0268555,-0.0189209
0.1455,0.0143433,-0.0170898
0.146,0.0158691,-0.0152588
0.1465,0.0131226,-0.0164795
0.147,0.0106812,-0.0152588
0.1475,0.0131226,-0.0125122
0.148,0.0152588,-0.00732422
0.1485,0.0115967,0.00274658
0.149,0.00396729,0.0125122
0.1495,-0.000305176,0.0219727
0.15,-0.00610352,0.0314331
0.1505,-0.0088501,0.0369263
0.151,-0.0115967,0.0415039
0.1515,-0.0244141,0.0448608
0.152,-0.0524902,0.0479126
0.1525,-0.0637817,0.0488281
0.153,-0.0720215,0.0488281
0.1535,-0.0750732,0.0442505
0.154,-0.0714111,0.0390625
0.1545,-0.0723267,0.0387573
0.155,-0.0793457,0.0372314
0.1555,-0.131836,0.0372314
0.156,-0.155334,0.0344849
0.1565,-0.163269,0.0323486
0.157,-0.161133,0.0271606
0.1575,-0.195923,0.0234985
0.158,-0.224915,0.0210571
0.1585,-0.21759,0.0158691
0.159,-0.201721,0.015564
0.1595,-0.205688,0.0143433
0.16,-0.157166,0.00946045
0.1605,-0.0732422,0.000610352
0.161,0.195618,-0.0109863
0.1615,0.381775,-0.0280762
0.162,0.243835,-0.0445557
0.1625,-0.0302124,-0.062561
0.163,-0.14801,-0.0762939
0.1635,0.0650024,-0.0802612
0.164,0.291443,-0.0802612
0.1645,0.235596,-0.0741577
0.165,0.0753784,-0.0643921
0.1655,0.0360107,-0.0595093
0.166,0.0421143,-0.0552368
0.1665,0.123596,-0.0421143
0.167,0.339355,-0.0302124
0.1675,0.625305,-0.015564
0.168,0.825195,-0.00701904
0.1685,0.750427,-0.00610352
0.169,0.463867,-0.00366211
0.1695,0.184631,0.00396729
0.17,0.00701904,0.0100708
0.1705,-0.0854492,0.0134277
0.171,-0.147095,0.0158691
0.1715,-0.177002,0.017395
