Time (s),Tricep,Shoulder
0.0,-9.0625,-0.0109863
0.0005,-9.0625,-0.0109863
0.001,-0.184631,0.0534058
0.0015,-0.0970459,0.0161743
0.002,0.0509644,-0.012207
0.0025,0.291138,-0.0106812
0.003,0.361938,0.00701904
0.0035,0.131226,0.0167847
0.004,-0.0961304,0.0259399
0.0045000000000000005,-0.189819,0.0247192
0.005,-0.110779,0.0125122
0.0055,0.0387573,-0.0012207
0.006,0.0482178,-0.00549316
0.006500000000000001,0.0369263,-0.00762939
0.007,0.0866699,-0.0125122
0.0075,0.125732,-0.0161743
0.008,0.122681,-0.0186157
0.0085,0.136719,-0.0228882
0.009000000000000001,0.158997,-0.0222778
0.0095,0.245972,-0.00762939
0.01,0.205688,0.0100708
0.0105,0.0888062,0.0180054
0.011,-0.0125122,0.0265503
0.0115,-0.0485229,0.0326538
0.012,-0.0549316,0.0305176
0.0125,-0.0720215,0.0326538
0.013000000000000001,-0.0595093,0.0344849
0.0135,-0.0137329,0.0317383
0.014,0.0558472,0.027771
0.0145,0.190735,0.0210571
0.015,0.189209,0.0164795
0.0155,0.0442505,0.0177002
0.016,-0.022583,0.0152588
0.0165,-0.0302124,0.00793457
0.017,-0.0689697,0.00518799
0.0175,-0.129089,0.00213623
0.018000000000000002,-0.142212,0.000610352
0.0185,-0.105591,0.000305176
0.019,-0.0701904,-0.00152588
0.0195,-0.0106812,-0.00457764
0.02,-0.0256348,-0.00762939
0.0205,-0.0735474,-0.00549316
0.021,-0.0683594,-0.000610352
0.021500000000000002,0.0317383,-0.00183105
0.022,0.0231934,-0.00518799
0.0225,-0.0302124,-0.00976563
0.023,-0.0457764,-0.00854492
0.0235,-0.0598145,-0.00671387
0.024,-0.0756836,-0.00335693
0.0245,-0.0708008,0.0
0.025,-0.0656128,0.00274658
0.025500000000000002,-0.0967407,0.0088501
0.026000000000000002,-0.133362,0.0137329
0.0265,-0.12146,0.00640869
0.027,-0.0631714,-0.00427246
0.0275,-0.0363159,-0.00946045
0.028,-0.0588989,-0.0134277
0.0285,-0.101013,-0.015564
0.029,-0.211487,-0.0140381
0.029500000000000002,-0.27771,-0.0115967
0.03,-0.0863647,-0.0106812
0.0305,0.185852,-0.0143433
0.031,0.164795,-0.0268555
0.0315,0.012207,-0.0338745
0.032,-0.0308228,-0.0344849
0.0325,-0.0210571,-0.0384521
0.033,0.0186157,-0.0384521
0.0335,0.0994873,-0.0372314
0.034,0.161438,-0.0357056
0.0345,0.1297,-0.0332642
0.035,0.229492,-0.0250244
0.035500000000000004,0.449219,-0.0180054
0.036000000000000004,0.284424,-0.017395
0.0365,0.0219727,-0.0137329
0.037,-0.090332,-0.00793457
0.0375,-0.157471,-0.00244141
0.038,-0.178833,-0.00244141
0.0385,0.027771,-0.000305176
0.039,0.288391,-0.00274658
0.0395,0.267334,-0.00518799
0.04,0.132141,-0.00488281
0.0405,0.0521851,0.00274658
0.041,-0.00915527,0.00946045
0.0415,-0.0588989,0.00946045
0.042,-0.0756836,0.0115967
0.0425,-0.0662231,0.0161743
0.043000000000000003,-0.0521851,0.0198364
0.043500000000000004,-0.0469971,0.0231934
0.044,-0.0384521,0.0244141
0.0445,0.00579834,0.0231934
0.045,0.113525,0.0253296
0.0455,0.0436401,0.0271606
0.046,-0.0570679,0.0271606
0.0465,-0.093689,0.0259399
0.047,-0.0912476,0.0256348
0.0475,-0.0778198,0.0228882
0.048,-0.0640869,0.0195313
0.0485,-0.0567627,0.0167847
0.049,-0.0598145,0.0140381
0.0495,-0.0561523,0.0100708
0.05,0.0189209,0.00640869
0.0505,0.0857544,0.00732422
0.051000000000000004,0.00427246,0.00793457
0.051500000000000004,-0.11261,0.00640869
0.052000000000000005,-0.159607,0.00366211
0.0525,-0.154114,0.00366211
0.053,-0.112305,0.00671387
0.0535,-0.0704956,0.00366211
0.054,-0.0195313,-0.00640869
0.0545,0.0500488,-0.0146484
0.055,0.0866699,-0.0189209
0.0555,0.088501,-0.0189209
0.056,0.18158,-0.0180054
0.0565,0.193481,-0.0198364
0.057,0.0775146,-0.0177002
0.0575,0.00518799,-0.0152588
0.058,-0.0180054,-0.012207
0.0585,-0.0302124,-0.00946045
0.059000000000000004,-0.0445557,-0.0106812
0.059500000000000004,-0.0497437,-0.0125122
0.06,-0.0515747,-0.0100708
0.0605,-0.0479126,-0.00701904
0.061,-0.0418091,-0.00701904
0.0615,-0.0305176,-0.00823975
0.062,-0.0137329,-0.00762939
0.0625,0.00854492,-0.00640869
0.063,0.0894165,-0.00701904
0.0635,0.137939,-0.0106812
0.064,0.0839233,-0.0170898
0.0645,0.0152588,-0.0192261
0.065,-0.0112915,-0.0195313
0.0655,-0.0164795,-0.0201416
0.066,-0.0180054,-0.0183105
0.0665,-0.015564,-0.0149536
0.067,-0.0152588,-0.0100708
0.0675,-0.0192261,-0.00610352
0.068,-0.0213623,-0.00335693
0.0685,-0.022583,0.00396729
0.069,-0.0219727,0.00701904
0.0695,-0.0222778,0.012207
0.07,-0.020752,0.0210571
0.07050000000000001,-0.0189209,0.0411987
0.07100000000000001,-0.0177002,0.0579834
0.07150000000000001,-0.015564,0.0646973
0.07200000000000001,-0.0219727,0.0750732
0.0725,-0.0592041,0.085144
0.073,-0.0790405,0.09552
0.0735,-0.0784302,0.100403
0.074,-0.0787354,0.110779
0.0745,-0.0653076,0.122375
0.075,-0.0717163,0.119324
0.0755,-0.0909424,0.0769043
0.076,-0.109558,0.0265503
0.0765,-0.0775146,-0.00671387
0.077,0.19989,-0.0439453
0.0775,0.288391,-0.0857544
0.078,0.0726318,-0.116272
0.0785,-0.065918,-0.140381
0.079,-0.0784302,-0.162354
0.0795,-0.0827026,-0.180969
0.08,-0.0238037,-0.177002
0.0805,0.0692749,-0.14679
0.081,0.121765,-0.108948
0.0815,0.0579834,-0.078125
0.082,-0.0137329,-0.0616455
0.0825,-0.00366211,-0.0616455
0.083,0.0125122,-0.0674438
0.0835,0.027771,-0.0836182
0.084,-0.0115967,-0.093689
0.0845,-0.0631714,-0.0949097
0.085,-0.0717163,-0.0918579
0.0855,-0.0543213,-0.0811768
0.08600000000000001,0.00274658,-0.0598145
0.08650000000000001,0.0479126,-0.0311279
0.08700000000000001,0.151978,-0.00427246
0.08750000000000001,0.180664,0.0274658
0.088,0.1651,0.0549316
0.0885,0.131531,0.0747681
0.089,0.0585938,0.0881958
0.0895,-0.015564,0.101013
0.09,-0.0216675,0.11261
0.0905,-0.045166,0.12085
0.091,-0.0564575,0.121765
0.0915,-0.0494385,0.115356
0.092,-0.00732422,0.111084
0.0925,0.0485229,0.0997925
0.093,0.0439453,0.0952148
0.0935,-0.0650024,0.088501
0.094,-0.0201416,0.0717163
0.0945,0.129089,0.0408936
0.095,0.0970459,0.00976563
0.0955,0.0372314,-0.0119019
0.096,0.0241089,-0.0238037
0.0965,0.00854492,-0.0378418
0.097,-0.0567627,-0.0482178
0.0975,-0.104065,-0.0485229
0.098,-0.137024,-0.032959
0.0985,-0.142822,-0.0112915
0.099,-0.106812,0.0161743
0.0995,-0.0473022,0.0363159
0.1,-0.0253296,0.0540161
0.1005,0.032959,0.0546265
0.101,0.0814819,0.0439453
0.1015,0.0271606,0.0332642
0.10200000000000001,-0.0466919,0.0259399
0.10250000000000001,-0.039978,0.0167847
0.10300000000000001,-0.062561,0.0128174
0.10350000000000001,-0.071106,0.00976563
0.10400000000000001,0.00488281,0.00762939
0.1045,0.125732,0.00793457
0.105,0.147095,0.0119019
0.1055,0.0189209,0.015564
0.106,-0.0442505,0.0146484
0.1065,-0.0750732,0.00762939
0.107,-0.0753784,0.00213623
0.1075,-0.0558472,-0.000915527
0.108,-0.0482178,-0.00640869
0.1085,-0.0796509,-0.00854492
0.109,-0.0723267,-0.0125122
0.1095,-0.0186157,-0.0216675
0.11,-0.0552368,-0.0338745
0.1105,-0.067749,-0.0476074
0.111,0.0735474,-0.0497437
0.1115,0.212402,-0.0424194
0.112,0.147095,-0.0350952
0.1125,0.0137329,-0.0338745
0.113,-0.0317383,-0.0299072
0.1135,-0.0259399,-0.0265503
0.114,-0.0289917,-0.0256348
0.1145,-0.0646973,-0.0253296
0.115,-0.0985718,-0.0247192
0.1155,-0.115051,-0.0241089
0.116,-0.137024,-0.0213623
0.1165,-0.149841,-0.0167847
0.117,-0.144348,-0.0140381
0.11750000000000001,-0.102539,-0.0100708
0.11800000000000001,-0.00610352,-0.0119019
0.11850000000000001,0.132446,-0.0161743
0.11900000000000001,0.205078,-0.0180054
0.11950000000000001,0.223694,-0.0134277
0.12,0.165405,-0.0115967
0.1205,0.0747681,-0.0131226
0.121,0.120239,-0.015564
0.1215,0.123291,-0.0119019
0.122,0.137634,-0.00427246
0.1225,0.188599,-0.00610352
0.123,0.19043,-0.00915527
0.1235,0.145874,-0.00854492
0.124,0.0799561,-0.00183105
0.1245,0.0210571,0.000610352
0.125,-0.00671387,0.00274658
0.1255,-0.0482178,0.0128174
0.126,-0.0939941,0.0308228
0.1265,-0.133667,0.0494385
0.127,-0.198364,0.0613403
0.1275,-0.222168,0.062561
0.128,-0.26062,0.0653076
0.1285,-0.423889,0.0613403
0.129,-0.549927,0.0576782
0.1295,-0.633545,0.0564575
0.13,-0.678406,0.0561523
0.1305,-0.620728,0.050354
0.131,-0.36499,0.0299072
0.1315,0.0924683,0.0140381
0.132,0.505066,0.00366211
0.1325,0.476074,-0.00335693
0.133,0.218811,-0.0109863
0.1335,0.226746,-0.0256348
0.134,0.517578,-0.0521851
0.1345,0.862122,-0.0820923
0.135,1.00891,-0.0897217
0.1355,0.819092,-0.078125
0.136,0.410156,-0.0628662
0.1365,0.18219,-0.0488281
0.137,0.10437,-0.038147
0.1375,0.0860596,-0.0283813
0.138,0.0765991,-0.017395
0.1385,0.0497437,-0.00915527
0.139,0.00518799,-0.00396729
0.1395,-0.0274658,0.000915527
0.14,-0.065918,0.00396729
0.1405,-0.0912476,0.00671387
0.14100000000000001,-0.116577,0.00427246
0.14150000000000001,-0.134583,0.00305176
0.14200000000000002,-0.137329,0.000610352
0.14250000000000002,-0.136719,-0.0012207
0.14300000000000002,-0.144653,-0.000305176
0.14350000000000002,-0.139771,-0.00152588
0.14400000000000002,-0.157776,-0.00305176
0.1445,-0.220947,-0.00671387
0.145,-0.270081,-0.00823975
0.1455,-0.202332,-0.00335693
0.146,-0.00579834,0.00488281
0.1465,0.00396729,0.015564
0.147,-0.0756836,0.0219727
0.1475,-0.120544,0.0314331
0.148,-0.135803,0.0375366
0.1485,-0.154114,0.0509644
0.149,-0.170898,0.0646973
0.1495,-0.193176,0.0714111
0.15,-0.224915,0.0778198
0.1505,-0.229797,0.0750732
0.151,-0.12207,0.0643921
0.1515,0.0683594,0.0518799
0.152,0.0332642,0.0485229
0.1525,0.163574,0.0411987
0.153,0.244446,0.0305176
0.1535,0.111694,0.0125122
0.154,0.0613403,-0.0180054
0.1545,0.0415039,-0.0762939
0.155,0.00762939,-0.154419
0.1555,-0.0558472,-0.209656
0.156,-0.0817871,-0.232849
0.1565,-0.140381,-0.20874
0.157,-0.169983,-0.155945
0.1575,-0.0915527,-0.104065
0.158,0.0311279,-0.0662231
0.1585,0.050354,-0.0430298
0.159,0.00701904,-0.0186157
0.1595,0.0369263,0.00610352
0.16,-0.0131226,0.0311279
0.1605,-0.0106812,0.0427246
0.161,0.198669,0.0476074
0.1615,0.387268,0.0524902
0.162,0.255127,0.0534058
0.1625,0.0827026,0.0531006
0.163,-0.0195313,0.0506592
0.1635,-0.0372314,0.0463867
0.164,0.00335693,0.0463867
0.1645,0.13916,0.0454712
0.165,0.189819,0.0390625
0.1655,0.0921631,0.0296021
0.166,0.000915527,0.027771
0.1665,-0.0543213,0.0311279
0.167,-0.101929,0.0344849
0.1675,-0.0723267,0.0360107
0.168,-0.0286865,0.0357056
0.1685,-0.017395,0.0430298
0.169,-0.0335693,0.0753784
0.1695,-0.0512695,0.109863
0.17,-0.0628662,0.133972
0.1705,-0.0671387,0.1474
0.171,-0.0662231,0.149231
0.1715,-0.0646973,0.145569
