Time (s),Tricep,Shoulder
0.0,0.238037,0.0674438
0.0005,0.237732,0.0616455
0.001,0.177917,0.045166
0.0015,0.0970459,0.0262451
0.002,-0.00335693,0.00366211
0.0025,-0.0631714,-0.00793457
0.003,-0.0888062,-0.00732422
0.0035,-0.108032,0.0302124
0.004,-0.0875854,0.131836
0.0045000000000000005,-0.0354004,0.246582
0.005,-0.00946045,0.314941
0.0055,-0.0253296,0.315857
0.006,-0.0665283,0.312805
0.006500000000000001,-0.133362,0.315552
0.007,-0.17395,0.256042
0.0075,-0.172424,0.160217
0.008,-0.150757,0.0979614
0.0085,-0.160522,0.098877
0.009000000000000001,-0.158386,0.0601196
0.0095,-0.115967,-0.057373
0.01,-0.0744629,-0.215454
0.0105,-0.0363159,-0.340576
0.011,0.00305176,-0.433044
0.0115,0.0405884,-0.534668
0.012,0.0717163,-0.601501
0.0125,0.0842285,-0.494385
0.013000000000000001,0.0842285,-0.345764
0.0135,0.0772095,-0.200806
0.014,0.0772095,-0.107727
0.0145,0.0772095,-0.0527954
0.015,0.0759888,-0.0888062
0.0155,0.0759888,-0.243835
0.016,0.0775146,-0.411377
0.0165,0.0796509,-0.493774
0.017,0.0704956,-0.565186
0.0175,0.0747681,-0.638123
0.018000000000000002,0.0753784,-0.668945
0.0185,0.0720215,-0.6604
0.019,0.067749,-0.588989
0.0195,0.0588989,-0.455627
0.02,0.0469971,-0.330505
0.0205,0.0283813,-0.197144
0.021,0.0106812,-0.0411987
0.021500000000000002,-0.00732422,0.125427
0.022,-0.020752,0.253906
0.0225,-0.0396729,0.334167
0.023,-0.0601196,0.386658
0.0235,-0.0720215,0.419922
0.024,-0.0769043,0.437012
0.0245,-0.071106,0.4422
0.025,-0.0741577,0.441284
0.025500000000000002,-0.0643921,0.436096
0.026000000000000002,-0.0384521,0.428162
0.0265,0.00976563,0.417175
0.027,0.0524902,0.404053
0.0275,0.0540161,0.376892
0.028,0.0491333,0.34729
0.0285,0.0402832,0.310059
0.029,0.0335693,0.261536
0.029500000000000002,0.0320435,0.212402
0.03,0.00244141,0.207825
0.0305,-0.0241089,0.283813
0.031,-0.0262451,0.432129
0.0315,-0.0244141,0.627136
0.032,-0.0354004,0.852661
0.0325,-0.0457764,1.10535
0.033,-0.0656128,1.30463
0.0335,-0.0897217,1.43219
0.034,-0.114136,1.35956
