Time (s),Tricep,Shoulder
0.0,-0.0219727,0.172424
0.0005,-0.0259399,0.240479
0.001,-0.0396729,0.348816
0.0015,-0.032959,0.445557
0.002,-0.00610352,0.498657
0.0025,0.0134277,0.500488
0.003,0.038147,0.476685
0.0035,0.0518799,0.404663
0.004,0.0369263,0.335388
0.0045000000000000005,0.00274658,0.228882
0.005,-0.0216675,0.124512
0.0055,-0.0222778,0.0585938
0.006,-0.00854492,0.00640869
0.006500000000000001,0.00427246,-0.0610352
0.007,-0.00701904,-0.193481
0.0075,-0.0323486,-0.431824
0.008,-0.0445557,-0.695496
0.0085,-0.0424194,-0.885925
0.009000000000000001,-0.03479,-0.960693
0.0095,-0.0256348,-0.848389
0.01,-0.010376,-0.561829
0.0105,-0.00213623,-0.27832
0.011,-0.00152588,-0.0869751
0.0115,-0.0241089,0.0344849
0.012,-0.0442505,0.0964355
0.0125,-0.0485229,0.138245
0.013000000000000001,-0.0601196,0.16449
0.0135,-0.0650024,0.142517
0.014,-0.0357056,0.088501
0.0145,0.0244141,0.0250244
0.015,0.0811768,-0.0469971
0.0155,0.133362,-0.103455
0.016,0.175171,-0.137939
0.0165,0.195313,-0.153809
0.017,0.229797,-0.132141
0.0175,0.241089,-0.0888062
0.018000000000000002,0.187683,-0.0143433
0.0185,0.0842285,0.0717163
0.019,-0.0500488,0.169983
0.0195,-0.151978,0.255432
0.02,-0.183105,0.34729
0.0205,-0.166016,0.431519
0.021,-0.147705,0.456238
0.021500000000000002,-0.106812,0.445557
0.022,-0.0576782,0.420532
0.0225,-0.0323486,0.353699
0.023,-0.0411987,0.265198
0.0235,-0.0775146,0.155334
0.024,-0.11322,0.0564575
0.0245,-0.126648,-0.00823975
0.025,-0.0921631,-0.0384521
0.025500000000000002,-0.0473022,-0.0427246
0.026000000000000002,0.0,-0.0280762
0.0265,0.0436401,0.0134277
0.027,0.0933838,0.0616455
0.0275,0.123291,0.0775146
0.028,0.0811768,0.0949097
0.0285,-0.00213623,0.127258
0.029,-0.0698853,0.173645
0.029500000000000002,-0.126038,0.229492
0.03,-0.144958,0.245972
0.0305,-0.0982666,0.188293
0.031,-0.0485229,0.09552
0.0315,-0.0186157,-0.012207
0.032,-0.000305176,-0.120239
0.0325,0.0161743,-0.243225
0.033,0.0238037,-0.375671
0.0335,0.0280762,-0.510864
0.034,0.0335693,-0.621033
0.0345,0.0531006,-0.635071
0.035,0.0796509,-0.619202
0.035500000000000004,0.0991821,-0.629883
0.036000000000000004,0.112915,-0.69458
0.0365,0.107422,-0.728149
0.037,0.0909424,-0.63385
0.0375,0.0714111,-0.481262
0.038,0.0637817,-0.331726
0.0385,0.0674438,-0.183716
0.039,0.0726318,-0.0408936
0.0395,0.0909424,0.0756836
0.04,0.0994873,0.168457
