Time (s),Tricep,Shoulder
0.0,-0.16449,-0.0653076
0.0005,-0.186462,-0.0671387
0.001,-0.180969,-0.0634766
0.0015,-0.153503,-0.0497437
0.002,-0.110168,-0.0350952
0.0025,-0.0701904,-0.0280762
0.003,-0.0393677,-0.0299072
0.0035,-0.0125122,-0.0265503
0.004,0.0231934,-0.00823975
0.0045000000000000005,0.0531006,0.0152588
0.005,0.0732422,0.0320435
0.0055,0.093689,0.0408936
0.006,0.117493,0.0402832
0.006500000000000001,0.148926,0.0418091
0.007,0.16571,0.0494385
0.0075,0.160828,0.0585938
0.008,0.15625,0.0714111
0.0085,0.151367,0.0787354
0.009000000000000001,0.144348,0.0860596
0.0095,0.127258,0.101013
0.01,0.0939941,0.0973511
0.0105,0.0732422,0.0872803
0.011,0.0689697,0.0732422
0.0115,0.0738525,0.0570679
0.012,0.0793457,0.0561523
0.0125,0.0772095,0.0674438
0.013000000000000001,0.0735474,0.0839233
0.0135,0.0500488,0.0964355
0.014,0.0442505,0.0961304
0.0145,0.0814819,0.0875854
0.015,0.11261,0.0836182
0.0155,0.0466919,0.0814819
0.016,-0.0354004,0.0753784
0.0165,-0.0311279,0.0637817
0.017,-0.00213623,0.0424194
0.0175,0.0360107,0.0204468
0.018000000000000002,0.0900269,0.00427246
0.0185,0.173645,-0.010376
0.019,0.292053,-0.0204468
0.0195,0.423584,-0.0326538
0.02,0.527649,-0.0436401
0.0205,0.570068,-0.0549316
0.021,0.471802,-0.0674438
0.021500000000000002,0.217896,-0.0814819
0.022,-0.0646973,-0.0863647
0.0225,-0.262146,-0.0839233
0.023,-0.396729,-0.0765991
0.0235,-0.461426,-0.0671387
0.024,-0.455627,-0.0537109
0.0245,-0.465088,-0.0479126
0.025,-0.473633,-0.050354
0.025500000000000002,-0.379639,-0.0552368
0.026000000000000002,-0.256042,-0.0521851
0.0265,-0.203247,-0.0476074
0.027,-0.177612,-0.0415039
0.0275,-0.211487,-0.045166
0.028,-0.201111,-0.0595093
0.0285,-0.137329,-0.0747681
0.029,-0.114136,-0.0881958
0.029500000000000002,-0.119629,-0.0900269
0.03,-0.140076,-0.0799561
0.0305,-0.174561,-0.065918
0.031,-0.147095,-0.0488281
0.0315,-0.0512695,-0.0357056
0.032,0.0421143,-0.0274658
0.0325,0.098877,-0.0195313
0.033,0.126343,-0.0158691
0.0335,0.136108,-0.0170898
0.034,0.125427,-0.017395
0.0345,0.101624,-0.00488281
0.035,0.0756836,0.00976563
0.035500000000000004,0.0518799,0.0247192
0.036000000000000004,-0.0317383,0.0369263
0.0365,-0.133972,0.0436401
0.037,-0.168152,0.0500488
0.0375,-0.175476,0.0482178
0.038,-0.169067,0.0421143
0.0385,-0.125122,0.0372314
0.039,-0.0793457,0.0259399
0.0395,-0.0357056,0.0183105
0.04,0.0335693,0.0158691
0.0405,0.109558,0.0152588
0.041,0.177917,0.0106812
0.0415,0.212097,0.00701904
0.042,0.206604,-0.00152588
0.0425,0.190125,-0.0140381
0.043000000000000003,0.183105,-0.015564
0.043500000000000004,0.164795,-0.00946045
0.044,0.150757,-0.00183105
0.0445,0.158081,0.00823975
0.045,0.163574,0.0170898
0.0455,0.166321,0.0265503
0.046,0.172729,0.0341797
0.0465,0.152588,0.0375366
0.047,0.148926,0.0408936
0.0475,0.176392,0.0442505
0.048,0.224304,0.0460815
0.0485,0.222473,0.0457764
0.049,0.149841,0.045166
0.0495,0.0854492,0.0485229
0.05,0.0567627,0.0531006
0.0505,0.0314331,0.0494385
0.051000000000000004,0.0375366,0.0424194
0.051500000000000004,0.0561523,0.0341797
0.052000000000000005,0.0549316,0.0308228
0.0525,0.0366211,0.0369263
0.053,-0.0418091,0.0460815
0.0535,-0.129089,0.0561523
0.054,-0.236206,0.0531006
0.0545,-0.315857,0.0302124
0.055,-0.280151,0.00762939
0.0555,-0.235901,-0.00366211
0.056,-0.246582,-0.0140381
0.0565,-0.296631,-0.0302124
0.057,-0.333252,-0.0524902
0.0575,-0.334778,-0.0668335
0.058,-0.282593,-0.0668335
0.0585,-0.18158,-0.0622559
0.059000000000000004,-0.0820923,-0.062561
0.059500000000000004,-0.0256348,-0.0653076
0.06,0.00213623,-0.071106
0.0605,0.0198364,-0.0808716
0.061,0.0302124,-0.0872803
0.0615,0.0549316,-0.0857544
0.062,0.0872803,-0.0738525
0.0625,0.108643,-0.0552368
0.063,0.109863,-0.0341797
0.0635,0.101013,-0.0177002
0.064,0.0598145,-0.00549316
0.0645,0.0326538,0.00640869
0.065,0.0521851,0.0146484
0.0655,0.0866699,0.0192261
0.066,0.115356,0.0186157
0.0665,0.128479,0.0158691
0.067,0.129089,0.0149536
0.0675,0.133667,0.0143433
0.068,0.151367,0.0119019
0.0685,0.158081,0.010376
0.069,0.15564,0.00701904
0.0695,0.13916,0.00915527
0.07,0.0894165,0.0134277
0.07050000000000001,0.00946045,0.0137329
0.07100000000000001,-0.0906372,0.0088501
0.07150000000000001,-0.140381,0.00152588
0.07200000000000001,-0.146484,-0.00518799
0.0725,-0.136719,-0.00427246
0.073,-0.144653,0.00152588
0.0735,-0.19043,0.00579834
0.074,-0.214844,0.00366211
0.0745,-0.185852,-0.00152588
0.075,-0.131836,-0.00335693
0.0755,-0.0689697,-0.00244141
0.076,0.0280762,-0.00915527
0.0765,0.111389,-0.0106812
0.077,0.139771,-0.00732422
0.0775,0.160828,-0.000610352
0.078,0.200195,0.00823975
0.0785,0.213013,0.0158691
0.079,0.142517,0.0183105
0.0795,0.0479126,0.0177002
0.08,-0.0262451,0.0219727
0.0805,-0.083313,0.0256348
0.081,-0.106812,0.022583
0.0815,-0.0970459,0.0177002
0.082,-0.0622559,0.0131226
0.0825,0.000915527,0.0109863
0.083,0.0531006,0.0100708
0.0835,0.0689697,0.0167847
0.084,0.0741577,0.0262451
0.0845,0.065918,0.0366211
0.085,0.0491333,0.0415039
0.0855,0.0332642,0.0454712
0.08600000000000001,0.0210571,0.0466919
0.08650000000000001,0.00640869,0.0408936
0.08700000000000001,-0.00762939,0.03479
0.08750000000000001,-0.0274658,0.0268555
0.088,-0.0405884,0.0167847
0.0885,-0.0466919,0.00823975
0.089,-0.0393677,0.000610352
0.0895,-0.0177002,-0.00457764
0.09,-0.0231934,-0.00793457
0.0905,-0.0415039,-0.0106812
0.091,-0.057373,-0.0164795
0.0915,-0.0726318,-0.0192261
0.092,-0.0778198,-0.017395
0.0925,-0.0738525,-0.0170898
0.093,-0.0552368,-0.0170898
0.0935,-0.0366211,-0.0112915
0.094,-0.0219727,-0.00396729
0.0945,0.0289917,0.000305176
0.095,0.090332,0.000915527
0.0955,0.125732,-0.000915527
0.096,0.136414,-0.000915527
0.0965,0.124207,0.00335693
0.097,0.0686646,0.0088501
0.0975,-0.0338745,0.0195313
0.098,-0.133667,0.0299072
0.0985,-0.0415039,0.0360107
0.099,0.155029,0.0378418
0.0995,0.364075,0.0363159
0.1,0.46875,0.0350952
0.1005,0.412598,0.0271606
0.101,0.272217,0.0198364
0.1015,0.181885,0.0109863
0.10200000000000001,0.174866,0.00366211
0.10250000000000001,0.301819,0.00793457
0.10300000000000001,0.403137,0.0152588
0.10350000000000001,0.1828,0.000305176
0.10400000000000001,-0.253601,-0.0357056
0.1045,-0.626221,-0.0726318
0.105,-0.828247,-0.10437
