Time (s),Tricep,Shoulder
0.0,0.225525,-0.0579834
0.0005,0.282898,-0.0497437
0.001,0.346985,-0.0390625
0.0015,0.280457,-0.0289917
0.002,0.252075,-0.0146484
0.0025,0.300903,0.000915527
0.003,0.335999,0.0112915
0.0035,0.324707,0.0134277
0.004,0.267029,0.0100708
0.0045000000000000005,0.181274,0.00579834
0.005,0.0289917,0.00244141
0.0055,-0.115967,0.000915527
0.006,-0.232849,-0.00274658
0.006500000000000001,-0.27832,-0.00488281
0.007,-0.278625,-0.00549316
0.0075,-0.274353,0.00274658
0.008,-0.296326,0.012207
0.0085,-0.351257,0.0183105
0.009000000000000001,-0.449219,0.0109863
0.0095,-0.513306,-0.0012207
0.01,-0.542908,-0.0137329
0.0105,-0.488892,-0.0183105
0.011,-0.415955,-0.0180054
0.0115,-0.391846,-0.0198364
0.012,-0.404053,-0.0286865
0.0125,-0.366821,-0.0460815
0.013000000000000001,-0.302429,-0.0582886
0.0135,-0.171509,-0.057373
0.014,-0.00305176,-0.0494385
0.0145,0.057373,-0.0595093
0.015,0.0439453,-0.071106
0.0155,0.0769043,-0.0698853
0.016,0.104065,-0.0802612
0.0165,0.145264,-0.0897217
0.017,0.224609,-0.0820923
0.0175,0.336304,-0.0619507
0.018000000000000002,0.460205,-0.0396729
0.0185,0.592346,-0.0146484
0.019,0.691833,0.00640869
0.0195,0.722351,0.0177002
0.02,0.652771,0.0170898
0.0205,0.511169,0.0170898
0.021,0.368652,0.0143433
0.021500000000000002,0.278931,0.017395
0.022,0.196228,0.0256348
0.0225,0.0595093,0.0390625
0.023,-0.0497437,0.0537109
0.0235,-0.0842285,0.0616455
0.024,-0.0906372,0.0686646
0.0245,-0.0912476,0.0708008
0.025,-0.0967407,0.0704956
0.025500000000000002,-0.0918579,0.0692749
0.026000000000000002,-0.0802612,0.0726318
0.0265,-0.0585938,0.0778198
0.027,-0.0445557,0.0765991
0.0275,-0.0320435,0.0701904
0.028,-0.0115967,0.0640869
0.0285,0.0177002,0.0616455
0.029,0.0708008,0.0613403
0.029500000000000002,0.152893,0.0601196
0.03,0.213928,0.0558472
0.0305,0.209045,0.0424194
0.031,0.14679,0.03479
0.0315,0.0588989,0.0283813
0.032,-0.0244141,0.0268555
0.0325,-0.0286865,0.0341797
0.033,-0.0183105,0.0366211
0.0335,0.0512695,0.0332642
0.034,0.26886,0.0268555
0.0345,0.398254,0.020752
0.035,0.40802,0.010376
0.035500000000000004,0.278015,0.00457764
0.036000000000000004,0.0830078,-0.00305176
0.0365,-0.0576782,-0.0106812
0.037,-0.161133,-0.015564
0.0375,-0.273438,-0.0177002
0.038,-0.466003,-0.0262451
0.0385,-0.688782,-0.0463867
0.039,-0.917969,-0.0747681
0.0395,-1.06567,-0.101013
0.04,-1.00464,-0.101013
0.0405,-0.72998,-0.0875854
0.041,-0.448608,-0.0793457
0.0415,-0.201111,-0.0772095
0.042,0.0314331,-0.0769043
0.0425,0.241394,-0.078125
0.043000000000000003,0.465393,-0.0680542
0.043500000000000004,0.697021,-0.0561523
0.044,0.721741,-0.050354
0.0445,0.683899,-0.0439453
0.045,0.400085,-0.0384521
0.0455,0.0158691,-0.0305176
0.046,-0.297241,-0.0274658
0.0465,-0.485535,-0.0241089
0.047,-0.539246,-0.0228882
0.0475,-0.519714,-0.0170898
0.048,-0.444946,-0.0146484
0.0485,-0.341492,-0.0158691
0.049,-0.209961,-0.0152588
0.0495,-0.0967407,-0.0164795
