Time (s),Tricep,Shoulder
0.0,0.134888,-0.570679
0.0005,0.166016,-0.66925
0.001,0.19165,-0.683594
0.0015,0.163879,-0.711365
0.002,0.0671387,-0.697327
0.0025,-0.0265503,-0.583801
0.003,-0.0418091,-0.4422
0.0035,-0.0454712,-0.340271
0.004,-0.0494385,-0.268555
0.0045000000000000005,-0.0378418,-0.203857
0.005,-0.0186157,-0.130615
0.0055,0.000305176,-0.0497437
0.006,0.0265503,0.0198364
0.006500000000000001,0.0250244,0.0817871
0.007,-0.00610352,0.112915
0.0075,-0.0488281,0.129395
0.008,-0.0848389,0.162354
0.0085,-0.119934,0.211792
0.009000000000000001,-0.115967,0.242004
0.0095,-0.0805664,0.24231
0.01,-0.050354,0.244751
0.0105,-0.0619507,0.239868
0.011,-0.0994873,0.236816
0.0115,-0.0939941,0.218506
0.012,-0.0985718,0.1651
0.0125,-0.137939,0.123291
0.013000000000000001,-0.178833,0.0723267
0.0135,-0.162048,-0.0189209
0.014,-0.0949097,-0.1828
0.0145,0.0,-0.450134
0.015,0.0854492,-0.579224
0.0155,0.159912,-0.536499
0.016,0.204468,-0.377502
0.0165,0.213013,-0.193176
0.017,0.215454,-0.0350952
0.0175,0.161743,0.0994873
0.018000000000000002,0.0869751,0.187073
0.0185,0.0646973,0.229492
0.019,0.0521851,0.226746
0.0195,-0.00823975,0.209961
0.02,-0.0488281,0.174561
0.0205,-0.0460815,0.175781
0.021,-0.0405884,0.21637
0.021500000000000002,-0.0500488,0.240173
0.022,-0.0799561,0.218506
0.0225,-0.11261,0.187988
0.023,-0.116272,0.152588
0.0235,-0.106812,0.0952148
0.024,-0.0921631,0.0448608
0.0245,-0.0790405,-0.012207
0.025,-0.0534058,-0.0680542
0.025500000000000002,-0.043335,-0.11322
0.026000000000000002,-0.00305176,-0.172424
0.0265,0.0671387,-0.223389
0.027,0.144958,-0.187683
0.0275,0.197754,-0.179749
0.028,0.152893,-0.160522
0.0285,0.0915527,-0.119324
0.029,0.0546265,-0.0363159
0.029500000000000002,0.0405884,0.0338745
0.03,0.0350952,0.0769043
0.0305,0.0332642,0.125732
0.031,0.017395,0.204468
0.0315,0.0119019,0.248413
0.032,0.00671387,0.250854
0.0325,0.00335693,0.235596
0.033,0.00854492,0.220642
0.0335,0.0149536,0.194397
0.034,0.00671387,0.183716
0.0345,-0.000915527,0.203857
0.035,-0.0012207,0.248108
0.035500000000000004,0.00427246,0.256042
0.036000000000000004,0.0100708,0.242004
0.0365,-0.00579834,0.218506
0.037,-0.0402832,0.19104
0.0375,-0.0747681,0.169678
0.038,-0.0982666,0.144653
0.0385,-0.120544,0.127258
0.039,-0.118408,0.0869751
0.0395,-0.0982666,0.062561
0.04,-0.085144,0.0427246
0.0405,-0.0769043,0.00701904
0.041,-0.0552368,-0.0216675
0.0415,-0.0375366,-0.0558472
0.042,-0.0109863,-0.104065
0.0425,0.0582886,-0.118103
0.043000000000000003,0.157471,-0.145569
0.043500000000000004,0.194092,-0.191956
0.044,0.140686,-0.22644
0.0445,0.0723267,-0.292969
0.045,0.0323486,-0.383301
0.0455,0.0427246,-0.502319
0.046,0.0765991,-0.566711
0.0465,0.109558,-0.57373
0.047,0.0854492,-0.539856
0.0475,0.0170898,-0.479126
0.048,-0.0534058,-0.430908
0.0485,-0.0726318,-0.411377
0.049,-0.0509644,-0.353699
0.0495,-0.0228882,-0.317688
0.05,-0.0134277,-0.288696
0.0505,-0.0109863,-0.200806
0.051000000000000004,-0.0100708,-0.0830078
0.051500000000000004,-0.0143433,0.0415039
