Time (s),Tricep,Shoulder
0.0,-0.0720215,-0.0534058
0.0005,-0.0469971,-0.0900269
0.001,-0.00396729,-0.101929
0.0015,0.0326538,-0.0939941
0.002,0.0500488,-0.0701904
0.0025,0.0112915,-0.0250244
0.003,-0.0808716,0.0109863
0.0035,-0.170593,0.0180054
0.004,-0.22644,-0.00183105
0.0045000000000000005,-0.271606,-0.0393677
0.005,-0.278015,-0.0567627
0.0055,-0.26001,-0.0445557
0.006,-0.1828,-0.00946045
0.006500000000000001,-0.0424194,0.0280762
0.007,0.142212,0.10376
0.0075,0.369568,0.205688
0.008,0.566101,0.26886
0.0085,0.604858,0.288391
0.009000000000000001,0.509338,0.323181
0.0095,0.276184,0.334778
0.01,0.098877,0.320435
0.0105,0.0482178,0.294189
0.011,0.103455,0.257568
0.0115,0.169678,0.183411
0.012,0.184937,0.0720215
0.0125,0.158691,-0.0753784
0.013000000000000001,0.122375,-0.223694
0.0135,0.0906372,-0.349121
0.014,0.0769043,-0.45166
0.0145,0.0579834,-0.528564
0.015,0.0253296,-0.542297
0.0155,-0.0152588,-0.508423
0.016,-0.0421143,-0.466614
0.0165,-0.0524902,-0.436401
0.017,-0.0643921,-0.401306
0.0175,-0.0759888,-0.360107
0.018000000000000002,-0.0891113,-0.325317
0.0185,-0.0958252,-0.295105
0.019,-0.0909424,-0.238342
0.0195,-0.0830078,-0.161743
0.02,-0.0802612,-0.0741577
0.0205,-0.0848389,0.0234985
0.021,-0.100403,0.1297
0.021500000000000002,-0.119324,0.2005
0.022,-0.137939,0.238953
0.0225,-0.146484,0.277405
0.023,-0.143127,0.318298
0.0235,-0.133972,0.344849
0.024,-0.124512,0.337219
0.0245,-0.119324,0.309448
0.025,-0.134583,0.285339
0.025500000000000002,-0.134888,0.274963
0.026000000000000002,-0.119629,0.252991
0.0265,-0.0744629,0.229187
0.027,-0.027771,0.200806
0.0275,-0.00396729,0.180969
0.028,0.0149536,0.173035
0.0285,0.0238037,0.149536
0.029,0.0289917,0.122986
0.029500000000000002,0.038147,0.102844
0.03,0.0384521,0.0909424
0.0305,0.0534058,0.0720215
0.031,0.00701904,0.0463867
0.0315,-0.0949097,0.0305176
0.032,-0.151367,0.0186157
0.0325,-0.158691,0.0231934
0.033,-0.116882,0.0601196
0.0335,-0.06073,0.117188
0.034,0.017395,0.161438
0.0345,0.0747681,0.199585
0.035,0.133057,0.187988
0.035500000000000004,0.166016,0.133972
0.036000000000000004,0.204163,0.0442505
0.0365,0.288696,-0.0436401
0.037,0.320129,-0.118408
0.0375,0.202332,-0.1297
0.038,0.0518799,-0.105896
0.0385,-0.0463867,-0.12207
0.039,-0.0769043,-0.161438
0.0395,-0.0436401,-0.144958
0.04,-0.0012207,-0.085144
0.0405,0.0421143,0.03479
0.041,0.0537109,0.103149
0.0415,0.0213623,0.0921631
0.042,-0.0726318,-0.00244141
0.0425,-0.203857,-0.083313
0.043000000000000003,-0.311584,-0.166931
0.043500000000000004,-0.35614,-0.314941
0.044,-0.35675,-0.426331
0.0445,-0.311279,-0.486145
0.045,-0.231323,-0.567017
0.0455,-0.128479,-0.586243
0.046,0.0100708,-0.519104
0.0465,0.153503,-0.422058
0.047,0.286255,-0.303345
0.0475,0.406189,-0.231018
0.048,0.431213,-0.172729
0.0485,0.398865,-0.117798
0.049,0.263367,-0.071106
0.0495,0.137024,-0.00915527
0.05,0.134277,0.0875854
0.0505,0.187378,0.15564
0.051000000000000004,0.224609,0.180359
0.051500000000000004,0.215149,0.190125
0.052000000000000005,0.167236,0.186157
0.0525,0.108643,0.184021
0.053,0.0524902,0.171204
0.0535,-0.010376,0.162048
0.054,-0.0564575,0.149536
0.0545,-0.0891113,0.163879
0.055,-0.115662,0.234985
0.0555,-0.116577,0.347595
0.056,-0.119019,0.493164
0.0565,-0.136108,0.740662
0.057,-0.19104,0.924683
0.0575,-0.235596,0.987244
0.058,-0.267944,0.907288
0.0585,-0.262451,0.742188
0.059000000000000004,-0.210266,0.522156
0.059500000000000004,-0.159302,0.267029
0.06,-0.0921631,0.0250244
0.0605,-0.00396729,-0.209045
0.061,0.0762939,-0.533447
0.0615,0.122681,-0.834961
0.062,0.146179,-1.03577
0.0625,0.186157,-1.14105
0.063,0.178528,-1.12823
0.0635,0.138245,-1.05713
0.064,0.0708008,-0.98053
0.0645,0.0219727,-0.844116
0.065,0.00762939,-0.673523
0.0655,-0.000610352,-0.532227
0.066,0.0128174,-0.461426
0.0665,0.0305176,-0.361023
0.067,0.0271606,-0.240173
0.0675,0.0204468,-0.0653076
0.068,0.0125122,0.0668335
0.0685,-0.00549316,0.169678
0.069,-0.0256348,0.269165
0.0695,-0.0393677,0.39917
0.07,-0.0500488,0.481567
0.07050000000000001,-0.0631714,0.532532
0.07100000000000001,-0.0756836,0.540771
0.07150000000000001,-0.0799561,0.528564
0.07200000000000001,-0.0827026,0.516357
0.0725,-0.0860596,0.509949
0.073,-0.0866699,0.48645
0.0735,-0.0808716,0.450439
0.074,-0.0643921,0.407104
0.0745,-0.0497437,0.340271
0.075,-0.0357056,0.274353
0.0755,-0.0119019,0.21637
0.076,0.0167847,0.157776
