Time (s),Tricep,Shoulder
0.0,-0.00183105,0.141296
0.0005,-0.00366211,0.13855
0.001,-0.00701904,0.153809
0.0015,-0.012207,0.167236
0.002,-0.0143433,0.193787
0.0025,-0.0128174,0.253601
0.003,-0.0088501,0.348511
0.0035,-0.0109863,0.368652
0.004,-0.0213623,0.288696
0.0045000000000000005,-0.0189209,0.197449
0.005,0.00640869,0.140686
0.0055,0.0372314,0.0509644
0.006,0.0454712,-0.0866699
0.006500000000000001,0.0360107,-0.23468
0.007,0.0344849,-0.378418
0.0075,0.0305176,-0.431824
0.008,0.0137329,-0.438232
0.0085,0.0219727,-0.419922
0.009000000000000001,0.0515747,-0.358887
0.0095,0.0622559,-0.274658
0.01,0.0509644,-0.184326
0.0105,0.0317383,-0.108643
0.011,0.0265503,-0.0463867
0.0115,0.0372314,-0.00396729
0.012,0.0424194,0.00396729
0.0125,0.038147,-0.0109863
0.013000000000000001,0.0344849,-0.0445557
0.0135,0.0357056,-0.0665283
0.014,0.0411987,-0.057373
0.0145,0.0405884,-0.0228882
0.015,0.0286865,0.0241089
0.0155,0.010376,0.065918
0.016,0.0,0.0894165
0.0165,-0.000305176,0.114441
0.017,0.00427246,0.134277
0.0175,0.000915527,0.17395
0.018000000000000002,0.00335693,0.228271
0.0185,0.00823975,0.229187
0.019,0.00152588,0.220947
0.0195,-0.012207,0.202026
0.02,-0.0238037,0.165405
0.0205,-0.0411987,0.098877
0.021,-0.0515747,0.000610352
0.021500000000000002,-0.0567627,-0.112305
0.022,-0.0537109,-0.141296
0.0225,-0.050354,-0.065918
0.023,-0.0552368,0.0283813
0.0235,-0.0643921,0.17334
0.024,-0.0741577,0.343628
0.0245,-0.0775146,0.632629
0.025,-0.067749,0.862122
0.025500000000000002,-0.0579834,0.783997
0.026000000000000002,-0.0460815,0.507202
0.0265,-0.020752,0.187988
0.027,0.012207,-0.145264
0.0275,0.0485229,-0.440369
0.028,0.0686646,-0.744019
0.0285,0.083313,-0.987244
0.029,0.0939941,-1.18195
0.029500000000000002,0.102234,-1.30524
0.03,0.103455,-1.29974
0.0305,0.0921631,-1.14014
0.031,0.072937,-0.879211
0.0315,0.0531006,-0.61676
0.032,0.0366211,-0.388184
0.0325,0.0167847,-0.276794
0.033,0.000610352,-0.234375
0.0335,-0.0164795,-0.149841
0.034,-0.0323486,-0.00488281
0.0345,-0.0375366,0.188904
0.035,-0.0350952,0.372314
0.035500000000000004,-0.0323486,0.484314
0.036000000000000004,-0.0302124,0.550232
0.0365,-0.0250244,0.581665
0.037,-0.0158691,0.602112
0.0375,-0.0112915,0.558472
0.038,-0.0183105,0.489502
0.0385,-0.0216675,0.452271
0.039,-0.0177002,0.407104
0.0395,-0.0119019,0.331116
0.04,-0.010376,0.270691
0.0405,-0.0146484,0.220947
0.041,-0.0192261,0.19165
0.0415,-0.0289917,0.188904
0.042,-0.0393677,0.184326
0.0425,-0.0473022,0.155945
0.043000000000000003,-0.0531006,0.102539
0.043500000000000004,-0.0552368,0.0283813
0.044,-0.0479126,-0.0112915
0.0445,-0.0305176,-0.0204468
0.045,-0.0167847,-0.0305176
0.0455,-0.00762939,0.0476074
0.046,-0.0012207,0.17395
0.0465,0.00976563,0.252991
0.047,0.0140381,0.270386
0.0475,0.00946045,0.260925
0.048,-0.00427246,0.23407
0.0485,-0.020752,0.276794
0.049,-0.0323486,0.31189
0.0495,-0.0421143,0.257874
0.05,-0.0372314,0.140076
0.0505,-0.0323486,-0.0238037
0.051000000000000004,-0.0231934,-0.201416
0.051500000000000004,-0.0100708,-0.357666
0.052000000000000005,0.0128174,-0.469971
0.0525,0.0390625,-0.571899
0.053,0.0582886,-0.742798
0.0535,0.067749,-0.811462
0.054,0.0921631,-0.72998
0.0545,0.0991821,-0.608826
0.055,0.078125,-0.476074
0.0555,0.0213623,-0.321045
0.056,-0.0445557,-0.118103
0.0565,-0.065918,0.0695801
0.057,-0.0671387,0.171509
0.0575,-0.0430298,0.214844
0.058,-0.00396729,0.23407
0.0585,0.0338745,0.243225
0.059000000000000004,0.0653076,0.235901
0.059500000000000004,0.0866699,0.219116
0.06,0.101318,0.203857
0.0605,0.103455,0.187378
0.061,0.0900269,0.171814
0.0615,0.072937,0.169373
0.062,0.039978,0.202637
0.0625,-0.00976563,0.241394
0.063,-0.0527954,0.267334
0.0635,-0.0588989,0.289917
0.064,-0.0408936,0.32074
0.0645,-0.0234985,0.368958
0.065,-0.0262451,0.377502
0.0655,-0.0500488,0.324402
0.066,-0.0714111,0.203247
0.0665,-0.085144,0.0119019
0.067,-0.0912476,-0.19104
0.0675,-0.0778198,-0.359192
0.068,-0.0582886,-0.489197
0.0685,-0.0247192,-0.539856
0.069,0.00396729,-0.534363
0.0695,0.0234985,-0.505981
0.07,0.0378418,-0.446472
0.07050000000000001,0.0576782,-0.380554
0.07100000000000001,0.0692749,-0.358276
0.07150000000000001,0.0604248,-0.283508
0.07200000000000001,0.0430298,-0.106506
0.0725,0.0204468,0.057373
0.073,0.00244141,0.141907
0.0735,-0.0112915,0.191345
0.074,-0.0134277,0.215149
0.0745,-0.015564,0.20813
0.075,-0.0164795,0.170288
0.0755,-0.0125122,0.122986
0.076,-0.00793457,0.0927734
0.0765,-0.00854492,0.0875854
0.077,-0.00793457,0.103149
0.0775,-0.0115967,0.113831
0.078,-0.0186157,0.110168
0.0785,-0.0289917,0.102234
0.079,-0.0283813,0.100098
0.0795,-0.0204468,0.100098
0.08,-0.0167847,0.0830078
0.0805,-0.0125122,0.072937
0.081,-0.00183105,0.0726318
0.0815,0.012207,0.0674438
0.082,0.020752,0.0546265
0.0825,0.032959,0.0354004
0.083,0.0488281,0.0286865
0.0835,0.0643921,0.015564
0.084,0.0686646,0.0164795
0.0845,0.0558472,0.0271606
0.085,0.0271606,0.0506592
0.0855,-0.0183105,0.0924683
0.08600000000000001,-0.0604248,0.180969
0.08650000000000001,-0.0869751,0.277405
0.08700000000000001,-0.106201,0.435181
0.08750000000000001,-0.116577,0.618591
0.088,-0.132446,0.787354
0.0885,-0.13855,0.844421
0.089,-0.126343,0.888062
0.0895,-0.0973511,0.75531
0.09,-0.0546265,0.477905
0.0905,-0.0189209,0.213623
0.091,0.00305176,-0.062561
0.0915,0.0177002,-0.361938
0.092,0.0256348,-0.747681
0.0925,0.0488281,-0.937805
0.093,0.0894165,-1.05286
0.0935,0.142822,-1.1557
0.094,0.187378,-1.17706
0.0945,0.216675,-1.18378
0.095,0.1828,-1.21887
0.0955,0.11322,-1.26282
0.096,0.0549316,-1.22375
0.0965,0.00671387,-1.19415
0.097,-0.010376,-1.12
0.0975,-0.020752,-0.920715
0.098,-0.0228882,-0.587769
0.0985,-0.0283813,-0.157471
0.099,-0.0286865,0.193481
0.0995,-0.00793457,0.402832
0.1,0.0222778,0.54718
0.1005,0.0317383,0.655823
0.101,0.0396729,0.775757
0.1015,0.0088501,0.864258
0.10200000000000001,-0.032959,0.967712
0.10250000000000001,-0.0561523,1.0614
0.10300000000000001,-0.0741577,1.06689
0.10350000000000001,-0.0836182,0.985718
0.10400000000000001,-0.0772095,0.857849
0.1045,-0.0415039,0.716858
0.105,0.0125122,0.547791
0.1055,0.0656128,0.397644
0.106,0.114441,0.211792
0.1065,0.155029,0.00518799
0.107,0.109558,-0.189514
0.1075,0.020752,-0.339661
0.108,-0.0326538,-0.455017
0.1085,-0.0408936,-0.59082
0.109,-0.00671387,-0.637817
0.1095,0.022583,-0.582581
0.11,0.00427246,-0.475464
0.1105,-0.0320435,-0.382385
0.111,-0.0698853,-0.279236
0.1115,-0.0863647,-0.0765991
0.112,-0.0863647,0.154724
0.1125,-0.065918,0.320129
0.113,-0.0372314,0.379028
0.1135,-0.0088501,0.363159
0.114,0.0161743,0.325928
0.1145,0.0271606,0.296631
0.115,0.0210571,0.264587
0.1155,0.0012207,0.24353
0.116,-0.0213623,0.240479
0.1165,-0.0497437,0.272217
0.117,-0.0799561,0.296936
0.11750000000000001,-0.110779,0.284729
0.11800000000000001,-0.129395,0.231323
0.11850000000000001,-0.135498,0.172119
0.11900000000000001,-0.119629,0.120239
0.11950000000000001,-0.0854492,0.0939941
0.12,-0.0323486,0.0653076
0.1205,0.0335693,0.00640869
0.121,0.0848389,-0.0582886
0.1215,0.119934,-0.115967
0.122,0.124512,-0.140381
0.1225,0.133972,-0.168762
0.123,0.15625,-0.192871
0.1235,0.147095,-0.220032
0.124,0.113525,-0.205688
0.1245,0.093689,-0.133972
0.125,0.0585938,-0.0656128
0.1255,0.0088501,0.0613403
0.126,-0.0326538,0.259705
0.1265,-0.0537109,0.410767
0.127,-0.0695801,0.529175
0.1275,-0.0735474,0.723572
0.128,-0.0601196,0.956116
0.1285,-0.038147,0.914307
0.129,-0.0231934,0.731506
0.1295,-0.0140381,0.447083
0.13,0.0012207,0.0430298
0.1305,0.0183105,-0.447693
0.131,0.0326538,-0.987854
0.1315,0.0448608,-1.47339
0.132,0.0610352,-1.82129
0.1325,0.0723267,-1.94946
0.133,0.0650024,-1.88568
0.1335,0.0408936,-1.61194
0.134,0.0146484,-1.23291
0.1345,-0.00579834,-0.801697
0.135,-0.0134277,-0.330811
0.1355,-0.0186157,0.0970459
0.136,-0.0204468,0.340881
0.1365,-0.0213623,0.449829
0.137,-0.0198364,0.45929
0.1375,-0.0106812,0.466614
0.138,0.00427246,0.458679
0.1385,0.0158691,0.440369
0.139,0.017395,0.430298
0.1395,0.0140381,0.426025
0.14,0.00488281,0.434875
0.1405,-0.00244141,0.432129
0.14100000000000001,-0.0088501,0.419312
0.14150000000000001,-0.0180054,0.400085
0.14200000000000002,-0.0323486,0.402527
0.14250000000000002,-0.0531006,0.451965
0.14300000000000002,-0.0784302,0.583801
0.14350000000000002,-0.100708,0.779419
0.14400000000000002,-0.113525,1.05042
0.1445,-0.107117,1.203
0.145,-0.0979614,1.17065
0.1455,-0.0949097,1.02448
0.146,-0.0820923,0.795593
0.1465,-0.0680542,0.387268
0.147,-0.0442505,-0.15686
0.1475,-0.0125122,-0.687256
0.148,0.0210571,-1.13068
0.1485,0.0546265,-1.42456
0.149,0.0775146,-1.56464
0.1495,0.083313,-1.55914
0.15,0.071106,-1.46118
0.1505,0.0500488,-1.24847
0.151,0.03479,-0.941162
0.1515,0.0219727,-0.596313
0.152,0.0125122,-0.273132
0.1525,0.0106812,-0.0167847
0.153,0.0119019,0.0973511
0.1535,0.0131226,0.170288
0.154,0.00976563,0.225525
0.1545,-0.000610352,0.310669
0.155,-0.0106812,0.377197
0.1555,-0.0146484,0.434265
0.156,-0.0088501,0.472412
0.1565,-0.00549316,0.50293
0.157,-0.0167847,0.517273
0.1575,-0.0177002,0.50354
0.158,0.000610352,0.460815
0.1585,0.0131226,0.394287
0.159,0.0213623,0.297852
0.1595,0.0289917,0.19165
0.16,0.0473022,0.0878906
0.1605,0.0427246,0.0100708
0.161,0.000915527,-0.0228882
0.1615,-0.0149536,-0.0305176
0.162,0.0125122,-0.0311279
0.1625,0.0515747,0.0283813
0.163,0.0643921,0.0872803
0.1635,0.0369263,0.10437
