Time (s),Tricep,Shoulder
0.0,0.0704956,0.0088501
0.0005,0.118713,0.0189209
0.001,0.108643,0.0195313
0.0015,0.0326538,-0.00823975
0.002,0.00488281,-0.0180054
0.0025,0.0344849,-0.0125122
0.003,0.083313,-0.0158691
0.0035,0.0924683,-0.0167847
0.004,0.085144,-0.0125122
0.0045000000000000005,0.0683594,-0.00762939
0.005,0.0436401,-0.000915527
0.0055,0.0485229,0.00976563
0.006,0.0506592,0.0192261
0.006500000000000001,0.0424194,0.0262451
0.007,0.0314331,0.0323486
0.0075,0.00518799,0.0231934
0.008,-0.032959,0.00793457
0.0085,-0.0708008,0.0
0.009000000000000001,-0.109863,-0.00854492
0.0095,-0.125122,-0.015564
0.01,-0.11322,-0.0195313
0.0105,-0.0842285,-0.0140381
0.011,-0.0170898,0.00244141
0.0115,0.0109863,0.00640869
0.012,-0.0598145,0.0
0.0125,-0.135498,-0.00427246
0.013000000000000001,-0.19165,0.000915527
0.0135,-0.237122,0.0012207
0.014,-0.281677,-0.00610352
0.0145,-0.282898,-0.0177002
0.015,-0.249939,-0.0247192
0.0155,-0.180664,-0.0292969
0.016,-0.085144,-0.0256348
0.0165,-0.00213623,-0.0183105
0.017,0.0656128,-0.0100708
0.0175,0.10376,-0.00549316
0.018000000000000002,0.118103,-0.00183105
0.0185,0.118713,0.00396729
0.019,0.11261,0.0100708
0.0195,0.11322,0.0158691
0.02,0.125122,0.0198364
0.0205,0.135803,0.0198364
0.021,0.141296,0.0204468
0.021500000000000002,0.130615,0.0198364
0.022,0.107727,0.0189209
0.0225,0.0891113,0.0216675
0.023,0.0741577,0.0189209
0.0235,0.072937,0.017395
0.024,0.0610352,0.0158691
0.0245,0.0323486,0.0161743
0.025,-0.0143433,0.010376
0.025500000000000002,-0.0561523,0.00701904
0.026000000000000002,-0.0701904,0.0088501
0.0265,-0.0662231,0.0167847
0.027,-0.0668335,0.022583
0.0275,-0.0717163,0.022583
0.028,-0.0793457,0.0192261
0.0285,-0.085144,0.0152588
0.029,-0.0897217,0.0189209
