Time (s),Tricep,Shoulder
0.0,-0.0210571,0.0619507
0.0005,-0.0222778,0.0613403
0.001,-0.020752,0.0671387
0.0015,-0.0180054,0.0689697
0.002,-0.0137329,0.0634766
0.0025,-0.0131226,0.0598145
0.003,-0.0106812,0.0515747
0.0035,0.00549316,0.039978
0.004,0.0378418,0.0341797
0.0045000000000000005,0.0619507,0.0360107
0.005,0.0689697,0.0311279
0.0055,0.0695801,0.0238037
0.006,0.0805664,0.0216675
0.006500000000000001,0.0814819,0.0213623
0.007,0.0598145,0.0195313
0.0075,0.0286865,0.0201416
0.008,0.00366211,0.0195313
0.0085,-0.0177002,0.0177002
0.009000000000000001,-0.0332642,0.0152588
0.0095,-0.0405884,0.0177002
0.01,-0.0491333,0.0231934
0.0105,-0.0595093,0.0274658
0.011,-0.0778198,0.0320435
0.0115,-0.128784,0.0326538
0.012,-0.206909,0.0311279
0.0125,-0.267029,0.0256348
0.013000000000000001,-0.273743,0.0210571
0.0135,-0.251465,0.0115967
0.014,-0.213928,0.000305176
0.0145,-0.174866,-0.0115967
0.015,-0.13031,-0.0192261
0.0155,-0.0662231,-0.0283813
0.016,0.00610352,-0.0390625
0.0165,0.0488281,-0.0457764
0.017,0.0567627,-0.0549316
0.0175,0.0778198,-0.0598145
0.018000000000000002,0.0830078,-0.0650024
0.0185,0.0689697,-0.0680542
0.019,0.0628662,-0.0637817
0.0195,0.0552368,-0.0537109
0.02,0.0219727,-0.0363159
0.0205,0.0170898,-0.020752
0.021,0.0448608,-0.00152588
0.021500000000000002,0.0979614,0.0195313
0.022,0.14679,0.0253296
0.0225,0.230408,0.0201416
0.023,0.345154,0.0195313
0.0235,0.421753,0.0140381
0.024,0.458374,0.0146484
0.0245,0.437012,0.0112915
0.025,0.362244,0.00152588
0.025500000000000002,0.30304,-0.00152588
0.026000000000000002,0.324097,-0.0112915
0.0265,0.313721,-0.0164795
0.027,0.258484,-0.0164795
0.0275,0.158386,-0.0262451
0.028,0.0585938,-0.0308228
0.0285,-0.0421143,-0.022583
0.029,-0.152588,-0.00915527
0.029500000000000002,-0.21698,-0.00701904
0.03,-0.192261,0.00183105
0.0305,-0.153503,0.0213623
0.031,-0.109558,0.0430298
0.0315,-0.11322,0.062561
0.032,-0.13031,0.0720215
0.0325,-0.196533,0.0756836
0.033,-0.310364,0.0637817
0.0335,-0.380859,0.0497437
0.034,-0.40802,0.0360107
0.0345,-0.380859,0.0265503
0.035,-0.271301,0.0177002
0.035500000000000004,-0.139465,0.0195313
0.036000000000000004,-0.0134277,0.0189209
0.0365,0.105286,0.0152588
0.037,0.110779,0.00305176
0.0375,-0.085144,-0.0152588
0.038,-0.346375,-0.0305176
0.0385,-0.576782,-0.0415039
0.039,-0.674133,-0.0466919
0.0395,-0.639038,-0.0445557
0.04,-0.484314,-0.0402832
0.0405,-0.302734,-0.0344849
0.041,-0.118103,-0.0271606
0.0415,0.0906372,-0.0134277
0.042,0.292053,-0.00183105
0.0425,0.437317,0.00305176
0.043000000000000003,0.453186,0.000915527
0.043500000000000004,0.377197,-0.00671387
0.044,0.296936,-0.0183105
0.0445,0.261536,-0.00823975
0.045,0.253906,-0.0189209
0.0455,0.22583,-0.0161743
0.046,0.169678,-0.0216675
0.0465,0.0897217,-0.0259399
0.047,0.00518799,-0.0234985
0.0475,-0.0646973,-0.0308228
0.048,-0.1297,-0.0280762
0.0485,-0.132751,-0.0189209
0.049,-0.0888062,0.0088501
0.0495,-0.032959,0.020752
0.05,0.0128174,0.0265503
0.0505,0.0524902,0.0305176
0.051000000000000004,0.0918579,0.020752
0.051500000000000004,0.11261,0.0222778
0.052000000000000005,0.120239,0.0332642
0.0525,0.125122,0.0292969
0.053,0.121765,0.0143433
0.0535,0.106812,0.00366211
0.054,0.0836182,-0.00427246
0.0545,0.0540161,0.0
0.055,0.0244141,0.00823975
0.0555,0.0140381,0.0195313
0.056,0.0195313,0.0335693
0.0565,0.0259399,0.0384521
0.057,0.0259399,0.0256348
0.0575,0.0216675,0.0131226
0.058,0.0140381,0.00152588
0.0585,0.0100708,-0.00793457
0.059000000000000004,0.00152588,0.000305176
0.059500000000000004,-0.0299072,0.0131226
0.06,-0.0476074,0.0268555
0.0605,-0.0518799,0.0326538
0.061,-0.06073,0.0326538
0.0615,-0.0482178,0.0274658
0.062,-0.0637817,0.0238037
0.0625,-0.101318,0.0164795
0.063,-0.0878906,0.00946045
0.0635,-0.0259399,0.0088501
0.064,0.0759888,0.0164795
0.0645,0.169373,0.017395
0.065,0.245056,0.0164795
0.0655,0.312195,0.0262451
0.066,0.331116,0.0305176
0.0665,0.273132,0.0274658
0.067,0.189514,0.0170898
0.0675,0.120544,-0.00274658
0.068,0.0640869,-0.0247192
0.0685,0.0585938,-0.0457764
0.069,0.0311279,-0.0537109
0.0695,-0.0469971,-0.0396729
0.07,-0.145569,-0.0274658
0.07050000000000001,-0.243225,-0.0280762
0.07100000000000001,-0.283203,-0.0384521
0.07150000000000001,-0.305176,-0.0543213
0.07200000000000001,-0.294189,-0.0646973
0.0725,-0.245667,-0.0762939
0.073,-0.192566,-0.0857544
0.0735,-0.147095,-0.0921631
0.074,-0.124817,-0.101318
0.0745,-0.0900269,-0.100098
0.075,-0.0494385,-0.0817871
0.0755,-0.0149536,-0.0708008
0.076,0.0100708,-0.0820923
0.0765,0.027771,-0.103149
0.077,0.0344849,-0.114441
0.0775,0.0363159,-0.11322
0.078,0.0344849,-0.104065
0.0785,0.0332642,-0.085144
0.079,0.0311279,-0.0650024
0.0795,0.0292969,-0.0469971
0.08,0.0314331,-0.0418091
0.0805,0.0326538,-0.0375366
0.081,0.0314331,-0.0311279
