Time (s),Tricep,Shoulder
0.0,0.0,0.0228882
0.0005,-0.00488281,0.00457764
0.001,-0.010376,-0.0128174
0.0015,-0.00762939,-0.0289917
0.002,-0.00701904,-0.0384521
0.0025,-0.00488281,-0.045166
0.003,-0.00274658,-0.0469971
0.0035,0.000305176,-0.0424194
0.004,0.000305176,-0.0268555
0.0045000000000000005,-0.000915527,0.0109863
0.005,0.00396729,0.0598145
0.0055,0.00427246,0.0964355
0.006,-0.00366211,0.117798
0.006500000000000001,-0.0289917,0.140076
0.007,-0.0668335,0.180664
0.0075,-0.107422,0.193481
0.008,-0.108643,0.180054
0.0085,-0.0939941,0.149536
0.009000000000000001,-0.0811768,0.0921631
0.0095,-0.0515747,0.0198364
0.01,-0.0167847,-0.0296021
0.0105,0.017395,-0.0897217
0.011,0.0665283,-0.175781
0.0115,0.0961304,-0.259705
0.012,0.116882,-0.312805
0.0125,0.167236,-0.314941
0.013000000000000001,0.213928,-0.298157
0.0135,0.22522,-0.271606
0.014,0.172119,-0.237427
0.0145,0.0622559,-0.197449
0.015,-0.0653076,-0.160522
0.0155,-0.136414,-0.114746
0.016,-0.145264,-0.0827026
0.0165,-0.107117,-0.0567627
0.017,-0.0595093,-0.0314331
0.0175,-0.0366211,-0.0100708
0.018000000000000002,-0.0286865,0.0186157
0.0185,-0.0491333,0.0436401
0.019,-0.065918,0.0634766
0.0195,-0.0628662,0.0894165
0.02,-0.0512695,0.105896
0.0205,-0.0390625,0.11322
0.021,-0.0323486,0.0982666
0.021500000000000002,-0.0158691,0.085144
0.022,0.000915527,0.0836182
0.0225,0.0143433,0.0900269
0.023,0.0259399,0.0906372
0.0235,0.0286865,0.0790405
0.024,0.0302124,0.0610352
0.0245,0.0405884,0.038147
0.025,0.0549316,0.0143433
0.025500000000000002,0.0747681,0.00366211
0.026000000000000002,0.0674438,0.000915527
0.0265,0.0411987,-0.0143433
0.027,0.0180054,-0.0201416
0.0275,0.0125122,-0.0088501
0.028,0.0177002,0.00457764
0.0285,0.010376,0.0152588
0.029,-0.000915527,0.0320435
0.029500000000000002,-0.0119019,0.0393677
0.03,-0.0283813,0.0408936
0.0305,-0.0427246,0.0512695
0.031,-0.0506592,0.0552368
0.0315,-0.050354,0.0250244
0.032,-0.0375366,-0.0170898
0.0325,-0.0186157,-0.038147
0.033,-0.0149536,-0.0390625
0.0335,-0.0128174,-0.0402832
0.034,-0.0125122,-0.0323486
0.0345,-0.0100708,-0.0164795
0.035,-0.00335693,0.00732422
0.035500000000000004,0.00366211,0.0265503
0.036000000000000004,0.00793457,0.0500488
0.0365,0.00732422,0.0512695
0.037,0.00762939,0.0540161
0.0375,0.00976563,0.0674438
0.038,0.0131226,0.0787354
0.0385,0.0125122,0.0939941
0.039,0.0131226,0.0927734
0.0395,0.0128174,0.0836182
0.04,0.0100708,0.0527954
0.0405,0.00854492,0.010376
0.041,0.00732422,-0.0234985
0.0415,0.00640869,-0.0369263
0.042,0.00396729,-0.0387573
0.0425,0.00366211,-0.0494385
0.043000000000000003,0.00427246,-0.0561523
0.043500000000000004,0.00457764,-0.0411987
0.044,0.00427246,-0.0262451
0.0445,0.00366211,-0.0256348
0.045,0.00274658,-0.0216675
0.0455,0.00183105,-0.0195313
0.046,-0.000915527,-0.0219727
0.0465,-0.00396729,-0.0271606
0.047,-0.00732422,-0.0311279
0.0475,-0.0100708,-0.0262451
0.048,-0.0100708,-0.0305176
0.0485,-0.0115967,-0.043335
0.049,-0.0134277,-0.0411987
0.0495,-0.0161743,-0.017395
0.05,-0.0186157,-0.00488281
0.0505,-0.0228882,0.0167847
0.051000000000000004,-0.0305176,0.0405884
0.051500000000000004,-0.0479126,0.0759888
0.052000000000000005,-0.0704956,0.111389
0.0525,-0.0991821,0.126343
0.053,-0.111389,0.124207
0.0535,-0.108643,0.111389
0.054,-0.0976563,0.0790405
0.0545,-0.0680542,0.0286865
0.055,-0.00854492,-0.0210571
0.0555,0.0604248,-0.0616455
0.056,0.126343,-0.112915
0.0565,0.192871,-0.154419
0.057,0.231628,-0.175476
0.0575,0.206909,-0.19043
0.058,0.142212,-0.2005
0.0585,0.0653076,-0.198364
0.059000000000000004,0.0167847,-0.169067
0.059500000000000004,0.0344849,-0.12207
0.06,0.0762939,-0.0750732
0.0605,0.0891113,-0.0323486
0.061,0.0830078,-0.00671387
0.0615,0.0445557,0.00762939
0.062,-0.0177002,0.0262451
0.0625,-0.085144,0.0405884
0.063,-0.12085,0.0576782
0.0635,-0.127869,0.0698853
0.064,-0.129395,0.0723267
0.0645,-0.116882,0.0689697
0.065,-0.0857544,0.0720215
0.0655,-0.0585938,0.0769043
0.066,-0.0531006,0.0860596
0.0665,-0.0357056,0.0973511
0.067,0.00457764,0.0973511
0.0675,0.0256348,0.108948
0.068,0.0445557,0.119934
0.0685,0.0463867,0.109253
0.069,-0.0012207,0.0912476
0.0695,-0.0375366,0.0552368
0.07,-0.072937,0.0088501
0.07050000000000001,-0.102539,-0.0402832
0.07100000000000001,-0.114136,-0.0769043
0.07150000000000001,-0.090332,-0.0900269
0.07200000000000001,-0.0387573,-0.105896
0.0725,0.0195313,-0.123596
0.073,0.0808716,-0.144653
0.0735,0.158386,-0.164795
0.074,0.160828,-0.145264
0.0745,0.0933838,-0.116882
0.075,0.0430298,-0.0811768
0.0755,0.0332642,-0.0415039
0.076,0.0534058,-0.00396729
0.0765,0.0436401,0.0216675
0.077,0.00793457,0.0366211
0.0775,-0.0115967,0.0430298
0.078,-0.0228882,0.0448608
0.0785,-0.0302124,0.0448608
0.079,-0.0323486,0.0430298
0.0795,-0.03479,0.050354
0.08,-0.032959,0.0567627
0.0805,-0.0357056,0.0546265
0.081,-0.0384521,0.0524902
0.0815,-0.0375366,0.0527954
0.082,-0.0308228,0.0604248
0.0825,-0.0259399,0.0668335
0.083,-0.0195313,0.0714111
0.0835,-0.0109863,0.0662231
0.084,-0.00183105,0.0656128
0.0845,0.00488281,0.0579834
0.085,0.0201416,0.0543213
0.0855,0.0338745,0.0466919
0.08600000000000001,0.0219727,0.0305176
0.08650000000000001,0.00457764,0.0186157
0.08700000000000001,0.00244141,0.00549316
0.08750000000000001,0.00671387,-0.0100708
0.088,0.00976563,-0.022583
0.0885,0.0012207,-0.0457764
0.089,-0.0112915,-0.0692749
0.0895,-0.020752,-0.0811768
0.09,-0.0274658,-0.0698853
0.0905,-0.0262451,-0.0314331
0.091,-0.0137329,0.0234985
0.0915,0.00762939,0.0796509
0.092,0.0222778,0.107117
0.0925,0.0268555,0.109253
0.093,0.0308228,0.0802612
0.0935,0.0305176,0.0463867
0.094,0.0231934,0.00488281
0.0945,0.0134277,-0.0292969
0.095,0.0131226,-0.0643921
0.0955,0.0192261,-0.102539
0.096,0.0183105,-0.125732
0.0965,0.0100708,-0.125732
0.097,0.00640869,-0.12207
0.0975,0.00213623,-0.125427
0.098,0.000610352,-0.116882
0.0985,0.000610352,-0.078125
0.099,0.00213623,-0.0323486
0.0995,0.00274658,0.00488281
0.1,-0.000915527,0.0286865
0.1005,-0.00305176,0.0418091
0.101,-0.00457764,0.0454712
0.1015,-0.00366211,0.0497437
0.10200000000000001,-0.00427246,0.0527954
0.10250000000000001,-0.00274658,0.0515747
0.10300000000000001,-0.0012207,0.0491333
0.10350000000000001,-0.00244141,0.0457764
0.10400000000000001,-0.010376,0.0469971
0.1045,-0.0228882,0.0622559
0.105,-0.0369263,0.0845337
0.1055,-0.0439453,0.0891113
0.106,-0.0427246,0.0674438
0.1065,-0.0357056,0.0369263
0.107,-0.0296021,0.010376
0.1075,-0.0222778,-0.00976563
0.108,-0.0128174,-0.0231934
0.1085,0.00244141,-0.0372314
0.109,0.0256348,-0.0463867
0.1095,0.0445557,-0.06073
0.11,0.0445557,-0.0527954
0.1105,0.0143433,-0.0354004
0.111,-0.0256348,-0.0158691
0.1115,-0.0518799,-0.00213623
0.112,-0.0482178,-0.00213623
0.1125,-0.00488281,0.00488281
0.113,0.0375366,-0.00244141
0.1135,0.0878906,-0.022583
0.114,0.124207,-0.0482178
0.1145,0.157166,-0.0717163
0.115,0.19928,-0.0869751
0.1155,0.223389,-0.0854492
0.116,0.186157,-0.0744629
0.1165,0.0674438,-0.0512695
0.117,-0.0653076,-0.0314331
0.11750000000000001,-0.160522,-0.0164795
0.11800000000000001,-0.184937,-0.00152588
0.11850000000000001,-0.188293,0.010376
0.11900000000000001,-0.180969,0.0192261
0.11950000000000001,-0.1474,0.0234985
0.12,-0.107422,0.0253296
0.1205,-0.072937,0.0253296
0.121,-0.0421143,0.0302124
0.1215,-0.0332642,0.0393677
0.122,-0.0308228,0.0436401
0.1225,-0.0375366,0.0427246
0.123,-0.050354,0.0396729
0.1235,-0.0579834,0.0366211
0.124,-0.067749,0.0259399
0.1245,-0.0637817,0.0198364
0.125,-0.0390625,0.0265503
0.1255,-0.0149536,0.0448608
0.126,0.0,0.055542
0.1265,0.0204468,0.0570679
0.127,0.0750732,0.0656128
0.1275,0.112,0.0717163
0.128,0.0747681,0.0900269
0.1285,0.0189209,0.120544
0.129,-0.0332642,0.130005
0.1295,-0.0418091,0.109863
0.13,-0.0231934,0.0741577
0.1305,0.0540161,0.0274658
0.131,0.152588,-0.0231934
0.1315,0.243835,-0.0363159
0.132,0.267334,-0.0448608
0.1325,0.183716,-0.0701904
0.133,0.0564575,-0.127563
0.1335,-0.0436401,-0.192261
0.134,-0.0900269,-0.223694
0.1345,-0.110474,-0.223694
0.135,-0.104675,-0.196533
0.1355,-0.0741577,-0.151367
0.136,-0.0527954,-0.118408
0.1365,-0.0393677,-0.0927734
0.137,-0.0302124,-0.0488281
0.1375,-0.0311279,-0.0140381
0.138,-0.0241089,0.00305176
0.1385,-0.0131226,0.0143433
0.139,-0.00701904,0.0112915
0.1395,-0.00488281,-0.00335693
0.14,0.00152588,-0.00701904
0.1405,0.00976563,-0.000610352
0.14100000000000001,0.00640869,0.00305176
0.14150000000000001,-0.000610352,0.0158691
0.14200000000000002,-0.00549316,0.0192261
0.14250000000000002,-0.00274658,0.0216675
0.14300000000000002,-0.00152588,0.0369263
0.14350000000000002,-0.000915527,0.0518799
0.14400000000000002,-0.0100708,0.0875854
0.1445,-0.0143433,0.0958252
0.145,-0.00671387,0.0897217
0.1455,0.00152588,0.0823975
0.146,0.00671387,0.0756836
0.1465,0.0125122,0.0582886
0.147,0.0231934,0.050354
0.1475,0.0137329,0.0436401
0.148,0.0115967,0.0430298
0.1485,0.0210571,0.0338745
0.149,0.0189209,0.0222778
0.1495,0.00671387,0.0177002
0.15,0.00732422,0.0256348
0.1505,0.0137329,0.0213623
0.151,0.0369263,0.00976563
0.1515,0.0753784,0.0161743
0.152,0.106201,0.0164795
0.1525,0.0689697,0.0131226
0.153,0.0201416,-0.0152588
0.1535,0.00244141,-0.0375366
0.154,-0.00579834,-0.0582886
0.1545,-0.00183105,-0.0805664
0.155,0.0158691,-0.109558
0.1555,0.0201416,-0.126648
0.156,0.00793457,-0.106506
0.1565,-0.00488281,-0.0756836
0.157,-0.0195313,-0.0457764
0.1575,-0.0357056,-0.0201416
0.158,-0.0491333,-0.00183105
0.1585,-0.0476074,0.0308228
0.159,-0.0402832,0.0662231
0.1595,-0.0317383,0.0848389
0.16,-0.0262451,0.0939941
0.1605,-0.0296021,0.100403
0.161,-0.03479,0.0991821
0.1615,-0.0454712,0.0976563
0.162,-0.0756836,0.0894165
0.1625,-0.115967,0.0738525
0.163,-0.133972,0.057373
0.1635,-0.121765,0.0582886
0.164,-0.10376,0.0579834
0.1645,-0.0854492,0.055542
0.165,-0.0646973,0.055542
0.1655,-0.038147,0.0198364
0.166,-0.0109863,-0.0204468
0.1665,0.0311279,-0.0564575
0.167,0.0631714,-0.0732422
0.1675,0.083313,-0.0939941
0.168,0.0967407,-0.114746
0.1685,0.108948,-0.122986
0.169,0.133667,-0.133972
0.1695,0.153503,-0.123291
0.17,0.156555,-0.109863
0.1705,0.1297,-0.093689
0.171,0.0708008,-0.0683594
0.1715,0.0164795,-0.0466919
0.17200000000000001,-0.0125122,-0.0259399
0.17250000000000001,-0.0170898,-0.00457764
0.17300000000000001,-0.0268555,0.0140381
0.17350000000000002,-0.0354004,0.0384521
0.17400000000000002,-0.0363159,0.0704956
0.17450000000000002,-0.0219727,0.0860596
0.17500000000000002,-0.0158691,0.090332
0.17550000000000002,-0.0375366,0.0823975
0.176,-0.0698853,0.0897217
0.1765,-0.102539,0.103455
0.177,-0.12085,0.0891113
0.1775,-0.127258,0.0680542
0.178,-0.126038,0.0421143
0.1785,-0.107117,0.00305176
0.179,-0.0790405,-0.0323486
0.1795,-0.0601196,-0.0604248
0.18,-0.0170898,-0.0793457
0.1805,0.06073,-0.085144
0.181,0.180969,-0.0970459
0.1815,0.264282,-0.102844
0.182,0.296021,-0.0854492
0.1825,0.256653,-0.0506592
0.183,0.155334,-0.00915527
0.1835,0.0448608,0.0558472
0.184,-0.0238037,0.128174
0.1845,-0.0634766,0.161743
0.185,-0.0915527,0.159912
0.1855,-0.107422,0.132446
0.186,-0.148315,0.0985718
0.1865,-0.192261,0.0515747
0.187,-0.221863,0.00152588
0.1875,-0.198059,-0.0405884
0.188,-0.145264,-0.0689697
0.1885,-0.0820923,-0.100098
0.189,-0.00915527,-0.115051
0.1895,0.0732422,-0.114136
0.19,0.109863,-0.11322
0.1905,0.072937,-0.123596
0.191,0.0189209,-0.120239
0.1915,0.010376,-0.0964355
0.192,0.0332642,-0.062561
0.1925,0.0415039,-0.043335
0.193,0.0476074,-0.0354004
0.1935,0.0628662,-0.0332642
0.194,0.0717163,-0.0268555
0.1945,0.0860596,-0.0323486
0.195,0.0869751,-0.0463867
0.1955,0.0808716,-0.0473022
0.196,0.0683594,-0.0402832
0.1965,0.057373,-0.0305176
0.197,0.0439453,-0.0140381
0.1975,0.0299072,0.0100708
0.198,0.0186157,0.0299072
0.1985,0.0100708,0.0442505
0.199,0.00640869,0.0576782
0.1995,0.00305176,0.0598145
0.2,0.000915527,0.06073
0.2005,-0.00335693,0.0521851
0.201,-0.00854492,0.0442505
0.2015,-0.0112915,0.0509644
0.202,-0.0128174,0.045166
0.2025,-0.0158691,0.0311279
0.203,-0.0195313,0.020752
0.20350000000000001,-0.0216675,0.0137329
0.20400000000000001,-0.0292969,0.0250244
0.20450000000000002,-0.0372314,0.0473022
0.20500000000000002,-0.0448608,0.0701904
0.20550000000000002,-0.0454712,0.0836182
0.20600000000000002,-0.0421143,0.0784302
0.20650000000000002,-0.0344849,0.0750732
0.20700000000000002,-0.0201416,0.0695801
0.20750000000000002,0.00488281,0.0619507
0.20800000000000002,0.0177002,0.0491333
0.2085,0.0161743,0.0292969
0.209,0.0274658,-0.0088501
0.2095,0.045166,-0.0445557
0.21,0.0531006,-0.0665283
0.2105,0.0430298,-0.0708008
0.211,0.0262451,-0.0640869
0.2115,0.00183105,-0.039978
0.212,-0.0210571,-0.00823975
0.2125,-0.0527954,0.0186157
0.213,-0.0839233,0.0344849
0.2135,-0.105896,0.0448608
0.214,-0.10437,0.0494385
0.2145,-0.0848389,0.0323486
0.215,-0.0640869,0.0152588
0.2155,-0.0500488,0.0012207
0.216,-0.0305176,-0.017395
0.2165,-0.0161743,-0.0354004
0.217,-0.0189209,-0.0582886
0.2175,-0.0222778,-0.0704956
0.218,-0.0335693,-0.0698853
0.2185,-0.0439453,-0.0646973
0.219,-0.0344849,-0.0430298
0.2195,-0.0296021,0.00244141
0.22,-0.0241089,0.0534058
0.2205,-0.00946045,0.083313
0.221,0.0146484,0.12207
0.2215,0.032959,0.154419
0.222,0.0338745,0.148926
0.2225,0.0473022,0.119019
0.223,0.072937,0.0775146
0.2235,0.120544,0.0335693
0.224,0.122681,-0.0231934
0.2245,0.0811768,-0.0930786
0.225,0.0460815,-0.140381
0.2255,0.0527954,-0.187378
0.226,0.108948,-0.245667
0.2265,0.190735,-0.264587
0.227,0.231323,-0.231628
0.2275,0.19989,-0.185242
0.228,0.0741577,-0.153503
0.2285,-0.085144,-0.133362
0.229,-0.161438,-0.10376
0.2295,-0.193176,-0.0759888
0.23,-0.203552,-0.0323486
0.2305,-0.176086,0.00976563
0.231,-0.134583,0.0366211
0.2315,-0.102539,0.0546265
0.232,-0.0714111,0.0848389
0.2325,-0.0494385,0.108337
0.233,-0.0402832,0.121155
0.2335,-0.0317383,0.114136
0.234,-0.0219727,0.0949097
0.23450000000000001,-0.0088501,0.0701904
0.23500000000000001,0.00152588,0.0466919
0.23550000000000001,0.00762939,0.0247192
0.23600000000000002,0.0219727,0.0152588
0.23650000000000002,0.0476074,0.0088501
0.23700000000000002,0.0662231,-0.00335693
0.23750000000000002,0.0759888,0.00823975
0.23800000000000002,0.0769043,0.0204468
0.23850000000000002,0.0656128,0.0265503
0.23900000000000002,0.050354,0.039978
0.23950000000000002,0.0421143,0.0463867
0.24,0.0366211,0.0598145
0.2405,0.0424194,0.0714111
0.241,0.0622559,0.0790405
0.2415,0.0576782,0.0881958
0.242,0.0476074,0.0942993
0.2425,0.0378418,0.0802612
0.243,0.0378418,0.0689697
0.2435,0.0408936,0.055542
0.244,0.0564575,0.0265503
0.2445,0.0802612,-0.00488281
0.245,0.108337,-0.027771
0.2455,0.128784,-0.0463867
0.246,0.109253,-0.0540161
0.2465,0.0280762,-0.0558472
0.247,-0.0662231,-0.0494385
0.2475,-0.142517,-0.0274658
0.248,-0.200195,0.00732422
0.2485,-0.232239,0.0271606
0.249,-0.246887,0.0549316
0.2495,-0.236511,0.0857544
0.25,-0.206604,0.0979614
0.2505,-0.167542,0.100403
0.251,-0.123596,0.111694
0.2515,-0.0784302,0.0848389
0.252,-0.039978,0.0540161
0.2525,-0.0177002,0.0564575
0.253,0.00396729,0.0601196
0.2535,0.0271606,0.0088501
0.254,0.043335,-0.0445557
0.2545,0.0512695,-0.0924683
0.255,0.0543213,-0.147705
0.2555,0.0588989,-0.22644
0.256,0.0610352,-0.294189
0.2565,0.0598145,-0.325928
0.257,0.0613403,-0.318298
0.2575,0.0628662,-0.306396
0.258,0.0582886,-0.271606
0.2585,0.0442505,-0.216064
0.259,0.0320435,-0.187378
0.2595,0.0216675,-0.117798
0.26,-0.00366211,-0.0393677
0.2605,-0.0289917,0.0564575
0.261,-0.0531006,0.1651
0.2615,-0.0665283,0.244446
0.262,-0.0698853,0.264893
0.2625,-0.0653076,0.26123
0.263,-0.0650024,0.236511
0.2635,-0.0543213,0.194702
0.264,-0.0469971,0.161743
0.2645,-0.0256348,0.132141
0.265,0.0152588,0.088501
0.2655,0.0534058,0.0274658
0.266,0.0924683,-0.010376
0.2665,0.116272,-0.0286865
0.267,0.122986,-0.0469971
0.2675,0.132446,-0.0549316
0.268,0.160828,-0.055542
0.2685,0.201721,-0.0369263
0.269,0.233765,-0.010376
0.2695,0.238953,0.00732422
0.27,0.209351,0.0201416
0.2705,0.121155,0.0262451
0.271,0.0500488,0.0253296
0.2715,0.00915527,0.0317383
0.272,-0.0402832,0.0354004
0.2725,-0.0805664,0.0350952
0.273,-0.0927734,0.0335693
0.2735,-0.0982666,0.0302124
0.274,-0.111694,0.0244141
0.2745,-0.117798,0.0186157
0.275,-0.119629,0.0137329
0.2755,-0.121765,0.00579834
0.276,-0.135498,0.000610352
0.2765,-0.143738,0.00640869
0.277,-0.140076,0.0213623
0.2775,-0.125732,0.0350952
0.278,-0.104065,0.0372314
0.2785,-0.0790405,0.0384521
0.279,-0.0463867,0.0344849
0.2795,-0.0109863,0.0280762
0.28,0.0253296,0.0201416
0.2805,0.0500488,0.00762939
0.281,0.0869751,-0.00366211
0.28150000000000003,0.143433,-0.0274658
0.28200000000000003,0.151367,-0.0460815
0.28250000000000003,0.0744629,-0.0509644
0.28300000000000003,-0.0112915,-0.0454712
0.28350000000000003,-0.038147,-0.0350952
0.28400000000000003,-0.0500488,-0.0262451
0.28450000000000003,-0.0643921,-0.0183105
0.28500000000000003,-0.0799561,0.00244141
0.28550000000000003,-0.0747681,0.012207
0.28600000000000003,-0.0637817,0.0363159
0.28650000000000003,-0.0415039,0.0582886
0.28700000000000003,-0.00244141,0.0616455
0.28750000000000003,0.0344849,0.0436401
0.28800000000000003,0.0454712,0.0231934
0.2885,0.0317383,-0.0146484
0.289,0.0210571,-0.0585938
0.2895,0.00518799,-0.0909424
0.29,-0.00427246,-0.115051
0.2905,-0.00305176,-0.136414
0.291,-0.00640869,-0.133972
0.2915,-0.00244141,-0.126038
0.292,0.00762939,-0.11322
0.2925,0.0119019,-0.0875854
0.293,0.017395,-0.065918
0.2935,0.0439453,-0.0427246
0.294,0.067749,-0.00274658
0.2945,0.0744629,0.0286865
0.295,0.0628662,0.0521851
0.2955,0.0479126,0.0695801
0.296,0.0259399,0.0823975
