Time (s),Tricep,Shoulder
0.0,0.0387573,-0.0756836
0.0005,0.0283813,-0.201721
0.001,-0.00732422,-0.30365
0.0015,-0.0320435,-0.319519
0.002,-0.0466919,-0.299683
0.0025,-0.0326538,-0.258484
0.003,0.00152588,-0.180664
0.0035,0.0213623,-0.0805664
0.004,0.0137329,0.03479
0.0045000000000000005,-0.00152588,0.134888
0.005,-0.00335693,0.230713
0.0055,-0.00701904,0.318604
0.006,-0.010376,0.378418
0.006500000000000001,-0.0119019,0.44281
0.007,-0.0198364,0.50354
0.0075,-0.0341797,0.50415
0.008,-0.0482178,0.423584
0.0085,-0.0442505,0.333862
0.009000000000000001,-0.0439453,0.176697
0.0095,-0.0570679,0.0109863
0.01,-0.0598145,-0.0637817
0.0105,-0.0650024,-0.0576782
0.011,-0.071106,-0.0210571
0.0115,-0.0387573,-0.017395
0.012,0.0393677,-0.0582886
0.0125,0.137939,-0.088501
0.013000000000000001,0.123291,-0.119934
0.0135,0.0772095,-0.110779
0.014,0.0588989,-0.088501
0.0145,0.0778198,-0.104065
0.015,0.140381,-0.101929
0.0155,0.13092,-0.0775146
0.016,0.0552368,-0.0436401
0.0165,-0.00366211,-0.0170898
0.017,-0.0238037,-0.0143433
0.0175,-0.0183105,-0.00579834
0.018000000000000002,-0.0354004,0.0146484
0.0185,-0.0299072,0.0265503
0.019,-0.0106812,0.0305176
0.0195,0.00793457,0.00915527
0.02,0.00762939,-0.0128174
0.0205,-0.0164795,-0.0509644
0.021,-0.0411987,-0.0720215
0.021500000000000002,-0.0115967,-0.0463867
0.022,0.0192261,-0.0390625
0.0225,0.0363159,-0.0494385
0.023,0.0219727,-0.0360107
0.0235,0.00305176,-0.0265503
0.024,0.00671387,-0.0354004
0.0245,0.0189209,-0.0482178
0.025,0.0198364,-0.0762939
0.025500000000000002,0.0177002,-0.0921631
0.026000000000000002,0.010376,-0.0363159
0.0265,0.00152588,0.0326538
0.027,-0.00915527,0.101318
0.0275,-0.0180054,0.131531
0.028,-0.0228882,0.104065
0.0285,-0.0250244,0.0695801
0.029,-0.0244141,0.0692749
0.029500000000000002,-0.0228882,0.0845337
0.03,-0.0204468,0.0946045
0.0305,-0.0183105,0.0872803
0.031,-0.0134277,0.050354
0.0315,-0.00946045,0.0204468
0.032,-0.00488281,0.000305176
0.0325,-0.00701904,-0.0100708
0.033,-0.0088501,-0.022583
0.0335,-0.00518799,-0.043335
0.034,-0.0106812,-0.0592041
0.0345,-0.0271606,-0.0732422
0.035,-0.0482178,-0.0814819
0.035500000000000004,-0.0698853,-0.0552368
0.036000000000000004,-0.0930786,-0.00976563
0.0365,-0.118103,0.0268555
0.037,-0.11261,0.0491333
0.0375,-0.108032,0.0802612
0.038,-0.078125,0.0784302
0.0385,-0.0689697,0.083313
0.039,-0.121155,0.101929
0.0395,-0.130005,0.0973511
0.04,-0.0454712,0.0708008
0.0405,-0.06073,0.0363159
0.041,-0.0479126,0.00396729
0.0415,0.0177002,-0.0375366
0.042,0.0927734,-0.0772095
0.0425,0.145569,-0.0790405
0.043000000000000003,0.195007,-0.083313
0.043500000000000004,0.323181,-0.0830078
0.044,0.46814,-0.0823975
0.0445,0.49469,-0.110474
0.045,0.389404,-0.13855
0.0455,0.183716,-0.148621
0.046,0.0100708,-0.164795
0.0465,-0.0808716,-0.144653
0.047,-0.115051,-0.10437
0.0475,-0.111084,-0.0796509
0.048,-0.101318,-0.0808716
0.0485,-0.0961304,-0.0973511
0.049,-0.078125,-0.0753784
0.0495,-0.0375366,-0.0210571
0.05,-0.00396729,0.0296021
0.0505,0.0369263,0.0350952
0.051000000000000004,0.0909424,0.0152588
0.051500000000000004,0.0805664,-0.00976563
0.052000000000000005,-0.0213623,-0.00823975
0.0525,-0.0872803,0.0189209
0.053,-0.103149,0.0216675
0.0535,-0.113525,0.0170898
0.054,-0.122986,0.0112915
0.0545,-0.0991821,0.0253296
0.055,0.0250244,0.071106
0.0555,0.0442505,0.0924683
0.056,-0.0598145,0.110474
0.0565,-0.106812,0.134888
0.057,-0.078125,0.155029
0.0575,-0.0683594,0.168457
0.058,-0.0747681,0.147095
0.0585,-0.0726318,0.119324
0.059000000000000004,-0.098877,0.104065
0.059500000000000004,-0.0976563,0.119934
0.06,-0.00610352,0.141602
0.0605,0.128174,0.0814819
