Time (s),Tricep,Shoulder
0.0,0.00640869,-0.0717163
0.0005,-0.0231934,-0.150757
0.001,-0.0350952,-0.124512
0.0015,-0.0390625,-0.108032
0.002,-0.0415039,-0.140381
0.0025,-0.0415039,-0.112305
0.003,-0.0415039,-0.0228882
0.0035,-0.0408936,0.0524902
0.004,-0.0326538,0.0247192
0.0045000000000000005,-0.0219727,-0.0613403
0.005,-0.0189209,-0.174561
0.0055,-0.0219727,-0.284119
0.006,-0.0238037,-0.383301
0.006500000000000001,-0.0222778,-0.401611
0.007,-0.0164795,-0.308228
0.0075,-0.0244141,-0.192261
0.008,-0.022583,-0.128479
0.0085,-0.015564,-0.157166
0.009000000000000001,-0.00854492,-0.322571
0.0095,-0.0366211,-0.472717
0.01,-0.0732422,-0.41748
0.0105,-0.11322,-0.167542
0.011,-0.111694,0.108643
0.0115,-0.0546265,0.265808
0.012,0.000915527,0.245361
0.0125,0.0216675,0.179749
0.013000000000000001,0.0152588,0.177917
0.0135,-0.0491333,0.192566
0.014,0.0552368,0.184021
0.0145,0.180664,0.179138
0.015,0.197754,0.177612
0.0155,0.229797,0.141907
0.016,0.19104,0.0823975
0.0165,0.169678,0.0473022
0.017,0.196533,0.0546265
0.0175,0.137024,0.0827026
0.018000000000000002,0.0228882,0.130615
0.0185,-0.0704956,0.161743
0.019,-0.105286,0.0976563
0.0195,-0.114136,0.0320435
0.02,-0.115662,0.00396729
0.0205,-0.114441,0.00854492
0.021,-0.0964355,0.0415039
0.021500000000000002,-0.015564,0.0775146
0.022,0.0946045,0.13092
0.0225,0.143433,0.174255
0.023,0.185852,0.204163
0.0235,0.232544,0.201721
0.024,0.198975,0.112915
0.0245,0.0598145,-0.000610352
0.025,-0.0823975,-0.0985718
0.025500000000000002,-0.162659,-0.146484
0.026000000000000002,-0.189514,-0.213928
0.0265,-0.192871,-0.240479
0.027,-0.171204,-0.157776
0.0275,-0.136414,-0.03479
0.028,-0.113525,0.0662231
0.0285,-0.105896,0.124512
0.029,-0.093689,0.146484
0.029500000000000002,-0.0723267,0.151978
0.03,-0.0579834,0.140076
0.0305,-0.0253296,0.132141
0.031,0.0180054,0.102539
0.0315,0.0421143,0.0531006
0.032,0.0317383,0.00457764
0.0325,0.0195313,-0.0802612
0.033,0.010376,-0.177612
0.0335,0.0119019,-0.26886
0.034,0.0161743,-0.31189
0.0345,0.010376,-0.303955
0.035,-0.00305176,-0.273743
0.035500000000000004,-0.0192261,-0.20752
0.036000000000000004,-0.0424194,-0.154114
0.0365,-0.0576782,-0.111694
0.037,-0.0842285,-0.0582886
0.0375,-0.0964355,0.0390625
0.038,-0.102234,0.127869
0.0385,-0.10376,0.227051
0.039,-0.0802612,0.327148
0.0395,-0.0543213,0.397949
0.04,-0.00762939,0.424805
0.0405,0.0509644,0.367432
0.041,0.124512,0.256958
0.0415,0.142517,0.159607
0.042,0.093689,0.107117
0.0425,0.0302124,0.0778198
0.043000000000000003,0.0265503,0.000915527
0.043500000000000004,0.0314331,-0.127869
0.044,0.0195313,-0.264587
0.0445,-0.00793457,-0.340881
0.045,-0.0335693,-0.323486
0.0455,-0.0506592,-0.267029
0.046,-0.00701904,-0.241394
0.0465,0.154419,-0.293884
0.047,0.211792,-0.324097
0.0475,0.134888,-0.239868
0.048,0.0482178,-0.123596
0.0485,0.0213623,-0.0372314
0.049,0.0454712,-0.00823975
0.0495,0.0802612,0.00854492
0.05,0.0518799,0.0222778
0.0505,0.00701904,0.0604248
0.051000000000000004,-0.0167847,0.117798
0.051500000000000004,-0.0317383,0.179138
0.052000000000000005,-0.0320435,0.2771
0.0525,-0.0241089,0.378113
0.053,-0.0204468,0.456238
0.0535,-0.0192261,0.480347
0.054,-0.0189209,0.453491
0.0545,-0.0115967,0.378113
0.055,-0.0161743,0.315247
0.0555,-0.0442505,0.269165
0.056,-0.0845337,0.223083
0.0565,-0.117188,0.162964
0.057,-0.143127,0.0772095
0.0575,-0.140991,-0.067749
0.058,-0.162354,-0.16449
0.0585,-0.193176,-0.177002
0.059000000000000004,-0.26062,-0.229797
0.059500000000000004,-0.291748,-0.300903
0.06,-0.302734,-0.349426
0.0605,-0.274048,-0.289612
0.061,-0.156555,-0.271301
0.0615,0.00396729,-0.274353
0.062,0.158081,-0.295105
0.0625,0.162354,-0.369873
0.063,0.257568,-0.436707
0.0635,0.474548,-0.614929
0.064,0.630188,-0.731812
0.0645,0.595093,-0.660706
0.065,0.424194,-0.532227
0.0655,0.299072,-0.430603
0.066,0.140076,-0.397339
0.0665,-0.00579834,-0.368958
0.067,-0.0814819,-0.2948
0.0675,-0.0579834,-0.105896
0.068,-0.015564,0.0613403
0.0685,0.00305176,0.135803
0.069,0.00335693,0.115051
0.0695,-0.00732422,0.0799561
0.07,-0.0390625,0.0723267
0.07050000000000001,-0.0839233,0.108337
0.07100000000000001,-0.0912476,0.196838
0.07150000000000001,-0.055542,0.313416
0.07200000000000001,-0.00946045,0.420532
0.0725,0.00274658,0.507202
0.073,0.00823975,0.571899
0.0735,-0.0119019,0.601807
0.074,-0.0604248,0.60791
0.0745,-0.134277,0.615234
0.075,-0.169373,0.598755
0.0755,-0.154724,0.540161
0.076,-0.117493,0.391846
0.0765,-0.0906372,0.191956
0.077,-0.0811768,0.0152588
0.0775,-0.083313,-0.0619507
0.078,-0.0723267,-0.0668335
0.0785,-0.0595093,-0.0488281
0.079,-0.0695801,-0.0390625
0.0795,-0.083313,-0.0320435
0.08,-0.0976563,-0.00396729
0.0805,-0.12207,0.0164795
0.081,-0.133667,0.0363159
0.0815,-0.0662231,0.0585938
0.082,0.0378418,0.0839233
0.0825,0.0317383,0.12085
0.083,-0.0189209,0.161133
0.0835,-0.0640869,0.168457
0.084,-0.0747681,0.143738
0.0845,-0.0732422,0.0769043
0.085,-0.00213623,0.0494385
0.0855,0.160217,0.0360107
0.08600000000000001,0.267639,-0.00488281
0.08650000000000001,0.265503,-0.0628662
0.08700000000000001,0.201111,-0.111389
0.08750000000000001,0.16449,-0.143127
0.088,0.110168,-0.128784
0.0885,0.0723267,-0.117493
0.089,0.0436401,-0.0973511
0.0895,0.0244141,-0.0750732
0.09,0.0115967,-0.0387573
0.0905,0.00823975,-0.0350952
0.091,0.00488281,-0.0769043
0.0915,-0.0088501,-0.110474
0.092,-0.0274658,-0.151367
0.0925,-0.0418091,-0.180054
0.093,-0.0497437,-0.211487
0.0935,-0.0515747,-0.237732
0.094,-0.0485229,-0.205994
0.0945,-0.045166,-0.154419
0.095,-0.0418091,-0.126648
0.0955,-0.0363159,-0.0622559
0.096,-0.0299072,0.015564
0.0965,-0.0204468,0.039978
0.097,-0.0146484,0.0265503
0.0975,-0.0088501,-0.0161743
0.098,-0.00457764,-0.111389
0.0985,0.000305176,-0.159302
0.099,0.00579834,-0.131531
0.0995,0.00579834,-0.13855
0.1,0.000610352,-0.150452
0.1005,-0.00427246,-0.135498
0.101,-0.00335693,-0.114441
0.1015,0.0,-0.0445557
0.10200000000000001,0.0,0.00732422
0.10250000000000001,-0.00396729,0.0656128
0.10300000000000001,-0.00488281,0.11261
0.10350000000000001,-0.0222778,0.112915
0.10400000000000001,-0.0457764,0.0872803
0.1045,-0.0631714,0.0418091
0.105,-0.0750732,0.0131226
0.1055,-0.0869751,-0.00305176
0.106,-0.105591,-0.0177002
0.1065,-0.152283,-0.027771
0.107,-0.181885,-0.0201416
0.1075,-0.197144,0.0466919
0.108,-0.110779,0.140381
0.1085,0.0717163,0.219116
0.109,0.116577,0.291443
