Time (s),Tricep,Shoulder
0.0,-0.0744629,-0.03479
0.0005,-0.0445557,-0.0375366
0.001,0.00976563,-0.0354004
0.0015,0.0744629,-0.0396729
0.002,0.127563,-0.0411987
0.0025,0.160522,-0.0317383
0.003,0.163269,-0.0271606
0.0035,0.139771,-0.0256348
0.004,0.124817,-0.0268555
0.0045000000000000005,0.123291,-0.0244141
0.005,0.133057,-0.0244141
0.0055,0.148621,-0.0231934
0.006,0.194397,-0.022583
0.006500000000000001,0.212402,-0.0222778
0.007,0.162048,-0.0201416
0.0075,0.0775146,-0.0149536
0.008,0.0320435,-0.00152588
0.0085,0.017395,0.00396729
0.009000000000000001,-0.00610352,0.00579834
0.0095,0.000610352,0.00427246
0.01,0.0411987,0.00152588
0.0105,0.0500488,-0.0012207
0.011,0.0256348,-0.00366211
0.0115,-0.0012207,-0.00427246
0.012,-0.017395,0.00213623
0.0125,-0.0280762,0.00732422
0.013000000000000001,-0.0317383,0.0088501
0.0135,-0.0305176,0.00946045
0.014,-0.0299072,0.0146484
0.0145,-0.0350952,0.0186157
0.015,-0.0466919,0.0256348
0.0155,-0.0469971,0.0302124
0.016,-0.0543213,0.0292969
0.0165,-0.0747681,0.0265503
0.017,-0.20874,0.032959
0.0175,-0.357056,0.0491333
0.018000000000000002,-0.42572,0.0500488
0.0185,-0.471497,0.0552368
0.019,-0.468445,0.0656128
0.0195,-0.375061,0.067749
0.02,-0.270081,0.0466919
0.0205,-0.109863,0.0274658
0.021,0.0408936,0.027771
0.021500000000000002,0.294495,0.0408936
0.022,0.53009,0.0732422
0.0225,0.335083,0.146484
0.023,0.0210571,0.124207
0.0235,-0.125122,0.102234
0.024,-0.183411,0.0186157
0.0245,-0.022583,0.0222778
0.025,0.379639,-0.0390625
0.025500000000000002,0.813904,-0.0689697
0.026000000000000002,1.06354,-0.109863
0.0265,0.949097,-0.158386
0.027,0.557556,-0.158081
0.0275,0.142822,-0.154724
0.028,-0.00518799,-0.157471
0.0285,0.0112915,-0.195618
0.029,0.0802612,-0.238342
0.029500000000000002,0.065918,-0.261841
0.03,0.0360107,-0.247192
0.0305,0.0552368,-0.248718
0.031,0.0808716,-0.25177
0.0315,0.00671387,-0.23407
0.032,-0.146179,-0.184021
0.0325,-0.240173,-0.140686
0.033,-0.274048,-0.098877
0.0335,-0.266418,-0.0476074
0.034,-0.238647,0.00213623
0.0345,-0.215149,0.0378418
0.035,-0.204163,0.071106
0.035500000000000004,-0.206604,0.0991821
0.036000000000000004,-0.198059,0.119934
0.0365,-0.184021,0.137939
0.037,-0.180359,0.14801
0.0375,-0.164795,0.152893
0.038,-0.149841,0.152283
0.0385,-0.123291,0.150146
0.039,-0.0894165,0.151978
0.0395,-0.0775146,0.152283
0.04,-0.132446,0.149231
0.0405,-0.22522,0.138855
0.041,-0.335083,0.133057
0.0415,-0.575867,0.133362
0.042,-0.845337,0.127869
0.0425,-1.08429,0.110474
0.043000000000000003,-1.19202,0.0894165
0.043500000000000004,-1.17493,0.0772095
0.044,-0.975037,0.0668335
0.0445,-0.68512,0.0628662
0.045,-0.255432,0.0546265
0.0455,0.584717,0.03479
0.046,1.85333,0.00305176
0.0465,2.19788,0.000610352
0.047,2.03918,0.020752
0.0475,1.52161,0.0280762
0.048,0.957642,0.00366211
0.0485,0.717163,-0.0317383
0.049,0.627136,-0.0454712
0.0495,0.440674,-0.0466919
0.05,0.269165,-0.0357056
0.0505,0.170898,-0.0250244
0.051000000000000004,0.0970459,-0.020752
0.051500000000000004,0.0375366,-0.0292969
0.052000000000000005,0.0,-0.0369263
0.0525,-0.0177002,-0.0439453
0.053,-0.0524902,-0.0500488
0.0535,-0.118713,-0.0500488
0.054,-0.187073,-0.0457764
0.0545,-0.233765,-0.0360107
0.055,-0.270081,-0.0280762
0.0555,-0.301514,-0.015564
0.056,-0.34668,-0.00549316
0.0565,-0.384216,0.0012207
0.057,-0.398865,0.00732422
0.0575,-0.402222,0.0134277
0.058,-0.357971,0.017395
0.0585,-0.270386,0.0213623
0.059000000000000004,-0.228577,0.0280762
0.059500000000000004,-0.223694,0.0317383
0.06,-0.235291,0.0299072
0.0605,-0.177307,0.0292969
0.061,-0.112915,0.0268555
0.0615,-0.0976563,0.0204468
0.062,-0.090332,0.0170898
0.0625,-0.0671387,0.0201416
0.063,-0.0305176,0.0213623
0.0635,-0.0195313,0.020752
0.064,-0.0088501,0.0143433
0.0645,-0.00793457,0.00427246
0.065,-0.0402832,-0.00244141
0.0655,-0.0524902,-0.00335693
0.066,-0.0390625,-0.0128174
0.0665,-0.0326538,-0.0247192
0.067,-0.0244141,-0.0286865
0.0675,0.0186157,-0.0280762
0.068,0.0546265,-0.0326538
0.0685,0.0900269,-0.0332642
0.069,0.103149,-0.0305176
0.0695,0.112,-0.0289917
0.07,0.110168,-0.027771
0.07050000000000001,0.103455,-0.0274658
0.07100000000000001,0.0845337,-0.0262451
0.07150000000000001,0.0390625,-0.0280762
0.07200000000000001,-0.00457764,-0.0292969
0.0725,-0.0265503,-0.0317383
0.073,-0.0372314,-0.027771
0.0735,-0.0393677,-0.0241089
0.074,-0.0393677,-0.0228882
0.0745,-0.0454712,-0.0195313
0.075,-0.0402832,-0.0201416
0.0755,-0.0576782,-0.0213623
0.076,-0.0827026,-0.0204468
0.0765,-0.109558,-0.0170898
0.077,-0.108032,-0.0158691
0.0775,-0.0872803,-0.0170898
0.078,-0.0564575,-0.0152588
0.0785,-0.0283813,-0.0137329
0.079,0.0,-0.0134277
0.0795,0.0323486,-0.0161743
0.08,0.0744629,-0.0180054
0.0805,0.115662,-0.0231934
0.081,0.132751,-0.0326538
0.0815,0.17334,-0.0360107
0.082,0.19989,-0.0393677
0.0825,0.225525,-0.0088501
0.083,0.260315,-0.015564
0.0835,0.242004,0.0012207
0.084,0.17334,0.0106812
0.0845,0.0900269,0.00976563
0.085,0.00366211,0.0308228
0.0855,-0.0198364,0.039978
0.08600000000000001,-0.0152588,0.0299072
0.08650000000000001,-0.0222778,0.0152588
