Time (s),Tricep,Shoulder
0.0,-0.137939,0.155945
0.0005,-0.114441,0.0888062
0.001,-0.0979614,0.0546265
0.0015,-0.0949097,0.0253296
0.002,-0.10376,-0.0149536
0.0025,-0.120239,-0.0363159
0.003,-0.119629,-0.00488281
0.0035,-0.110474,-0.015564
0.004,-0.110779,-0.0549316
0.0045000000000000005,-0.109863,-0.0668335
0.005,-0.112,-0.00610352
0.0055,-0.123901,0.0567627
0.006,-0.144348,0.0881958
0.006500000000000001,-0.119629,0.11322
0.007,-0.0680542,0.145569
0.0075,-0.072937,0.1828
0.008,-0.067749,0.222168
0.0085,-0.00274658,0.216675
0.009000000000000001,0.0442505,0.147705
0.0095,0.0308228,0.0860596
0.01,0.015564,0.0823975
0.0105,0.0442505,0.0405884
0.011,0.0354004,-0.0448608
0.0115,-0.0112915,-0.107422
0.012,-0.0411987,-0.1474
0.0125,-0.118713,-0.195618
0.013000000000000001,-0.178528,-0.236816
0.0135,-0.17334,-0.227051
0.014,-0.122681,-0.206909
0.0145,-0.0631714,-0.197754
0.015,0.0717163,-0.135498
0.0155,0.25177,-0.0613403
0.016,0.35675,0.0234985
0.0165,0.402222,0.0939941
0.017,0.326843,0.157166
0.0175,0.191345,0.188293
0.018000000000000002,0.0653076,0.17395
0.0185,-0.0238037,0.145569
0.019,-0.0427246,0.116272
0.0195,-0.039978,0.0793457
0.02,-0.0424194,0.0247192
0.0205,-0.0430298,-0.0405884
0.021,-0.0302124,-0.0671387
0.021500000000000002,-0.0186157,-0.0665283
0.022,-0.0152588,-0.0708008
0.0225,-0.00762939,-0.0817871
0.023,-0.0238037,-0.0772095
0.0235,-0.0357056,-0.00732422
0.024,-0.03479,0.0836182
0.0245,-0.03479,0.098877
0.025,-0.0323486,0.0714111
0.025500000000000002,-0.0292969,0.0637817
0.026000000000000002,-0.0274658,0.0326538
0.0265,-0.0186157,0.0314331
0.027,-0.00823975,0.0640869
0.0275,-0.0128174,0.101013
0.028,-0.0247192,0.0942993
0.0285,-0.0387573,0.0454712
0.029,-0.0708008,0.00335693
0.029500000000000002,-0.112305,0.0
0.03,-0.141296,-0.0256348
0.0305,-0.117188,-0.0720215
0.031,-0.0543213,-0.105286
0.0315,-0.0332642,-0.114441
0.032,-0.0311279,-0.105591
0.0325,-0.0195313,-0.111084
0.033,-0.00488281,-0.107422
0.0335,0.00183105,-0.0872803
0.034,0.13092,-0.0378418
0.0345,0.333252,-0.00610352
0.035,0.267639,0.0228882
0.035500000000000004,0.108948,0.06073
0.036000000000000004,0.012207,0.144653
0.0365,-0.0540161,0.194702
0.037,-0.072937,0.177612
0.0375,-0.0161743,0.159302
0.038,0.0292969,0.168762
0.0385,0.0228882,0.133667
0.039,-0.0466919,0.0765991
0.0395,-0.117188,0.0210571
0.04,-0.102539,-0.0137329
0.0405,-0.045166,-0.0366211
0.041,-0.0192261,-0.0564575
0.0415,0.00152588,-0.0909424
0.042,0.0592041,-0.0897217
0.0425,0.108337,-0.032959
0.043000000000000003,0.114441,0.0140381
0.043500000000000004,0.0970459,0.015564
0.044,0.078125,-0.0180054
0.0445,0.0634766,-0.0610352
0.045,0.0592041,-0.0842285
0.0455,0.0186157,-0.0912476
0.046,-0.0289917,-0.0708008
0.0465,-0.0234985,-0.0390625
0.047,0.0314331,-0.0164795
0.0475,-0.000305176,0.0152588
0.048,-0.038147,-0.0268555
0.0485,-0.0177002,-0.122986
0.049,0.00854492,-0.132446
0.0495,0.0244141,-0.11261
0.05,0.00793457,-0.127258
0.0505,-0.0268555,-0.164795
0.051000000000000004,-0.0515747,-0.150452
0.051500000000000004,-0.0582886,-0.108337
0.052000000000000005,-0.0640869,-0.0973511
0.0525,-0.0787354,-0.0942993
0.053,-0.0775146,-0.0765991
0.0535,-0.0408936,-0.0604248
0.054,0.0424194,-0.020752
0.0545,0.0769043,0.0216675
0.055,0.0610352,0.0463867
0.0555,-0.0161743,0.0613403
0.056,-0.0640869,0.0637817
0.0565,-0.0262451,0.0814819
0.057,0.0109863,0.0866699
0.0575,-0.00427246,0.102844
0.058,-0.010376,0.108948
0.0585,-0.0494385,0.10376
0.059000000000000004,-0.0854492,0.116882
0.059500000000000004,-0.124207,0.103149
0.06,-0.127869,0.0900269
0.0605,-0.129395,0.071106
0.061,-0.136108,0.045166
0.0615,-0.104065,-0.0125122
0.062,-0.0683594,-0.0366211
0.0625,-0.057373,-0.0195313
0.063,-0.0869751,-0.027771
0.0635,-0.0253296,-0.0152588
0.064,0.0567627,0.0628662
0.0645,0.116882,0.139465
0.065,0.266418,0.209045
0.0655,0.318298,0.263977
0.066,0.278015,0.274658
0.0665,0.204163,0.228271
0.067,0.169373,0.170288
0.0675,0.151062,0.0842285
0.068,0.135498,-0.0311279
0.0685,0.0695801,-0.0848389
0.069,-0.0494385,-0.0738525
0.0695,-0.193176,-0.0793457
0.07,-0.286255,-0.14801
0.07050000000000001,-0.298767,-0.19989
0.07100000000000001,-0.236511,-0.206604
0.07150000000000001,-0.136719,-0.184021
0.07200000000000001,-0.137634,-0.153809
0.0725,-0.0653076,-0.115662
0.073,0.255737,-0.111389
0.0735,0.480957,-0.101013
0.074,0.532837,-0.0744629
0.0745,0.37384,-0.0305176
0.075,0.187073,-0.0448608
0.0755,0.0396729,-0.0817871
0.076,-0.0549316,-0.0576782
0.0765,-0.0698853,-0.0012207
0.077,-0.0872803,0.0112915
0.0775,-0.10437,0.027771
0.078,-0.115967,-0.015564
0.0785,-0.123291,-0.0588989
0.079,-0.120544,-0.0952148
0.0795,-0.104675,-0.0964355
0.08,-0.0952148,-0.0524902
0.0805,-0.106812,0.0473022
0.081,-0.123901,0.119934
0.0815,-0.131836,0.165405
0.082,-0.108337,0.235901
0.0825,-0.112,0.286255
0.083,-0.126648,0.284729
0.0835,-0.121765,0.249634
0.084,-0.0802612,0.1828
0.0845,-0.0634766,0.121155
0.085,-0.0134277,0.0726318
0.0855,0.0268555,0.0131226
0.08600000000000001,0.0421143,-0.0668335
0.08650000000000001,0.134583,-0.113525
0.08700000000000001,0.145569,-0.136719
0.08750000000000001,0.0894165,-0.149231
0.088,0.0198364,-0.15686
0.0885,-0.022583,-0.158691
0.089,-0.0360107,-0.160828
0.0895,-0.0219727,-0.130005
0.09,-0.0326538,-0.136108
0.0905,-0.0765991,-0.165405
0.091,-0.124207,-0.195923
0.0915,-0.136414,-0.225525
0.092,-0.136414,-0.255127
0.0925,-0.0836182,-0.212708
0.093,0.0161743,-0.0976563
0.0935,0.0338745,0.00762939
0.094,-0.0445557,0.0799561
0.0945,-0.0445557,0.105896
0.095,0.0411987,0.116882
0.0955,0.144653,0.126953
0.096,0.230408,0.0912476
0.0965,0.256958,0.0354004
0.097,0.225525,0.0149536
0.0975,0.183105,0.03479
0.098,0.115662,0.0500488
0.0985,0.0576782,0.0604248
0.099,0.0250244,0.0531006
0.0995,0.00579834,0.0280762
0.1,-0.00488281,-0.0115967
0.1005,-0.0369263,0.00610352
0.101,-0.0570679,0.0372314
0.1015,-0.0582886,0.0515747
0.10200000000000001,-0.0598145,0.0927734
0.10250000000000001,-0.0671387,0.127258
0.10300000000000001,-0.0738525,0.136108
0.10350000000000001,-0.10437,0.145874
0.10400000000000001,-0.134888,0.0958252
0.1045,-0.0854492,0.038147
0.105,-0.0222778,0.0372314
0.1055,-0.0115967,0.0695801
0.106,-0.0384521,0.0830078
0.1065,-0.0619507,0.0820923
0.107,-0.0271606,0.100098
0.1075,0.0280762,0.0442505
0.108,0.0588989,-0.0521851
0.1085,0.0683594,-0.10437
0.109,0.0570679,-0.105591
0.1095,0.055542,-0.0872803
0.11,0.0299072,-0.0582886
0.1105,0.0350952,-0.0231934
0.111,0.0875854,0.00549316
0.1115,0.179138,0.00549316
0.112,0.143738,0.00518799
0.1125,0.0759888,0.0238037
0.113,0.0192261,0.0628662
0.1135,0.0143433,0.111084
0.114,-0.017395,0.146179
0.1145,-0.0378418,0.115662
0.115,-0.0274658,0.0540161
0.1155,-0.0192261,-0.00396729
0.116,-0.0280762,-0.0537109
0.1165,-0.0314331,-0.0839233
0.117,-0.0262451,-0.0793457
0.11750000000000001,-0.0289917,-0.0915527
0.11800000000000001,-0.0506592,-0.125122
0.11850000000000001,-0.0650024,-0.121155
0.11900000000000001,-0.0714111,-0.0854492
0.11950000000000001,-0.0817871,-0.0158691
0.12,-0.0909424,0.0396729
0.1205,-0.083313,0.0454712
0.121,-0.0811768,0.0302124
0.1215,-0.0735474,-0.00457764
0.122,-0.0686646,-0.0350952
0.1225,-0.000305176,-0.0616455
0.123,0.045166,-0.10498
0.1235,0.0271606,-0.137024
0.124,0.010376,-0.118408
0.1245,-0.0280762,-0.078125
0.125,-0.107727,-0.0296021
0.1255,-0.162048,0.0158691
0.126,-0.155029,0.06073
0.1265,-0.143738,0.0601196
0.127,-0.163269,0.0738525
0.1275,-0.149841,0.123596
0.128,0.0189209,0.172424
0.1285,0.210876,0.170898
0.129,0.357666,0.153503
0.1295,0.375671,0.149231
0.13,0.300598,0.0964355
0.1305,0.207825,-0.0088501
0.131,0.195007,-0.0643921
0.1315,0.136108,-0.0460815
0.132,0.0714111,-0.0234985
0.1325,0.0476074,-0.0537109
0.133,0.0213623,-0.13031
0.1335,-0.0109863,-0.184021
0.134,-0.0430298,-0.203857
0.1345,-0.0665283,-0.227356
0.135,-0.0631714,-0.238037
0.1355,-0.0396729,-0.237732
0.136,-0.0216675,-0.178833
0.1365,-0.0283813,-0.0531006
0.137,-0.0390625,0.0466919
0.1375,-0.0369263,0.103149
0.138,-0.0320435,0.108337
0.1385,-0.0259399,0.113831
0.139,-0.0140381,0.124512
0.1395,-0.0164795,0.0964355
0.14,-0.0476074,0.0393677
0.1405,-0.0967407,-0.017395
0.14100000000000001,-0.131226,-0.104675
0.14150000000000001,-0.144348,-0.193787
0.14200000000000002,-0.124817,-0.228577
0.14250000000000002,-0.105896,-0.147705
0.14300000000000002,-0.106201,-0.0198364
0.14350000000000002,-0.0817871,0.0842285
0.14400000000000002,-0.0311279,0.164185
0.1445,0.0335693,0.213013
0.145,0.0866699,0.20752
0.1455,0.211487,0.144348
0.146,0.233765,0.0827026
0.1465,0.0912476,0.0765991
0.147,0.0299072,0.0720215
0.1475,0.0662231,0.0704956
0.148,0.0357056,0.0848389
0.1485,-0.000915527,0.088501
0.149,-0.0500488,0.0866699
0.1495,-0.0637817,0.0991821
0.15,-0.0393677,0.0808716
0.1505,0.020752,0.0180054
0.151,0.100403,-0.0939941
0.1515,0.0894165,-0.174866
0.152,0.0439453,-0.182495
0.1525,0.0268555,-0.145569
0.153,0.0244141,-0.140381
0.1535,0.0338745,-0.134888
0.154,0.00457764,-0.119629
0.1545,-0.017395,-0.0695801
0.155,-0.0613403,-0.043335
0.1555,-0.112305,-0.0469971
0.156,-0.153809,-0.0311279
0.1565,-0.16571,0.00610352
0.157,-0.155945,0.0408936
0.1575,-0.1474,0.0637817
0.158,-0.126343,0.0415039
0.1585,-0.085144,0.0149536
0.159,-0.00427246,0.032959
0.1595,0.057373,0.0897217
0.16,0.0735474,0.133972
0.1605,0.155334,0.144043
0.161,0.223389,0.10376
0.1615,0.176697,0.0720215
0.162,0.116882,0.0646973
0.1625,0.0787354,0.0894165
0.163,0.0265503,0.117798
0.1635,-0.0213623,0.113525
